Date,ProShares UltraShort QQQ_Open_average,ProShares UltraShort QQQ_Open_max,ProShares UltraShort QQQ_Open_min,ProShares UltraShort QQQ_Open_volatility,ProShares UltraShort QQQ_Open_change,ProShares UltraShort QQQ_High_average,ProShares UltraShort QQQ_High_max,ProShares UltraShort QQQ_High_min,ProShares UltraShort QQQ_High_volatility,ProShares UltraShort QQQ_High_change,ProShares UltraShort QQQ_Low_average,ProShares UltraShort QQQ_Low_max,ProShares UltraShort QQQ_Low_min,ProShares UltraShort QQQ_Low_volatility,ProShares UltraShort QQQ_Low_change,ProShares UltraShort QQQ_Close_average,ProShares UltraShort QQQ_Close_max,ProShares UltraShort QQQ_Close_min,ProShares UltraShort QQQ_Close_volatility,ProShares UltraShort QQQ_Close_change
2018-01-14,47.0,47.0,47.0,0.0,0.0,47.1,47.1,47.1,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2018-01-21,44.68,44.68,44.68,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-01-28,48.76,48.76,48.76,0.0,0.0,51.66,51.66,51.66,0.0,0.0,47.2,47.2,47.2,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-02-04,51.44,51.44,51.44,0.0,0.0,52.3,52.3,52.3,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2018-02-11,46.8,46.8,46.8,0.0,0.0,47.08,47.08,47.08,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-02-18,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-02-25,46.68,46.68,46.68,0.0,0.0,47.04,47.04,47.04,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-03-04,42.2,42.2,42.2,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.82,41.82,41.82,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-03-11,44.32,44.32,44.32,0.0,0.0,46.12,46.12,46.12,0.0,0.0,44.32,44.32,44.32,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-03-18,48.2,48.2,48.2,0.0,0.0,49.78,49.78,49.78,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2018-03-25,49.48,49.48,49.48,0.0,0.0,52.6,52.6,52.6,0.0,0.0,49.01,49.01,49.01,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-04-01,49.84,49.84,49.84,0.0,0.0,50.22,50.22,50.22,0.0,0.0,48.01,48.01,48.01,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-04-08,47.08,47.08,47.08,0.0,0.0,47.68,47.68,47.68,0.0,0.0,46.68,46.68,46.68,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-04-15,46.64,46.64,46.64,0.0,0.0,47.88,47.88,47.88,0.0,0.0,46.32,46.32,46.32,0.0,0.0,47.4,47.4,47.4,0.0,0.0
