Date,SPDR Nuveen Barclays Municipal Bond_Open_average,SPDR Nuveen Barclays Municipal Bond_Open_max,SPDR Nuveen Barclays Municipal Bond_Open_min,SPDR Nuveen Barclays Municipal Bond_Open_volatility,SPDR Nuveen Barclays Municipal Bond_Open_change,SPDR Nuveen Barclays Municipal Bond_High_average,SPDR Nuveen Barclays Municipal Bond_High_max,SPDR Nuveen Barclays Municipal Bond_High_min,SPDR Nuveen Barclays Municipal Bond_High_volatility,SPDR Nuveen Barclays Municipal Bond_High_change,SPDR Nuveen Barclays Municipal Bond_Low_average,SPDR Nuveen Barclays Municipal Bond_Low_max,SPDR Nuveen Barclays Municipal Bond_Low_min,SPDR Nuveen Barclays Municipal Bond_Low_volatility,SPDR Nuveen Barclays Municipal Bond_Low_change,SPDR Nuveen Barclays Municipal Bond_Close_average,SPDR Nuveen Barclays Municipal Bond_Close_max,SPDR Nuveen Barclays Municipal Bond_Close_min,SPDR Nuveen Barclays Municipal Bond_Close_volatility,SPDR Nuveen Barclays Municipal Bond_Close_change
2018-01-14,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-01-21,48.45,48.45,48.45,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-01-28,47.8,47.8,47.8,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.8,47.8,47.8,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2018-02-04,47.86,47.86,47.86,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-02-11,47.8,47.8,47.8,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2018-02-18,47.92,47.92,47.92,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-02-25,47.85,47.85,47.85,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-03-04,47.78,47.78,47.78,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-03-11,47.8,47.8,47.8,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-03-18,47.77,47.77,47.77,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.78,47.78,47.78,0.0,0.0
