Date,iShares Global Consumer Staples_Open_average,iShares Global Consumer Staples_Open_max,iShares Global Consumer Staples_Open_min,iShares Global Consumer Staples_Open_volatility,iShares Global Consumer Staples_Open_change,iShares Global Consumer Staples_High_average,iShares Global Consumer Staples_High_max,iShares Global Consumer Staples_High_min,iShares Global Consumer Staples_High_volatility,iShares Global Consumer Staples_High_change,iShares Global Consumer Staples_Low_average,iShares Global Consumer Staples_Low_max,iShares Global Consumer Staples_Low_min,iShares Global Consumer Staples_Low_volatility,iShares Global Consumer Staples_Low_change,iShares Global Consumer Staples_Close_average,iShares Global Consumer Staples_Close_max,iShares Global Consumer Staples_Close_min,iShares Global Consumer Staples_Close_volatility,iShares Global Consumer Staples_Close_change
2018-01-14,53.91,53.91,53.91,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-01-21,54.32,54.32,54.32,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-01-28,52.38,52.38,52.38,0.0,0.0,52.46,52.46,52.46,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2018-02-04,50.36,50.36,50.36,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2018-02-11,51.54,51.54,51.54,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2018-02-18,51.12,51.12,51.12,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-02-25,49.85,49.85,49.85,0.0,0.0,50.44,50.44,50.44,0.0,0.0,49.85,49.85,49.85,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-03-04,51.08,51.08,51.08,0.0,0.0,51.22,51.22,51.22,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2018-03-11,50.1,50.1,50.1,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-03-18,48.98,48.98,48.98,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-03-25,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-04-01,50.73,50.73,50.73,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-04-08,50.49,50.49,50.49,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-04-15,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-04-22,49.35,49.35,49.35,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-04-29,48.47,48.47,48.47,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-05-06,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2018-05-13,48.49,48.49,48.49,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2018-05-20,48.49,48.49,48.49,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-05-27,48.5,48.5,48.5,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.54,48.54,48.54,0.0,0.0
