Date,WisdomTree Managed Futures Strategy_Open_average,WisdomTree Managed Futures Strategy_Open_max,WisdomTree Managed Futures Strategy_Open_min,WisdomTree Managed Futures Strategy_Open_volatility,WisdomTree Managed Futures Strategy_Open_change,WisdomTree Managed Futures Strategy_High_average,WisdomTree Managed Futures Strategy_High_max,WisdomTree Managed Futures Strategy_High_min,WisdomTree Managed Futures Strategy_High_volatility,WisdomTree Managed Futures Strategy_High_change,WisdomTree Managed Futures Strategy_Low_average,WisdomTree Managed Futures Strategy_Low_max,WisdomTree Managed Futures Strategy_Low_min,WisdomTree Managed Futures Strategy_Low_volatility,WisdomTree Managed Futures Strategy_Low_change,WisdomTree Managed Futures Strategy_Close_average,WisdomTree Managed Futures Strategy_Close_max,WisdomTree Managed Futures Strategy_Close_min,WisdomTree Managed Futures Strategy_Close_volatility,WisdomTree Managed Futures Strategy_Close_change
2018-01-14,40.44,40.44,40.44,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-01-21,40.49,40.49,40.49,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2018-01-28,40.24,40.24,40.24,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2018-02-04,39.61,39.61,39.61,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-02-11,39.84,39.84,39.84,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2018-02-18,40.0,40.0,40.0,0.0,0.0,40.02,40.02,40.02,0.0,0.0,39.85,39.85,39.85,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-02-25,39.49,39.49,39.49,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-03-04,39.47,39.47,39.47,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-03-11,39.41,39.41,39.41,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-03-18,39.74,39.74,39.74,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.67,39.67,39.67,0.0,0.0
