Date,ProShares UltraShort Silver_Open_average,ProShares UltraShort Silver_Open_max,ProShares UltraShort Silver_Open_min,ProShares UltraShort Silver_Open_volatility,ProShares UltraShort Silver_Open_change,ProShares UltraShort Silver_High_average,ProShares UltraShort Silver_High_max,ProShares UltraShort Silver_High_min,ProShares UltraShort Silver_High_volatility,ProShares UltraShort Silver_High_change,ProShares UltraShort Silver_Low_average,ProShares UltraShort Silver_Low_max,ProShares UltraShort Silver_Low_min,ProShares UltraShort Silver_Low_volatility,ProShares UltraShort Silver_Low_change,ProShares UltraShort Silver_Close_average,ProShares UltraShort Silver_Close_max,ProShares UltraShort Silver_Close_min,ProShares UltraShort Silver_Close_volatility,ProShares UltraShort Silver_Close_change
2018-01-14,31.16,31.16,31.16,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-01-21,30.27,30.27,30.27,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-01-28,31.66,31.66,31.66,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.6,31.6,31.6,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-02-04,33.24,33.24,33.24,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.64,32.64,32.64,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-02-11,31.93,31.93,31.93,0.0,0.0,32.57,32.57,32.57,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-02-18,32.64,32.64,32.64,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-02-25,33.28,33.28,33.28,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-03-04,33.07,33.07,33.07,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-03-11,33.94,33.94,33.94,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-03-18,32.21,32.21,32.21,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.9,31.9,31.9,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-03-25,32.67,32.67,32.67,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-04-01,33.26,33.26,33.26,0.0,0.0,33.44,33.44,33.44,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-04-08,32.09,32.09,32.09,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-04-15,31.93,31.93,31.93,0.0,0.0,32.55,32.55,32.55,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-04-22,33.9,33.9,33.9,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-04-29,33.05,33.05,33.05,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.05,33.05,33.05,0.0,0.0
