Date,ProShares UltraPro Short S&P500_etf_Open_average,ProShares UltraPro Short S&P500_etf_Open_max,ProShares UltraPro Short S&P500_etf_Open_min,ProShares UltraPro Short S&P500_etf_Open_volatility,ProShares UltraPro Short S&P500_etf_Open_change,ProShares UltraPro Short S&P500_etf_High_average,ProShares UltraPro Short S&P500_etf_High_max,ProShares UltraPro Short S&P500_etf_High_min,ProShares UltraPro Short S&P500_etf_High_volatility,ProShares UltraPro Short S&P500_etf_High_change,ProShares UltraPro Short S&P500_etf_Low_average,ProShares UltraPro Short S&P500_etf_Low_max,ProShares UltraPro Short S&P500_etf_Low_min,ProShares UltraPro Short S&P500_etf_Low_volatility,ProShares UltraPro Short S&P500_etf_Low_change,ProShares UltraPro Short S&P500_etf_Close_average,ProShares UltraPro Short S&P500_etf_Close_max,ProShares UltraPro Short S&P500_etf_Close_min,ProShares UltraPro Short S&P500_etf_Close_volatility,ProShares UltraPro Short S&P500_etf_Close_change
2018-01-14,39.52,39.52,39.52,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.24,39.24,39.24,0.0,0.0
2018-01-21,37.72,37.72,37.72,0.0,0.0,37.84,37.84,37.84,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-01-28,39.4,39.4,39.4,0.0,0.0,41.32,41.32,41.32,0.0,0.0,39.32,39.32,39.32,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2018-02-04,47.68,47.68,47.68,0.0,0.0,52.28,52.28,52.28,0.0,0.0,46.13,46.13,46.13,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2018-02-11,41.84,41.84,41.84,0.0,0.0,41.84,41.84,41.84,0.0,0.0,40.4,40.4,40.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-02-18,42.04,42.04,42.04,0.0,0.0,42.3,42.3,42.3,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-02-25,44.84,44.84,44.84,0.0,0.0,45.28,45.28,45.28,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-03-04,40.12,40.12,40.12,0.0,0.0,40.32,40.32,40.32,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2018-03-11,40.16,40.16,40.16,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.74,39.74,39.74,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2018-03-18,44.8,44.8,44.8,0.0,0.0,48.0,48.0,48.0,0.0,0.0,44.32,44.32,44.32,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-03-25,45.96,45.96,45.96,0.0,0.0,46.44,46.44,46.44,0.0,0.0,43.76,43.76,43.76,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-04-01,44.6,44.6,44.6,0.0,0.0,47.24,47.24,47.24,0.0,0.0,43.72,43.72,43.72,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-04-08,42.4,42.4,42.4,0.0,0.0,44.08,44.08,44.08,0.0,0.0,42.36,42.36,42.36,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2018-04-15,41.8,41.8,41.8,0.0,0.0,43.28,43.28,43.28,0.0,0.0,41.64,41.64,41.64,0.0,0.0,42.76,42.76,42.76,0.0,0.0
