Date,Guggenheim Invest BRIC_Open_average,Guggenheim Invest BRIC_Open_max,Guggenheim Invest BRIC_Open_min,Guggenheim Invest BRIC_Open_volatility,Guggenheim Invest BRIC_Open_change,Guggenheim Invest BRIC_High_average,Guggenheim Invest BRIC_High_max,Guggenheim Invest BRIC_High_min,Guggenheim Invest BRIC_High_volatility,Guggenheim Invest BRIC_High_change,Guggenheim Invest BRIC_Low_average,Guggenheim Invest BRIC_Low_max,Guggenheim Invest BRIC_Low_min,Guggenheim Invest BRIC_Low_volatility,Guggenheim Invest BRIC_Low_change,Guggenheim Invest BRIC_Close_average,Guggenheim Invest BRIC_Close_max,Guggenheim Invest BRIC_Close_min,Guggenheim Invest BRIC_Close_volatility,Guggenheim Invest BRIC_Close_change
2018-01-14,40.4,40.4,40.4,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-01-21,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2018-01-28,39.5,39.5,39.5,0.0,0.0,39.8,39.8,39.8,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-02-04,37.98,37.98,37.98,0.0,0.0,38.39,38.39,38.39,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-02-11,39.62,39.62,39.62,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2018-02-18,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2018-02-25,39.02,39.02,39.02,0.0,0.0,39.49,39.49,39.49,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-03-04,40.18,40.18,40.18,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-03-11,39.22,39.22,39.22,0.0,0.0,39.46,39.46,39.46,0.0,0.0,38.91,38.91,38.91,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2018-03-18,38.85,38.85,38.85,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.82,38.82,38.82,0.0,0.0
2018-03-25,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-04-01,37.0,37.0,37.0,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-04-08,37.07,37.07,37.07,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.89,36.89,36.89,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-04-15,37.72,37.72,37.72,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-04-22,38.14,38.14,38.14,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-04-29,37.99,37.99,37.99,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.92,37.92,37.92,0.0,0.0
