Date,First Trust Technology AlphaDEXEtf_Open_average,First Trust Technology AlphaDEXEtf_Open_max,First Trust Technology AlphaDEXEtf_Open_min,First Trust Technology AlphaDEXEtf_Open_volatility,First Trust Technology AlphaDEXEtf_Open_change,First Trust Technology AlphaDEXEtf_High_average,First Trust Technology AlphaDEXEtf_High_max,First Trust Technology AlphaDEXEtf_High_min,First Trust Technology AlphaDEXEtf_High_volatility,First Trust Technology AlphaDEXEtf_High_change,First Trust Technology AlphaDEXEtf_Low_average,First Trust Technology AlphaDEXEtf_Low_max,First Trust Technology AlphaDEXEtf_Low_min,First Trust Technology AlphaDEXEtf_Low_volatility,First Trust Technology AlphaDEXEtf_Low_change,First Trust Technology AlphaDEXEtf_Close_average,First Trust Technology AlphaDEXEtf_Close_max,First Trust Technology AlphaDEXEtf_Close_min,First Trust Technology AlphaDEXEtf_Close_volatility,First Trust Technology AlphaDEXEtf_Close_change
2018-01-14,55.99,55.99,55.99,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.78,55.78,55.78,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2018-01-21,55.84,55.84,55.84,0.0,0.0,56.5,56.5,56.5,0.0,0.0,55.73,55.73,55.73,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2018-01-28,55.07,55.07,55.07,0.0,0.0,55.13,55.13,55.13,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-02-04,51.29,51.29,51.29,0.0,0.0,52.14,52.14,52.14,0.0,0.0,49.83,49.83,49.83,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2018-02-11,54.75,54.75,54.75,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-02-18,54.88,54.88,54.88,0.0,0.0,55.49,55.49,55.49,0.0,0.0,54.81,54.81,54.81,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2018-02-25,54.42,54.42,54.42,0.0,0.0,56.03,56.03,56.03,0.0,0.0,54.29,54.29,54.29,0.0,0.0,55.94,55.94,55.94,0.0,0.0
2018-03-04,58.29,58.29,58.29,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2018-03-11,58.7,58.7,58.7,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-03-18,56.5,56.5,56.5,0.0,0.0,56.69,56.69,56.69,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.03,55.03,55.03,0.0,0.0
