Date,Vanguard Int Div AppreciationEtf_Open_average,Vanguard Int Div AppreciationEtf_Open_max,Vanguard Int Div AppreciationEtf_Open_min,Vanguard Int Div AppreciationEtf_Open_volatility,Vanguard Int Div AppreciationEtf_Open_change,Vanguard Int Div AppreciationEtf_High_average,Vanguard Int Div AppreciationEtf_High_max,Vanguard Int Div AppreciationEtf_High_min,Vanguard Int Div AppreciationEtf_High_volatility,Vanguard Int Div AppreciationEtf_High_change,Vanguard Int Div AppreciationEtf_Low_average,Vanguard Int Div AppreciationEtf_Low_max,Vanguard Int Div AppreciationEtf_Low_min,Vanguard Int Div AppreciationEtf_Low_volatility,Vanguard Int Div AppreciationEtf_Low_change,Vanguard Int Div AppreciationEtf_Close_average,Vanguard Int Div AppreciationEtf_Close_max,Vanguard Int Div AppreciationEtf_Close_min,Vanguard Int Div AppreciationEtf_Close_volatility,Vanguard Int Div AppreciationEtf_Close_change
2018-01-14,68.75,68.75,68.75,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.55,68.55,68.55,0.0,0.0,68.75,68.75,68.75,0.0,0.0
2018-01-21,70.09,70.09,70.09,0.0,0.0,70.39,70.39,70.39,0.0,0.0,70.01,70.01,70.01,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2018-01-28,67.98,67.98,67.98,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.13,67.13,67.13,0.0,0.0,67.23,67.23,67.23,0.0,0.0
2018-02-04,63.69,63.69,63.69,0.0,0.0,63.89,63.89,63.89,0.0,0.0,62.15,62.15,62.15,0.0,0.0,63.65,63.65,63.65,0.0,0.0
2018-02-11,66.2,66.2,66.2,0.0,0.0,66.75,66.75,66.75,0.0,0.0,66.13,66.13,66.13,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-02-18,65.93,65.93,65.93,0.0,0.0,66.37,66.37,66.37,0.0,0.0,65.88,65.88,65.88,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-02-25,63.85,63.85,63.85,0.0,0.0,64.63,64.63,64.63,0.0,0.0,63.77,63.77,63.77,0.0,0.0,64.43,64.43,64.43,0.0,0.0
2018-03-04,65.8,65.8,65.8,0.0,0.0,66.16,66.16,66.16,0.0,0.0,65.63,65.63,65.63,0.0,0.0,66.11,66.11,66.11,0.0,0.0
2018-03-11,65.85,65.85,65.85,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.41,65.41,65.41,0.0,0.0
2018-03-18,63.93,63.93,63.93,0.0,0.0,64.19,64.19,64.19,0.0,0.0,63.11,63.11,63.11,0.0,0.0,63.11,63.11,63.11,0.0,0.0
