Date,iShares MSCI Global Metals & Mining Producers_Open_average,iShares MSCI Global Metals & Mining Producers_Open_max,iShares MSCI Global Metals & Mining Producers_Open_min,iShares MSCI Global Metals & Mining Producers_Open_volatility,iShares MSCI Global Metals & Mining Producers_Open_change,iShares MSCI Global Metals & Mining Producers_High_average,iShares MSCI Global Metals & Mining Producers_High_max,iShares MSCI Global Metals & Mining Producers_High_min,iShares MSCI Global Metals & Mining Producers_High_volatility,iShares MSCI Global Metals & Mining Producers_High_change,iShares MSCI Global Metals & Mining Producers_Low_average,iShares MSCI Global Metals & Mining Producers_Low_max,iShares MSCI Global Metals & Mining Producers_Low_min,iShares MSCI Global Metals & Mining Producers_Low_volatility,iShares MSCI Global Metals & Mining Producers_Low_change,iShares MSCI Global Metals & Mining Producers_Close_average,iShares MSCI Global Metals & Mining Producers_Close_max,iShares MSCI Global Metals & Mining Producers_Close_min,iShares MSCI Global Metals & Mining Producers_Close_volatility,iShares MSCI Global Metals & Mining Producers_Close_change
2018-01-14,37.3,37.3,37.3,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2018-01-21,37.76,37.76,37.76,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-01-28,35.02,35.02,35.02,0.0,0.0,35.86,35.86,35.86,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-02-04,34.67,34.67,34.67,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-02-11,36.58,36.58,36.58,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-02-18,36.87,36.87,36.87,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.58,36.58,36.58,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-02-25,34.31,34.31,34.31,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-03-04,34.75,34.75,34.75,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-03-11,34.54,34.54,34.54,0.0,0.0,34.7,34.7,34.7,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-03-18,33.72,33.72,33.72,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-03-25,33.28,33.28,33.28,0.0,0.0,33.57,33.57,33.57,0.0,0.0,32.91,32.91,32.91,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-04-01,32.75,32.75,32.75,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-04-08,34.31,34.31,34.31,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-04-15,35.51,35.51,35.51,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-04-22,34.44,34.44,34.44,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-04-29,35.01,35.01,35.01,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2018-05-06,36.48,36.48,36.48,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-05-13,36.21,36.21,36.21,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-05-20,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-05-27,35.59,35.59,35.59,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-06-03,35.93,35.93,35.93,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-06-10,34.1,34.1,34.1,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.8,33.8,33.8,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-06-17,32.93,32.93,32.93,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-06-24,32.14,32.14,32.14,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-07-01,32.86,32.86,32.86,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.73,32.73,32.73,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-07-08,31.8,31.8,31.8,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-07-15,31.6,31.6,31.6,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-07-22,33.11,33.11,33.11,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-07-29,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-08-05,31.31,31.31,31.31,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-08-12,30.57,30.57,30.57,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-08-19,31.13,31.13,31.13,0.0,0.0,31.52,31.52,31.52,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-08-26,30.99,30.99,30.99,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-09-02,29.66,29.66,29.66,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-09-09,30.37,30.37,30.37,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.38,30.38,30.38,0.0,0.0
