Date,iShares S&P 500 Value_Open_average,iShares S&P 500 Value_Open_max,iShares S&P 500 Value_Open_min,iShares S&P 500 Value_Open_volatility,iShares S&P 500 Value_Open_change,iShares S&P 500 Value_High_average,iShares S&P 500 Value_High_max,iShares S&P 500 Value_High_min,iShares S&P 500 Value_High_volatility,iShares S&P 500 Value_High_change,iShares S&P 500 Value_Low_average,iShares S&P 500 Value_Low_max,iShares S&P 500 Value_Low_min,iShares S&P 500 Value_Low_volatility,iShares S&P 500 Value_Low_change,iShares S&P 500 Value_Close_average,iShares S&P 500 Value_Close_max,iShares S&P 500 Value_Close_min,iShares S&P 500 Value_Close_volatility,iShares S&P 500 Value_Close_change
2018-01-14,118.74,118.74,118.74,0.0,0.0,119.84,119.84,119.84,0.0,0.0,118.74,118.74,118.74,0.0,0.0,119.84,119.84,119.84,0.0,0.0
2018-01-21,120.84,120.84,120.84,0.0,0.0,121.07,121.07,121.07,0.0,0.0,120.32,120.32,120.32,0.0,0.0,120.36,120.36,120.36,0.0,0.0
2018-01-28,115.23,115.23,115.23,0.0,0.0,116.0,116.0,116.0,0.0,0.0,110.9,110.9,110.9,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2018-02-04,110.93,110.93,110.93,0.0,0.0,112.06,112.06,112.06,0.0,0.0,110.16,110.16,110.16,0.0,0.0,111.35,111.35,111.35,0.0,0.0
2018-02-11,113.73,113.73,113.73,0.0,0.0,115.04,115.04,115.04,0.0,0.0,113.73,113.73,113.73,0.0,0.0,114.15,114.15,114.15,0.0,0.0
2018-02-18,114.6,114.6,114.6,0.0,0.0,115.41,115.41,115.41,0.0,0.0,114.15,114.15,114.15,0.0,0.0,115.35,115.35,115.35,0.0,0.0
2018-02-25,110.86,110.86,110.86,0.0,0.0,113.03,113.03,113.03,0.0,0.0,110.85,110.85,110.85,0.0,0.0,112.76,112.76,112.76,0.0,0.0
2018-03-04,114.83,114.83,114.83,0.0,0.0,115.27,115.27,115.27,0.0,0.0,114.42,114.42,114.42,0.0,0.0,114.61,114.61,114.61,0.0,0.0
2018-03-11,113.03,113.03,113.03,0.0,0.0,113.11,113.11,113.11,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.96,111.96,111.96,0.0,0.0
2018-03-18,108.12,108.12,108.12,0.0,0.0,109.21,109.21,109.21,0.0,0.0,107.22,107.22,107.22,0.0,0.0,109.05,109.05,109.05,0.0,0.0
2018-03-25,109.09,109.09,109.09,0.0,0.0,109.2,109.2,109.2,0.0,0.0,105.81,105.81,105.81,0.0,0.0,107.03,107.03,107.03,0.0,0.0
2018-04-01,108.85,108.85,108.85,0.0,0.0,110.12,110.12,110.12,0.0,0.0,108.44,108.44,108.44,0.0,0.0,108.56,108.56,108.56,0.0,0.0
2018-04-08,110.79,110.79,110.79,0.0,0.0,111.52,111.52,111.52,0.0,0.0,110.48,110.48,110.48,0.0,0.0,111.1,111.1,111.1,0.0,0.0
2018-04-15,110.85,110.85,110.85,0.0,0.0,111.06,111.06,111.06,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.85,110.85,110.85,0.0,0.0
2018-04-22,111.22,111.22,111.22,0.0,0.0,111.37,111.37,111.37,0.0,0.0,109.85,109.85,109.85,0.0,0.0,109.89,109.89,109.89,0.0,0.0
2018-04-29,109.61,109.61,109.61,0.0,0.0,109.9,109.9,109.9,0.0,0.0,109.13,109.13,109.13,0.0,0.0,109.38,109.38,109.38,0.0,0.0
2018-05-06,111.93,111.93,111.93,0.0,0.0,112.21,112.21,112.21,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2018-05-13,112.09,112.09,112.09,0.0,0.0,112.48,112.48,112.48,0.0,0.0,112.07,112.07,112.07,0.0,0.0,112.32,112.32,112.32,0.0,0.0
2018-05-20,111.18,111.18,111.18,0.0,0.0,111.24,111.24,111.24,0.0,0.0,110.72,110.72,110.72,0.0,0.0,111.04,111.04,111.04,0.0,0.0
2018-05-27,111.3,111.3,111.3,0.0,0.0,111.67,111.67,111.67,0.0,0.0,111.06,111.06,111.06,0.0,0.0,111.18,111.18,111.18,0.0,0.0
2018-06-03,113.03,113.03,113.03,0.0,0.0,113.49,113.49,113.49,0.0,0.0,113.03,113.03,113.03,0.0,0.0,113.19,113.19,113.19,0.0,0.0
2018-06-10,111.73,111.73,111.73,0.0,0.0,112.11,112.11,112.11,0.0,0.0,111.62,111.62,111.62,0.0,0.0,112.02,112.02,112.02,0.0,0.0
2018-06-17,111.33,111.33,111.33,0.0,0.0,111.48,111.48,111.48,0.0,0.0,110.08,110.08,110.08,0.0,0.0,110.75,110.75,110.75,0.0,0.0
2018-06-24,109.48,109.48,109.48,0.0,0.0,110.11,110.11,110.11,0.0,0.0,109.28,109.28,109.28,0.0,0.0,110.03,110.03,110.03,0.0,0.0
2018-07-01,111.76,111.76,111.76,0.0,0.0,112.51,112.51,112.51,0.0,0.0,111.7,111.7,111.7,0.0,0.0,112.4,112.4,112.4,0.0,0.0
2018-07-08,112.35,112.35,112.35,0.0,0.0,112.52,112.52,112.52,0.0,0.0,112.03,112.03,112.03,0.0,0.0,112.46,112.46,112.46,0.0,0.0
2018-07-15,112.33,112.33,112.33,0.0,0.0,112.72,112.72,112.72,0.0,0.0,112.2,112.2,112.2,0.0,0.0,112.61,112.61,112.61,0.0,0.0
2018-07-22,114.06,114.06,114.06,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.06,114.06,114.06,0.0,0.0,114.27,114.27,114.27,0.0,0.0
2018-07-29,114.74,114.74,114.74,0.0,0.0,115.28,115.28,115.28,0.0,0.0,114.56,114.56,114.56,0.0,0.0,115.0,115.0,115.0,0.0,0.0
2018-08-05,114.25,114.25,114.25,0.0,0.0,114.27,114.27,114.27,0.0,0.0,113.35,113.35,113.35,0.0,0.0,113.47,113.47,113.47,0.0,0.0
2018-08-12,115.5,115.5,115.5,0.0,0.0,115.88,115.88,115.88,0.0,0.0,115.47,115.47,115.47,0.0,0.0,115.8,115.8,115.8,0.0,0.0
2018-08-19,116.31,116.31,116.31,0.0,0.0,116.81,116.81,116.81,0.0,0.0,116.31,116.31,116.31,0.0,0.0,116.68,116.68,116.68,0.0,0.0
2018-08-26,115.92,115.92,115.92,0.0,0.0,116.23,116.23,116.23,0.0,0.0,115.58,115.58,115.58,0.0,0.0,116.05,116.05,116.05,0.0,0.0
2018-09-02,116.32,116.32,116.32,0.0,0.0,116.65,116.65,116.65,0.0,0.0,116.07,116.07,116.07,0.0,0.0,116.09,116.09,116.09,0.0,0.0
2018-09-09,116.87,116.87,116.87,0.0,0.0,117.1,117.1,117.1,0.0,0.0,116.67,116.67,116.67,0.0,0.0,116.79,116.79,116.79,0.0,0.0
2018-09-16,118.47,118.47,118.47,0.0,0.0,118.61,118.61,118.61,0.0,0.0,117.51,117.51,117.51,0.0,0.0,117.65,117.65,117.65,0.0,0.0
2018-09-23,116.38,116.38,116.38,0.0,0.0,116.7,116.7,116.7,0.0,0.0,116.03,116.03,116.03,0.0,0.0,116.3,116.3,116.3,0.0,0.0
2018-09-30,115.99,115.99,115.99,0.0,0.0,116.92,116.92,116.92,0.0,0.0,115.99,115.99,115.99,0.0,0.0,116.8,116.8,116.8,0.0,0.0
2018-10-07,111.06,111.06,111.06,0.0,0.0,112.01,112.01,112.01,0.0,0.0,111.04,111.04,111.04,0.0,0.0,111.05,111.05,111.05,0.0,0.0
2018-10-14,112.15,112.15,112.15,0.0,0.0,112.25,112.25,112.25,0.0,0.0,110.77,110.77,110.77,0.0,0.0,110.88,110.88,110.88,0.0,0.0
2018-10-21,108.25,108.25,108.25,0.0,0.0,109.18,109.18,109.18,0.0,0.0,106.22,106.22,106.22,0.0,0.0,107.47,107.47,107.47,0.0,0.0
2018-10-28,110.64,110.64,110.64,0.0,0.0,111.82,111.82,111.82,0.0,0.0,110.64,110.64,110.64,0.0,0.0,111.57,111.57,111.57,0.0,0.0
2018-11-04,112.94,112.94,112.94,0.0,0.0,113.07,113.07,113.07,0.0,0.0,111.21,111.21,111.21,0.0,0.0,111.44,111.44,111.44,0.0,0.0
2018-11-11,111.72,111.72,111.72,0.0,0.0,112.12,112.12,112.12,0.0,0.0,110.79,110.79,110.79,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2018-11-18,109.27,109.27,109.27,0.0,0.0,110.04,110.04,110.04,0.0,0.0,109.27,109.27,109.27,0.0,0.0,109.87,109.87,109.87,0.0,0.0
2018-11-25,113.76,113.76,113.76,0.0,0.0,113.78,113.78,113.78,0.0,0.0,112.55,112.55,112.55,0.0,0.0,113.34,113.34,113.34,0.0,0.0
2018-12-02,107.53,107.53,107.53,0.0,0.0,107.58,107.58,107.58,0.0,0.0,104.97,104.97,104.97,0.0,0.0,107.02,107.02,107.02,0.0,0.0
2018-12-09,104.33,104.33,104.33,0.0,0.0,104.79,104.79,104.79,0.0,0.0,102.16,102.16,102.16,0.0,0.0,102.77,102.77,102.77,0.0,0.0
2018-12-16,97.25,97.25,97.25,0.0,0.0,97.54,97.54,97.54,0.0,0.0,95.32,95.32,95.32,0.0,0.0,95.36,95.36,95.36,0.0,0.0
2018-12-23,100.93,100.93,100.93,0.0,0.0,101.24,101.24,101.24,0.0,0.0,100.1,100.1,100.1,0.0,0.0,101.14,101.14,101.14,0.0,0.0
2018-12-30,102.44,102.44,102.44,0.0,0.0,103.7,103.7,103.7,0.0,0.0,101.84,101.84,101.84,0.0,0.0,103.04,103.04,103.04,0.0,0.0
2019-01-06,104.0,104.0,104.0,0.0,0.0,104.77,104.77,104.77,0.0,0.0,103.85,103.85,103.85,0.0,0.0,104.45,104.45,104.45,0.0,0.0
