Date,iShares Core High Dividend_Open_average,iShares Core High Dividend_Open_max,iShares Core High Dividend_Open_min,iShares Core High Dividend_Open_volatility,iShares Core High Dividend_Open_change,iShares Core High Dividend_High_average,iShares Core High Dividend_High_max,iShares Core High Dividend_High_min,iShares Core High Dividend_High_volatility,iShares Core High Dividend_High_change,iShares Core High Dividend_Low_average,iShares Core High Dividend_Low_max,iShares Core High Dividend_Low_min,iShares Core High Dividend_Low_volatility,iShares Core High Dividend_Low_change,iShares Core High Dividend_Close_average,iShares Core High Dividend_Close_max,iShares Core High Dividend_Close_min,iShares Core High Dividend_Close_volatility,iShares Core High Dividend_Close_change
2018-03-25,84.33,84.33,84.33,0.0,0.0,84.8,84.8,84.8,0.0,0.0,84.16,84.16,84.16,0.0,0.0,84.48,84.48,84.48,0.0,0.0
2018-04-01,85.07,85.07,85.07,0.0,0.0,85.44,85.44,85.44,0.0,0.0,83.58,83.58,83.58,0.0,0.0,84.15,84.15,84.15,0.0,0.0
2018-04-08,85.76,85.76,85.76,0.0,0.0,85.84,85.84,85.84,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.6,85.6,85.6,0.0,0.0
2018-04-15,85.26,85.26,85.26,0.0,0.0,85.35,85.35,85.35,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.67,84.67,84.67,0.0,0.0
2018-04-22,84.61,84.61,84.61,0.0,0.0,85.42,85.42,85.42,0.0,0.0,84.61,84.61,84.61,0.0,0.0,85.19,85.19,85.19,0.0,0.0
2018-04-29,82.8,82.8,82.8,0.0,0.0,84.0,84.0,84.0,0.0,0.0,82.72,82.72,82.72,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2018-05-06,84.98,84.98,84.98,0.0,0.0,85.32,85.32,85.32,0.0,0.0,84.98,84.98,84.98,0.0,0.0,85.22,85.22,85.22,0.0,0.0
2018-05-13,84.85,84.85,84.85,0.0,0.0,84.88,84.88,84.88,0.0,0.0,84.58,84.58,84.58,0.0,0.0,84.69,84.69,84.69,0.0,0.0
2018-05-20,84.84,84.84,84.84,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.63,84.63,84.63,0.0,0.0
2018-05-27,85.11,85.11,85.11,0.0,0.0,85.32,85.32,85.32,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.08,85.08,85.08,0.0,0.0
2018-06-03,86.03,86.03,86.03,0.0,0.0,86.53,86.53,86.53,0.0,0.0,86.03,86.03,86.03,0.0,0.0,86.49,86.49,86.49,0.0,0.0
2018-06-10,85.81,85.81,85.81,0.0,0.0,86.17,86.17,86.17,0.0,0.0,85.46,85.46,85.46,0.0,0.0,86.17,86.17,86.17,0.0,0.0
2018-06-17,85.48,85.48,85.48,0.0,0.0,85.99,85.99,85.99,0.0,0.0,85.48,85.48,85.48,0.0,0.0,85.71,85.71,85.71,0.0,0.0
2018-06-24,85.05,85.05,85.05,0.0,0.0,85.61,85.61,85.61,0.0,0.0,84.93,84.93,84.93,0.0,0.0,84.99,84.99,84.99,0.0,0.0
2018-07-01,85.62,85.62,85.62,0.0,0.0,86.2,86.2,86.2,0.0,0.0,85.62,85.62,85.62,0.0,0.0,86.02,86.02,86.02,0.0,0.0
2018-07-08,86.03,86.03,86.03,0.0,0.0,86.27,86.27,86.27,0.0,0.0,85.94,85.94,85.94,0.0,0.0,86.09,86.09,86.09,0.0,0.0
2018-07-15,85.65,85.65,85.65,0.0,0.0,85.83,85.83,85.83,0.0,0.0,85.59,85.59,85.59,0.0,0.0,85.74,85.74,85.74,0.0,0.0
2018-07-22,86.79,86.79,86.79,0.0,0.0,87.71,87.71,87.71,0.0,0.0,86.79,86.79,86.79,0.0,0.0,87.4,87.4,87.4,0.0,0.0
2018-07-29,87.7,87.7,87.7,0.0,0.0,88.46,88.46,88.46,0.0,0.0,87.7,87.7,87.7,0.0,0.0,88.44,88.44,88.44,0.0,0.0
2018-08-05,88.31,88.31,88.31,0.0,0.0,88.44,88.44,88.44,0.0,0.0,87.92,87.92,87.92,0.0,0.0,88.2,88.2,88.2,0.0,0.0
2018-08-12,89.09,89.09,89.09,0.0,0.0,89.88,89.88,89.88,0.0,0.0,89.09,89.09,89.09,0.0,0.0,89.68,89.68,89.68,0.0,0.0
2018-08-19,89.46,89.46,89.46,0.0,0.0,89.77,89.77,89.77,0.0,0.0,89.38,89.38,89.38,0.0,0.0,89.72,89.72,89.72,0.0,0.0
2018-08-26,89.44,89.44,89.44,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.13,89.13,89.13,0.0,0.0,89.42,89.42,89.42,0.0,0.0
2018-09-02,89.74,89.74,89.74,0.0,0.0,90.12,90.12,90.12,0.0,0.0,89.55,89.55,89.55,0.0,0.0,90.01,90.01,90.01,0.0,0.0
2018-09-09,91.19,91.19,91.19,0.0,0.0,91.29,91.29,91.29,0.0,0.0,90.78,90.78,90.78,0.0,0.0,91.24,91.24,91.24,0.0,0.0
2018-09-16,92.29,92.29,92.29,0.0,0.0,92.58,92.58,92.58,0.0,0.0,92.19,92.19,92.19,0.0,0.0,92.46,92.46,92.46,0.0,0.0
