Date,iShares MSCI Ireland_Open_average,iShares MSCI Ireland_Open_max,iShares MSCI Ireland_Open_min,iShares MSCI Ireland_Open_volatility,iShares MSCI Ireland_Open_change,iShares MSCI Ireland_High_average,iShares MSCI Ireland_High_max,iShares MSCI Ireland_High_min,iShares MSCI Ireland_High_volatility,iShares MSCI Ireland_High_change,iShares MSCI Ireland_Low_average,iShares MSCI Ireland_Low_max,iShares MSCI Ireland_Low_min,iShares MSCI Ireland_Low_volatility,iShares MSCI Ireland_Low_change,iShares MSCI Ireland_Close_average,iShares MSCI Ireland_Close_max,iShares MSCI Ireland_Close_min,iShares MSCI Ireland_Close_volatility,iShares MSCI Ireland_Close_change
2018-01-14,49.22,49.22,49.22,0.0,0.0,49.42,49.42,49.42,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-01-21,49.57,49.57,49.57,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-01-28,47.57,47.57,47.57,0.0,0.0,47.66,47.66,47.66,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2018-02-04,46.66,46.66,46.66,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-02-11,48.18,48.18,48.18,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-02-18,47.08,47.08,47.08,0.0,0.0,47.53,47.53,47.53,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-02-25,46.04,46.04,46.04,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2018-03-04,47.72,47.72,47.72,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-03-11,46.82,46.82,46.82,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.55,46.55,46.55,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-03-18,46.25,46.25,46.25,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-03-25,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,45.68,45.68,45.68,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-04-01,46.63,46.63,46.63,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-04-08,47.49,47.49,47.49,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2018-04-15,47.89,47.89,47.89,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2018-04-22,47.22,47.22,47.22,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.03,47.03,47.03,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2018-04-29,47.32,47.32,47.32,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2018-05-06,47.96,47.96,47.96,0.0,0.0,48.46,48.46,48.46,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-05-13,48.58,48.58,48.58,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.68,48.68,48.68,0.0,0.0
2018-05-20,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-05-27,48.4,48.4,48.4,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2018-06-03,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-06-10,48.37,48.37,48.37,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-06-17,47.72,47.72,47.72,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-06-24,46.68,46.68,46.68,0.0,0.0,47.4,47.4,47.4,0.0,0.0,46.66,46.66,46.66,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2018-07-01,47.97,47.97,47.97,0.0,0.0,48.14,48.14,48.14,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-07-08,48.49,48.49,48.49,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-07-15,47.71,47.71,47.71,0.0,0.0,48.49,48.49,48.49,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-07-22,47.12,47.12,47.12,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-07-29,46.4,46.4,46.4,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-08-05,45.17,45.17,45.17,0.0,0.0,45.52,45.52,45.52,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-08-12,45.59,45.59,45.59,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-08-19,46.74,46.74,46.74,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-08-26,46.3,46.3,46.3,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-09-02,45.56,45.56,45.56,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-09-09,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-09-16,45.66,45.66,45.66,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-09-23,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-09-30,43.61,43.61,43.61,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-10-07,42.3,42.3,42.3,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2018-10-14,41.28,41.28,41.28,0.0,0.0,41.28,41.28,41.28,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2018-10-21,40.68,40.68,40.68,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2018-10-28,41.91,41.91,41.91,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2018-11-04,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.7,40.7,40.7,0.0,0.0
