Date,CRWS_Open_average,CRWS_Open_max,CRWS_Open_min,CRWS_Open_volatility,CRWS_Open_change,CRWS_High_average,CRWS_High_max,CRWS_High_min,CRWS_High_volatility,CRWS_High_change,CRWS_Low_average,CRWS_Low_max,CRWS_Low_min,CRWS_Low_volatility,CRWS_Low_change,CRWS_Close_average,CRWS_Close_max,CRWS_Close_min,CRWS_Close_volatility,CRWS_Close_change,CRWS_Volume_average,CRWS_Volume_max,CRWS_Volume_min,CRWS_Volume_volatility,CRWS_Volume_change
2018-01-14,7.222,7.26,7.15,0.10999999999999943,0.09999999999999964,7.378,7.54,7.25,0.29000000000000004,0.20000000000000018,7.156000000000001,7.2,7.07,0.1299999999999999,0.08999999999999986,7.24,7.3,7.15,0.14999999999999947,0.14999999999999947,16618,27320,5762,21558,-13935
2018-01-21,7.378,7.45,7.35,0.10000000000000053,0.0,7.428,7.45,7.4,0.04999999999999982,0.0,7.302,7.35,7.16,0.1899999999999995,-0.13999999999999968,7.396,7.45,7.35,0.10000000000000053,-0.020000000000000462,7922,14063,2665,11398,5718
2018-01-28,7.178,7.29,7.05,0.2400000000000002,-0.13999999999999968,7.292,7.4,7.2,0.20000000000000018,-0.20000000000000018,7.084,7.25,7.0,0.25,-0.25,7.176,7.25,7.1,0.15000000000000036,-0.09999999999999964,12588,22631,4472,18159,5802
2018-02-04,6.796,7.18,6.4,0.7799999999999994,-0.4500000000000002,6.896,7.25,6.43,0.8200000000000003,-0.6000000000000005,6.552,7.16,6.1,1.0600000000000005,-0.25,6.738,7.2,6.41,0.79,-0.5499999999999998,23911,52141,8713,43428,-3639
2018-02-11,6.525,6.55,6.45,0.09999999999999964,0.09999999999999964,6.62,6.65,6.58,0.07000000000000028,0.0,6.4375,6.55,6.2,0.34999999999999964,0.34999999999999964,6.5825,6.65,6.53,0.1200000000000001,-0.05000000000000071,10836,16260,6240,10020,6864
2018-02-18,6.5120000000000005,6.65,6.45,0.20000000000000018,-0.20000000000000018,6.538,6.65,6.45,0.20000000000000018,-0.20000000000000018,6.436,6.5,6.35,0.15000000000000036,-0.15000000000000036,6.446,6.5,6.35,0.15000000000000036,-0.15000000000000036,16757,33734,6034,27700,8835
2018-02-25,6.49,6.6,6.4,0.1999999999999993,0.1999999999999993,6.51,6.6,6.4,0.1999999999999993,0.09999999999999964,6.386,6.42,6.35,0.07000000000000028,0.0,6.45,6.5,6.35,0.15000000000000036,-0.04999999999999982,3887,6463,1546,4917,4209
2018-03-04,6.36,6.4,6.3,0.10000000000000053,-0.05000000000000071,6.394,6.45,6.35,0.10000000000000053,-0.10000000000000053,6.304,6.4,6.25,0.15000000000000036,-0.15000000000000036,6.326,6.4,6.3,0.10000000000000053,-0.10000000000000053,9882,14630,5885,8745,-1012
2018-03-11,6.184,6.3,6.1,0.20000000000000018,-0.1299999999999999,6.224,6.34,6.12,0.21999999999999975,-0.21999999999999975,6.1659999999999995,6.25,6.1,0.15000000000000036,-0.15000000000000036,6.18,6.25,6.1,0.15000000000000036,-0.15000000000000036,5786,8893,2666,6227,-824
2018-03-18,6.05,6.1,6.0,0.09999999999999964,-0.04999999999999982,6.074,6.1,6.05,0.04999999999999982,-0.02999999999999936,5.99,6.1,5.9,0.1999999999999993,-0.14999999999999947,6.03,6.1,6.0,0.09999999999999964,-0.04999999999999982,13705,31558,0,31558,-4710
