Date,PowerShares Preferred Portfolio_Open_average,PowerShares Preferred Portfolio_Open_max,PowerShares Preferred Portfolio_Open_min,PowerShares Preferred Portfolio_Open_volatility,PowerShares Preferred Portfolio_Open_change,PowerShares Preferred Portfolio_High_average,PowerShares Preferred Portfolio_High_max,PowerShares Preferred Portfolio_High_min,PowerShares Preferred Portfolio_High_volatility,PowerShares Preferred Portfolio_High_change,PowerShares Preferred Portfolio_Low_average,PowerShares Preferred Portfolio_Low_max,PowerShares Preferred Portfolio_Low_min,PowerShares Preferred Portfolio_Low_volatility,PowerShares Preferred Portfolio_Low_change,PowerShares Preferred Portfolio_Close_average,PowerShares Preferred Portfolio_Close_max,PowerShares Preferred Portfolio_Close_min,PowerShares Preferred Portfolio_Close_volatility,PowerShares Preferred Portfolio_Close_change
2018-01-14,14.7,14.7,14.7,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2018-01-21,14.6,14.6,14.6,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2018-01-28,14.35,14.35,14.35,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2018-02-04,14.35,14.35,14.35,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.35,14.35,14.35,0.0,0.0
2018-02-11,14.41,14.41,14.41,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.41,14.41,14.41,0.0,0.0
2018-02-18,14.44,14.44,14.44,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.48,14.48,14.48,0.0,0.0
2018-02-25,14.54,14.54,14.54,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2018-03-04,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2018-03-11,14.69,14.69,14.69,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-03-18,14.55,14.55,14.55,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-03-25,14.55,14.55,14.55,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2018-04-01,14.53,14.53,14.53,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2018-04-08,14.51,14.51,14.51,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2018-04-15,14.48,14.48,14.48,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2018-04-22,14.36,14.36,14.36,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.35,14.35,14.35,0.0,0.0
2018-04-29,14.36,14.36,14.36,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.41,14.41,14.41,0.0,0.0
2018-05-06,14.39,14.39,14.39,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.46,14.46,14.46,0.0,0.0
2018-05-13,14.39,14.39,14.39,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.41,14.41,14.41,0.0,0.0
2018-05-20,14.42,14.42,14.42,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.43,14.43,14.43,0.0,0.0
2018-05-27,14.44,14.44,14.44,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2018-06-03,14.62,14.62,14.62,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2018-06-10,14.59,14.59,14.59,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2018-06-17,14.51,14.51,14.51,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2018-06-24,14.51,14.51,14.51,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.56,14.56,14.56,0.0,0.0
2018-07-01,14.72,14.72,14.72,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2018-07-08,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2018-07-15,14.58,14.58,14.58,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2018-07-22,14.51,14.51,14.51,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2018-07-29,14.47,14.47,14.47,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2018-08-05,14.48,14.48,14.48,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2018-08-12,14.49,14.49,14.49,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-08-19,14.53,14.53,14.53,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.56,14.56,14.56,0.0,0.0
2018-08-26,14.62,14.62,14.62,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2018-09-02,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2018-09-09,14.5,14.5,14.5,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2018-09-16,14.39,14.39,14.39,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.42,14.42,14.42,0.0,0.0
2018-09-23,14.33,14.33,14.33,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-09-30,13.93,13.93,13.93,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.96,13.96,13.96,0.0,0.0
2018-10-07,13.97,13.97,13.97,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.92,13.92,13.92,0.0,0.0
