Date,iShares Mortgage Real Estate Capped_etf_Open_average,iShares Mortgage Real Estate Capped_etf_Open_max,iShares Mortgage Real Estate Capped_etf_Open_min,iShares Mortgage Real Estate Capped_etf_Open_volatility,iShares Mortgage Real Estate Capped_etf_Open_change,iShares Mortgage Real Estate Capped_etf_High_average,iShares Mortgage Real Estate Capped_etf_High_max,iShares Mortgage Real Estate Capped_etf_High_min,iShares Mortgage Real Estate Capped_etf_High_volatility,iShares Mortgage Real Estate Capped_etf_High_change,iShares Mortgage Real Estate Capped_etf_Low_average,iShares Mortgage Real Estate Capped_etf_Low_max,iShares Mortgage Real Estate Capped_etf_Low_min,iShares Mortgage Real Estate Capped_etf_Low_volatility,iShares Mortgage Real Estate Capped_etf_Low_change,iShares Mortgage Real Estate Capped_etf_Close_average,iShares Mortgage Real Estate Capped_etf_Close_max,iShares Mortgage Real Estate Capped_etf_Close_min,iShares Mortgage Real Estate Capped_etf_Close_volatility,iShares Mortgage Real Estate Capped_etf_Close_change
2018-01-14,43.49,43.49,43.49,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-01-21,43.85,43.85,43.85,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-01-28,41.94,41.94,41.94,0.0,0.0,42.02,42.02,42.02,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-02-04,40.77,40.77,40.77,0.0,0.0,41.06,41.06,41.06,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-02-11,42.5,42.5,42.5,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-18,41.62,41.62,41.62,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.45,41.45,41.45,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-02-25,40.58,40.58,40.58,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.57,40.57,40.57,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-03-04,42.12,42.12,42.12,0.0,0.0,42.32,42.32,42.32,0.0,0.0,41.86,41.86,41.86,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2018-03-11,42.66,42.66,42.66,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.66,42.66,42.66,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-03-18,41.68,41.68,41.68,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2018-03-25,42.14,42.14,42.14,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-04-01,42.55,42.55,42.55,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2018-04-08,42.08,42.08,42.08,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-04-15,42.12,42.12,42.12,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-04-22,42.55,42.55,42.55,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-04-29,42.72,42.72,42.72,0.0,0.0,43.36,43.36,43.36,0.0,0.0,42.66,42.66,42.66,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-05-06,43.42,43.42,43.42,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-05-13,43.3,43.3,43.3,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-05-20,43.8,43.8,43.8,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-05-27,43.94,43.94,43.94,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2018-06-03,44.16,44.16,44.16,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2018-06-10,44.18,44.18,44.18,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-06-17,44.89,44.89,44.89,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.74,44.74,44.74,0.0,0.0
