Date,Global X FertilizersPotash_Open_average,Global X FertilizersPotash_Open_max,Global X FertilizersPotash_Open_min,Global X FertilizersPotash_Open_volatility,Global X FertilizersPotash_Open_change,Global X FertilizersPotash_High_average,Global X FertilizersPotash_High_max,Global X FertilizersPotash_High_min,Global X FertilizersPotash_High_volatility,Global X FertilizersPotash_High_change,Global X FertilizersPotash_Low_average,Global X FertilizersPotash_Low_max,Global X FertilizersPotash_Low_min,Global X FertilizersPotash_Low_volatility,Global X FertilizersPotash_Low_change,Global X FertilizersPotash_Close_average,Global X FertilizersPotash_Close_max,Global X FertilizersPotash_Close_min,Global X FertilizersPotash_Close_volatility,Global X FertilizersPotash_Close_change
2018-01-14,10.75,10.75,10.75,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.78,10.78,10.78,0.0,0.0
2018-01-21,10.95,10.95,10.95,0.0,0.0,11.01,11.01,11.01,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.97,10.97,10.97,0.0,0.0
2018-01-28,10.51,10.51,10.51,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2018-02-04,9.79,9.79,9.79,0.0,0.0,9.86,9.86,9.86,0.0,0.0,9.61,9.61,9.61,0.0,0.0,9.86,9.86,9.86,0.0,0.0
2018-02-11,10.24,10.24,10.24,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.22,10.22,10.22,0.0,0.0
2018-02-18,10.45,10.45,10.45,0.0,0.0,10.58,10.58,10.58,0.0,0.0,10.44,10.44,10.44,0.0,0.0,10.56,10.56,10.56,0.0,0.0
2018-02-25,10.07,10.07,10.07,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.22,10.22,10.22,0.0,0.0
2018-03-04,10.56,10.56,10.56,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.71,10.71,10.71,0.0,0.0
2018-03-11,10.37,10.37,10.37,0.0,0.0,10.37,10.37,10.37,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.31,10.31,10.31,0.0,0.0
2018-03-18,10.02,10.02,10.02,0.0,0.0,10.09,10.09,10.09,0.0,0.0,9.99,9.99,9.99,0.0,0.0,9.99,9.99,9.99,0.0,0.0
2018-03-25,9.97,9.97,9.97,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.97,9.97,9.97,0.0,0.0
2018-04-01,10.22,10.22,10.22,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.06,10.06,10.06,0.0,0.0
