Date,ASFI_stock_Open_average,ASFI_stock_Open_max,ASFI_stock_Open_min,ASFI_stock_Open_volatility,ASFI_stock_Open_change,ASFI_stock_High_average,ASFI_stock_High_max,ASFI_stock_High_min,ASFI_stock_High_volatility,ASFI_stock_High_change,ASFI_stock_Low_average,ASFI_stock_Low_max,ASFI_stock_Low_min,ASFI_stock_Low_volatility,ASFI_stock_Low_change,ASFI_stock_Close_average,ASFI_stock_Close_max,ASFI_stock_Close_min,ASFI_stock_Close_volatility,ASFI_stock_Close_change,ASFI_stock_Volume_average,ASFI_stock_Volume_max,ASFI_stock_Volume_min,ASFI_stock_Volume_volatility,ASFI_stock_Volume_change
2018-01-14,7.2775,7.35,7.15,0.1999999999999993,0.14999999999999947,7.3275,7.36,7.3,0.0600000000000005,0.0,7.15,7.3,6.85,0.4500000000000002,-0.3000000000000007,7.2875,7.35,7.2,0.14999999999999947,-0.09999999999999964,14969,35192,2682,32510,32510
2018-01-21,7.166,7.33,7.05,0.28000000000000025,0.17999999999999972,7.206,7.33,7.05,0.28000000000000025,0.08000000000000007,7.09,7.15,7.05,0.10000000000000053,0.0,7.104,7.22,7.05,0.16999999999999993,0.0,4152,8102,449,7653,-4909
2018-01-28,7.155,7.2,7.1,0.10000000000000053,0.08000000000000007,7.202500000000001,7.25,7.16,0.08999999999999986,0.040000000000000036,7.125,7.2,7.1,0.10000000000000053,0.10000000000000053,7.2,7.25,7.15,0.09999999999999964,0.04999999999999982,5741,9823,278,9545,-9545
2018-02-04,10.034,11.4,7.17,4.23,3.83,10.394,11.45,7.17,4.279999999999999,4.279999999999999,9.688,10.94,7.15,3.789999999999999,3.789999999999999,10.03,11.25,7.15,4.1,4.1,126858,209616,883,208733,208733
2018-02-11,11.01,11.5,10.2,1.3000000000000007,-1.1000000000000014,11.18,11.5,10.7,0.8000000000000007,-0.6000000000000014,10.468,11.1,8.15,2.9499999999999993,-2.9499999999999993,10.958,11.15,10.25,0.9000000000000004,-0.9000000000000004,114684,238391,51279,187112,116886
2018-02-18,4.68,4.89,4.39,0.5,0.5,4.8625,4.96,4.64,0.3200000000000003,0.25,4.612500000000001,4.87,4.23,0.6399999999999997,0.5499999999999998,4.7775,4.89,4.55,0.33999999999999986,0.25,30888,90109,5306,84803,-78498
2018-02-25,4.7,4.9,4.5,0.40000000000000036,0.019999999999999574,4.854,5.3,4.62,0.6799999999999997,-0.020000000000000462,4.472,4.75,4.25,0.5,-0.20000000000000018,4.56,4.85,4.4,0.4499999999999993,-0.09999999999999964,63544,163683,11168,152515,49719
2018-03-04,4.25,4.45,4.1,0.35000000000000053,-0.35000000000000053,4.392,4.45,4.25,0.20000000000000018,-0.04999999999999982,4.09,4.2,4.0,0.20000000000000018,0.09999999999999964,4.2,4.45,4.1,0.35000000000000053,0.0,26968,47272,8368,38904,-38904
2018-03-11,4.1899999999999995,4.35,4.1,0.25,0.0,4.3500000000000005,4.45,4.2,0.25,-0.09999999999999964,4.13,4.2,4.1,0.10000000000000053,0.0,4.18,4.3,4.1,0.20000000000000018,-0.10000000000000053,22896,53814,5449,48365,30669
2018-03-18,4.1,4.15,4.05,0.10000000000000053,0.04999999999999982,4.19,4.2,4.15,0.04999999999999982,-0.04999999999999982,4.09,4.1,4.05,0.04999999999999982,0.04999999999999982,4.109999999999999,4.15,4.1,0.05000000000000071,0.0,5241,14380,1375,13005,-13005
2018-03-25,3.95,4.15,3.75,0.40000000000000036,-0.40000000000000036,4.0,4.2,3.8,0.40000000000000036,-0.40000000000000036,3.75,4.1,3.55,0.5499999999999998,-0.44999999999999973,3.8499999999999996,4.1,3.75,0.34999999999999964,-0.34999999999999964,17540,52243,2968,49275,-5067
