Date,ProShares Ultra Gold_etf_Open_average,ProShares Ultra Gold_etf_Open_max,ProShares Ultra Gold_etf_Open_min,ProShares Ultra Gold_etf_Open_volatility,ProShares Ultra Gold_etf_Open_change,ProShares Ultra Gold_etf_High_average,ProShares Ultra Gold_etf_High_max,ProShares Ultra Gold_etf_High_min,ProShares Ultra Gold_etf_High_volatility,ProShares Ultra Gold_etf_High_change,ProShares Ultra Gold_etf_Low_average,ProShares Ultra Gold_etf_Low_max,ProShares Ultra Gold_etf_Low_min,ProShares Ultra Gold_etf_Low_volatility,ProShares Ultra Gold_etf_Low_change,ProShares Ultra Gold_etf_Close_average,ProShares Ultra Gold_etf_Close_max,ProShares Ultra Gold_etf_Close_min,ProShares Ultra Gold_etf_Close_volatility,ProShares Ultra Gold_etf_Close_change
2018-01-14,42.46,42.46,42.46,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-01-21,43.6,43.6,43.6,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-01-28,42.47,42.47,42.47,0.0,0.0,42.57,42.57,42.57,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2018-02-04,40.97,40.97,40.97,0.0,0.0,41.36,41.36,41.36,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-02-11,43.43,43.43,43.43,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-02-18,41.99,41.99,41.99,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2018-02-25,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-03-04,41.16,41.16,41.16,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-03-11,41.08,41.08,41.08,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-03-18,42.96,42.96,42.96,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.85,42.85,42.85,0.0,0.0
