Date,iShares Core MSCI Total International Stock_Open_average,iShares Core MSCI Total International Stock_Open_max,iShares Core MSCI Total International Stock_Open_min,iShares Core MSCI Total International Stock_Open_volatility,iShares Core MSCI Total International Stock_Open_change,iShares Core MSCI Total International Stock_High_average,iShares Core MSCI Total International Stock_High_max,iShares Core MSCI Total International Stock_High_min,iShares Core MSCI Total International Stock_High_volatility,iShares Core MSCI Total International Stock_High_change,iShares Core MSCI Total International Stock_Low_average,iShares Core MSCI Total International Stock_Low_max,iShares Core MSCI Total International Stock_Low_min,iShares Core MSCI Total International Stock_Low_volatility,iShares Core MSCI Total International Stock_Low_change,iShares Core MSCI Total International Stock_Close_average,iShares Core MSCI Total International Stock_Close_max,iShares Core MSCI Total International Stock_Close_min,iShares Core MSCI Total International Stock_Close_volatility,iShares Core MSCI Total International Stock_Close_change
2018-01-14,66.66,66.66,66.66,0.0,0.0,66.97,66.97,66.97,0.0,0.0,66.59,66.59,66.59,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-01-21,67.34,67.34,67.34,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.13,67.13,67.13,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-01-28,64.44,64.44,64.44,0.0,0.0,64.8,64.8,64.8,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.6,62.6,62.6,0.0,0.0
2018-02-04,62.18,62.18,62.18,0.0,0.0,62.77,62.77,62.77,0.0,0.0,61.92,61.92,61.92,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2018-02-11,64.29,64.29,64.29,0.0,0.0,64.85,64.85,64.85,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2018-02-18,64.79,64.79,64.79,0.0,0.0,65.11,65.11,65.11,0.0,0.0,64.56,64.56,64.56,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2018-02-25,62.26,62.26,62.26,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.26,62.26,62.26,0.0,0.0,63.04,63.04,63.04,0.0,0.0
2018-03-04,64.19,64.19,64.19,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-03-11,63.59,63.59,63.59,0.0,0.0,63.63,63.63,63.63,0.0,0.0,62.98,62.98,62.98,0.0,0.0,63.26,63.26,63.26,0.0,0.0
2018-03-18,62.54,62.54,62.54,0.0,0.0,62.83,62.83,62.83,0.0,0.0,61.97,61.97,61.97,0.0,0.0,62.81,62.81,62.81,0.0,0.0
2018-03-25,62.83,62.83,62.83,0.0,0.0,62.88,62.88,62.88,0.0,0.0,61.69,61.69,61.69,0.0,0.0,62.05,62.05,62.05,0.0,0.0
2018-04-01,63.04,63.04,63.04,0.0,0.0,63.35,63.35,63.35,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.86,62.86,62.86,0.0,0.0
2018-04-08,63.76,63.76,63.76,0.0,0.0,63.79,63.79,63.79,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.73,63.73,63.73,0.0,0.0
2018-04-15,63.61,63.61,63.61,0.0,0.0,63.68,63.68,63.68,0.0,0.0,63.35,63.35,63.35,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-04-22,63.61,63.61,63.61,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0
2018-04-29,63.28,63.28,63.28,0.0,0.0,63.48,63.48,63.48,0.0,0.0,63.19,63.19,63.19,0.0,0.0,63.33,63.33,63.33,0.0,0.0
2018-05-06,64.47,64.47,64.47,0.0,0.0,64.57,64.57,64.57,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-05-13,63.98,63.98,63.98,0.0,0.0,64.02,64.02,64.02,0.0,0.0,63.82,63.82,63.82,0.0,0.0,63.95,63.95,63.95,0.0,0.0
2018-05-20,62.99,62.99,62.99,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.01,63.01,63.01,0.0,0.0
2018-05-27,63.19,63.19,63.19,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2018-06-03,63.37,63.37,63.37,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.5,63.5,63.5,0.0,0.0
2018-06-10,61.86,61.86,61.86,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.7,61.7,61.7,0.0,0.0,62.02,62.02,62.02,0.0,0.0
2018-06-17,60.3,60.3,60.3,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.94,59.94,59.94,0.0,0.0
2018-06-24,59.18,59.18,59.18,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2018-07-01,60.88,60.88,60.88,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.75,60.75,60.75,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-07-08,60.64,60.64,60.64,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2018-07-15,60.76,60.76,60.76,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-07-22,61.73,61.73,61.73,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2018-07-29,60.59,60.59,60.59,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.65,60.65,60.65,0.0,0.0
2018-08-05,59.53,59.53,59.53,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2018-08-12,59.28,59.28,59.28,0.0,0.0,59.48,59.48,59.48,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2018-08-19,60.65,60.65,60.65,0.0,0.0,61.03,61.03,61.03,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.98,60.98,60.98,0.0,0.0
2018-08-26,60.18,60.18,60.18,0.0,0.0,60.41,60.41,60.41,0.0,0.0,59.89,59.89,59.89,0.0,0.0,60.18,60.18,60.18,0.0,0.0
2018-09-02,58.71,58.71,58.71,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-09-09,59.4,59.4,59.4,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.24,59.24,59.24,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2018-09-16,60.73,60.73,60.73,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.49,60.49,60.49,0.0,0.0,60.49,60.49,60.49,0.0,0.0
2018-09-23,60.62,60.62,60.62,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2018-09-30,58.11,58.11,58.11,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.91,57.91,57.91,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2018-10-07,56.47,56.47,56.47,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.46,56.46,56.46,0.0,0.0
