Date,Global X Silver Miners_Open_average,Global X Silver Miners_Open_max,Global X Silver Miners_Open_volatility,Global X Silver Miners_Open_change,Global X Silver Miners_High_average,Global X Silver Miners_High_max,Global X Silver Miners_High_volatility,Global X Silver Miners_High_change,Global X Silver Miners_Low_average,Global X Silver Miners_Low_max,Global X Silver Miners_Low_volatility,Global X Silver Miners_Low_change,Global X Silver Miners_Close_average,Global X Silver Miners_Close_max,Global X Silver Miners_Close_volatility,Global X Silver Miners_Close_change
2016-01-03,18.8,18.8,0.0,0.0,18.8,18.8,0.0,0.0,17.79,17.79,0.0,0.0,17.98,17.98,0.0,0.0
2016-01-10,16.99,16.99,0.0,0.0,17.01,17.01,0.0,0.0,16.29,16.29,0.0,0.0,16.3,16.3,0.0,0.0
2016-01-17,16.28,16.28,0.0,0.0,16.48,16.48,0.0,0.0,16.08,16.08,0.0,0.0,16.11,16.11,0.0,0.0
2016-01-24,18.11,18.11,0.0,0.0,18.58,18.58,0.0,0.0,18.11,18.11,0.0,0.0,18.48,18.48,0.0,0.0
2016-01-31,20.44,20.44,0.0,0.0,21.25,21.25,0.0,0.0,20.44,20.44,0.0,0.0,20.75,20.75,0.0,0.0
2016-02-07,21.13,21.13,0.0,0.0,22.2,22.2,0.0,0.0,21.0,21.0,0.0,0.0,22.14,22.14,0.0,0.0
2016-02-14,22.11,22.11,0.0,0.0,22.95,22.95,0.0,0.0,22.03,22.03,0.0,0.0,22.73,22.73,0.0,0.0
2016-02-21,22.96,22.96,0.0,0.0,23.48,23.48,0.0,0.0,22.96,22.96,0.0,0.0,23.28,23.28,0.0,0.0
2016-02-28,25.12,25.12,0.0,0.0,26.03,26.03,0.0,0.0,25.12,25.12,0.0,0.0,25.88,25.88,0.0,0.0
2016-03-06,26.09,26.09,0.0,0.0,26.36,26.36,0.0,0.0,25.31,25.31,0.0,0.0,25.34,25.34,0.0,0.0
2016-03-13,27.46,27.46,0.0,0.0,28.02,28.02,0.0,0.0,27.4,27.4,0.0,0.0,27.83,27.83,0.0,0.0
2016-03-20,26.73,26.73,0.0,0.0,26.73,26.73,0.0,0.0,25.83,25.83,0.0,0.0,26.2,26.2,0.0,0.0
2016-03-27,26.5,26.5,0.0,0.0,26.5,26.5,0.0,0.0,25.8,25.8,0.0,0.0,25.84,25.84,0.0,0.0
2016-04-03,28.84,28.84,0.0,0.0,29.8,29.8,0.0,0.0,28.5,28.5,0.0,0.0,29.65,29.65,0.0,0.0
2016-04-10,30.65,30.65,0.0,0.0,30.7,30.7,0.0,0.0,30.01,30.01,0.0,0.0,30.62,30.62,0.0,0.0
