Date,First Trust Japan AlphaDEXEtf_Open_average,First Trust Japan AlphaDEXEtf_Open_max,First Trust Japan AlphaDEXEtf_Open_min,First Trust Japan AlphaDEXEtf_Open_volatility,First Trust Japan AlphaDEXEtf_Open_change,First Trust Japan AlphaDEXEtf_High_average,First Trust Japan AlphaDEXEtf_High_max,First Trust Japan AlphaDEXEtf_High_min,First Trust Japan AlphaDEXEtf_High_volatility,First Trust Japan AlphaDEXEtf_High_change,First Trust Japan AlphaDEXEtf_Low_average,First Trust Japan AlphaDEXEtf_Low_max,First Trust Japan AlphaDEXEtf_Low_min,First Trust Japan AlphaDEXEtf_Low_volatility,First Trust Japan AlphaDEXEtf_Low_change,First Trust Japan AlphaDEXEtf_Close_average,First Trust Japan AlphaDEXEtf_Close_max,First Trust Japan AlphaDEXEtf_Close_min,First Trust Japan AlphaDEXEtf_Close_volatility,First Trust Japan AlphaDEXEtf_Close_change
2018-01-14,63.02,63.02,63.02,0.0,0.0,63.02,63.02,63.02,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-01-21,62.9,62.9,62.9,0.0,0.0,63.38,63.38,63.38,0.0,0.0,62.75,62.75,62.75,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-01-28,61.78,61.78,61.78,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.33,61.33,61.33,0.0,0.0
2018-02-04,57.32,57.32,57.32,0.0,0.0,57.32,57.32,57.32,0.0,0.0,55.59,55.59,55.59,0.0,0.0,56.82,56.82,56.82,0.0,0.0
2018-02-11,59.11,59.11,59.11,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2018-02-18,59.53,59.53,59.53,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-02-25,57.43,57.43,57.43,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.43,57.43,57.43,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-03-04,58.15,58.15,58.15,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2018-03-11,58.73,58.73,58.73,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.78,58.78,58.78,0.0,0.0
2018-03-18,57.04,57.04,57.04,0.0,0.0,57.38,57.38,57.38,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.11,56.11,56.11,0.0,0.0
