Date,Columbia Sustainable International Equity Income_Open_average,Columbia Sustainable International Equity Income_Open_max,Columbia Sustainable International Equity Income_Open_min,Columbia Sustainable International Equity Income_Open_volatility,Columbia Sustainable International Equity Income_Open_change,Columbia Sustainable International Equity Income_High_average,Columbia Sustainable International Equity Income_High_max,Columbia Sustainable International Equity Income_High_min,Columbia Sustainable International Equity Income_High_volatility,Columbia Sustainable International Equity Income_High_change,Columbia Sustainable International Equity Income_Low_average,Columbia Sustainable International Equity Income_Low_max,Columbia Sustainable International Equity Income_Low_min,Columbia Sustainable International Equity Income_Low_volatility,Columbia Sustainable International Equity Income_Low_change,Columbia Sustainable International Equity Income_Close_average,Columbia Sustainable International Equity Income_Close_max,Columbia Sustainable International Equity Income_Close_min,Columbia Sustainable International Equity Income_Close_volatility,Columbia Sustainable International Equity Income_Close_change
2018-01-14,31.55,31.55,31.55,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.55,31.55,31.55,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-01-21,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-01-28,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-02-04,29.73,29.73,29.73,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-02-11,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-02-18,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-02-25,29.15,29.15,29.15,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-03-04,30.13,30.13,30.13,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-03-11,29.6,29.6,29.6,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-03-18,28.99,28.99,28.99,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-03-25,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-04-01,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-04-08,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-04-15,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-04-22,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-04-29,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-05-06,30.5,30.5,30.5,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-05-13,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-05-20,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-05-27,29.81,29.81,29.81,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-06-03,29.97,29.97,29.97,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-06-10,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-06-17,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2018-06-24,28.2,28.2,28.2,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-07-01,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-07-08,28.47,28.47,28.47,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-07-15,28.79,28.79,28.79,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-07-22,29.3,29.3,29.3,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-07-29,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-08-05,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-08-12,28.02,28.02,28.02,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-08-19,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-08-26,28.66,28.66,28.66,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-09-02,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0
