Date,ProShares Ultra S&P500Etf_Open_average,ProShares Ultra S&P500Etf_Open_max,ProShares Ultra S&P500Etf_Open_min,ProShares Ultra S&P500Etf_Open_volatility,ProShares Ultra S&P500Etf_Open_change,ProShares Ultra S&P500Etf_High_average,ProShares Ultra S&P500Etf_High_max,ProShares Ultra S&P500Etf_High_min,ProShares Ultra S&P500Etf_High_volatility,ProShares Ultra S&P500Etf_High_change,ProShares Ultra S&P500Etf_Low_average,ProShares Ultra S&P500Etf_Low_max,ProShares Ultra S&P500Etf_Low_min,ProShares Ultra S&P500Etf_Low_volatility,ProShares Ultra S&P500Etf_Low_change,ProShares Ultra S&P500Etf_Close_average,ProShares Ultra S&P500Etf_Close_max,ProShares Ultra S&P500Etf_Close_min,ProShares Ultra S&P500Etf_Close_volatility,ProShares Ultra S&P500Etf_Close_change
2018-01-14,119.93,119.93,119.93,0.0,0.0,120.47,120.47,120.47,0.0,0.0,119.4,119.4,119.4,0.0,0.0,120.47,120.47,120.47,0.0,0.0
2018-01-21,123.71,123.71,123.71,0.0,0.0,125.72,125.72,125.72,0.0,0.0,123.46,123.46,123.46,0.0,0.0,125.71,125.71,125.71,0.0,0.0
2018-01-28,119.99,119.99,119.99,0.0,0.0,120.12,120.12,120.12,0.0,0.0,115.99,115.99,115.99,0.0,0.0,116.06,116.06,116.06,0.0,0.0
2018-02-04,103.65,103.65,103.65,0.0,0.0,105.69,105.69,105.69,0.0,0.0,97.35,97.35,97.35,0.0,0.0,104.21,104.21,104.21,0.0,0.0
2018-02-11,112.75,112.75,112.75,0.0,0.0,115.24,115.24,115.24,0.0,0.0,112.72,112.72,112.72,0.0,0.0,113.38,113.38,113.38,0.0,0.0
2018-02-18,112.28,112.28,112.28,0.0,0.0,114.63,114.63,114.63,0.0,0.0,111.85,111.85,111.85,0.0,0.0,114.61,114.61,114.61,0.0,0.0
2018-02-25,107.15,107.15,107.15,0.0,0.0,110.37,110.37,110.37,0.0,0.0,106.38,106.38,106.38,0.0,0.0,109.91,109.91,109.91,0.0,0.0
2018-03-04,115.25,115.25,115.25,0.0,0.0,117.86,117.86,117.86,0.0,0.0,114.95,114.95,114.95,0.0,0.0,117.81,117.81,117.81,0.0,0.0
2018-03-11,115.01,115.01,115.01,0.0,0.0,115.79,115.79,115.79,0.0,0.0,114.78,114.78,114.78,0.0,0.0,114.83,114.83,114.83,0.0,0.0
2018-03-18,106.3,106.3,106.3,0.0,0.0,106.94,106.94,106.94,0.0,0.0,101.2,101.2,101.2,0.0,0.0,101.35,101.35,101.35,0.0,0.0
