Date,iShares MSCI USA ESG Optimized_Open_average,iShares MSCI USA ESG Optimized_Open_max,iShares MSCI USA ESG Optimized_Open_min,iShares MSCI USA ESG Optimized_Open_volatility,iShares MSCI USA ESG Optimized_Open_change,iShares MSCI USA ESG Optimized_High_average,iShares MSCI USA ESG Optimized_High_max,iShares MSCI USA ESG Optimized_High_min,iShares MSCI USA ESG Optimized_High_volatility,iShares MSCI USA ESG Optimized_High_change,iShares MSCI USA ESG Optimized_Low_average,iShares MSCI USA ESG Optimized_Low_max,iShares MSCI USA ESG Optimized_Low_min,iShares MSCI USA ESG Optimized_Low_volatility,iShares MSCI USA ESG Optimized_Low_change,iShares MSCI USA ESG Optimized_Close_average,iShares MSCI USA ESG Optimized_Close_max,iShares MSCI USA ESG Optimized_Close_min,iShares MSCI USA ESG Optimized_Close_volatility,iShares MSCI USA ESG Optimized_Close_change
2018-01-14,61.02,61.02,61.02,0.0,0.0,61.03,61.03,61.03,0.0,0.0,61.01,61.01,61.01,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-01-21,62.29,62.29,62.29,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.29,62.29,62.29,0.0,0.0,62.54,62.54,62.54,0.0,0.0
2018-01-28,60.96,60.96,60.96,0.0,0.0,60.96,60.96,60.96,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2018-02-04,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0,55.55,55.55,55.55,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2018-02-11,59.3,59.3,59.3,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2018-02-18,59.51,59.51,59.51,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2018-02-25,58.05,58.05,58.05,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2018-03-04,60.34,60.34,60.34,0.0,0.0,60.97,60.97,60.97,0.0,0.0,60.29,60.29,60.29,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2018-03-11,60.37,60.37,60.37,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.33,60.33,60.33,0.0,0.0,60.47,60.47,60.47,0.0,0.0
2018-03-18,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-03-25,57.3,57.3,57.3,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.07,57.07,57.07,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-04-01,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2018-04-08,58.75,58.75,58.75,0.0,0.0,58.75,58.75,58.75,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2018-04-15,58.99,58.99,58.99,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-04-22,58.7,58.7,58.7,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.4,58.4,58.4,0.0,0.0
