Date,ITT_stock_Open_average,ITT_stock_Open_max,ITT_stock_Open_min,ITT_stock_Open_volatility,ITT_stock_Open_change,ITT_stock_High_average,ITT_stock_High_max,ITT_stock_High_min,ITT_stock_High_volatility,ITT_stock_High_change,ITT_stock_Low_average,ITT_stock_Low_max,ITT_stock_Low_min,ITT_stock_Low_volatility,ITT_stock_Low_change,ITT_stock_Close_average,ITT_stock_Close_max,ITT_stock_Close_min,ITT_stock_Close_volatility,ITT_stock_Close_change,ITT_stock_Volume_average,ITT_stock_Volume_max,ITT_stock_Volume_min,ITT_stock_Volume_volatility,ITT_stock_Volume_change
2018-01-14,55.185,55.58,54.64,0.9399999999999977,0.0899999999999963,55.665,56.3,55.4,0.8999999999999986,0.8099999999999952,54.555,55.4,53.96,1.4399999999999977,1.4399999999999977,55.2575,56.28,54.36,1.9200000000000017,1.9200000000000017,609146,1102362,324901,777461,777461
2018-01-21,56.65,57.13,56.02,1.1099999999999994,0.8300000000000054,57.01,57.43,56.68,0.75,0.75,55.910000000000004,56.8,54.69,2.1099999999999994,1.2099999999999937,56.764,57.43,56.41,1.0200000000000031,1.009999999999998,677672,807618,525279,282339,129478
2018-01-28,56.434,57.22,55.7,1.519999999999996,-1.519999999999996,56.726,57.62,55.74,1.8799999999999955,-1.8799999999999955,55.858,56.85,54.98,1.8700000000000045,-1.8700000000000045,56.142,56.94,55.18,1.759999999999998,-1.759999999999998,638961,724178,567730,156448,55111
2018-02-04,52.3,54.53,51.09,3.4399999999999977,-3.4399999999999977,52.894,55.37,51.14,4.229999999999997,-4.229999999999997,50.982,52.48,49.06,3.4199999999999946,-3.4199999999999946,51.602000000000004,52.53,50.38,2.1499999999999986,-2.0,584415,625470,551689,73781,13953
2018-02-11,51.424,52.6,50.53,2.0700000000000003,1.7000000000000028,52.134,53.79,51.19,2.6000000000000014,2.289999999999999,50.792,51.78,50.19,1.5900000000000034,1.5700000000000003,51.870000000000005,53.52,50.88,2.6400000000000006,2.3500000000000014,922806,1531775,553843,977932,328663
2018-02-18,52.7675,53.22,52.1,1.1199999999999974,-0.3200000000000003,53.3025,53.46,53.08,0.38000000000000256,-0.1700000000000017,52.0025,52.3,51.63,0.6699999999999946,0.44999999999999574,52.405,52.67,51.92,0.75,0.75,576841,1009086,332863,676223,-676223
2018-02-25,51.504,53.24,48.87,4.3700000000000045,-4.18,51.876,53.71,49.57,4.140000000000001,-3.8299999999999983,50.476,52.58,48.57,4.009999999999998,-4.009999999999998,50.894,53.27,49.35,3.9200000000000017,-3.8200000000000003,619394,1181539,342393,839146,164427
2018-03-04,51.112,52.33,49.11,3.219999999999999,3.219999999999999,52.044,53.34,50.8,2.5400000000000063,2.5400000000000063,50.646,51.91,49.11,2.799999999999997,2.799999999999997,51.896,53.27,50.55,2.720000000000006,2.720000000000006,458201,554446,315023,239423,15827
2018-03-11,51.928,53.3,50.91,2.3900000000000006,-2.3900000000000006,52.232,53.3,51.34,1.9599999999999937,-1.4799999999999969,51.236,52.22,50.83,1.3900000000000006,-1.3100000000000023,51.546,52.47,51.02,1.4499999999999957,-0.8399999999999963,1021630,2108224,385741,1722483,427456
2018-03-18,51.446,52.03,50.35,1.6799999999999997,-0.9499999999999957,51.988,52.89,50.87,2.020000000000003,-0.730000000000004,50.566,51.88,48.78,3.1000000000000014,-1.7899999999999991,50.93,52.43,48.88,3.549999999999997,-2.489999999999995,451834,779553,311400,468153,-394165
