Date,IRET_stock_Open_average,IRET_stock_Open_max,IRET_stock_Open_min,IRET_stock_Open_volatility,IRET_stock_Open_change,IRET_stock_High_average,IRET_stock_High_max,IRET_stock_High_min,IRET_stock_High_volatility,IRET_stock_High_change,IRET_stock_Low_average,IRET_stock_Low_max,IRET_stock_Low_min,IRET_stock_Low_volatility,IRET_stock_Low_change,IRET_stock_Close_average,IRET_stock_Close_max,IRET_stock_Close_min,IRET_stock_Close_volatility,IRET_stock_Close_change,IRET_stock_Volume_average,IRET_stock_Volume_max,IRET_stock_Volume_min,IRET_stock_Volume_volatility,IRET_stock_Volume_change
2018-01-14,56.725,57.4,56.2,1.1999999999999957,0.5,57.275,57.6,57.0,0.6000000000000014,-0.5,56.375,56.6,56.2,0.3999999999999986,0.3999999999999986,57.05,57.4,56.8,0.6000000000000014,-0.29999999999999716,54935,73968,46771,27197,-27197
2018-01-21,57.62,58.1,57.4,0.7000000000000028,0.0,58.02,58.5,57.6,0.8999999999999986,0.0,57.12,57.7,56.4,1.3000000000000043,-0.7000000000000028,57.52,58.2,56.7,1.5,-0.6999999999999957,35874,46008,27387,18621,-4695
2018-01-28,56.199999999999996,56.8,55.3,1.5,-1.5,56.578,57.1,55.8,1.3000000000000043,-1.3000000000000043,55.51,56.1,54.5,1.6000000000000014,-1.6000000000000014,55.92,56.7,54.8,1.9000000000000057,-1.5,43250,52460,33907,18553,-18553
2018-02-04,51.839999999999996,54.5,50.8,3.700000000000003,-3.700000000000003,52.85,55.1,51.55,3.5500000000000043,-3.5500000000000043,50.7,51.8,50.1,1.6999999999999957,-1.6999999999999957,51.3,52.1,50.5,1.6000000000000014,-1.0,56207,73638,39250,34388,-23000
2018-02-11,50.0,51.1,49.1,2.0,-1.1000000000000014,50.58,51.1,50.2,0.8999999999999986,-0.20000000000000284,49.21,50.0,48.7,1.2999999999999972,0.9500000000000028,50.02,50.5,49.0,1.5,0.29999999999999716,47367,67957,23414,44543,-37817
2018-02-18,48.975,50.2,48.0,2.200000000000003,-1.6000000000000014,49.45,50.7,48.8,1.9000000000000057,-1.9000000000000057,47.9875,49.0,47.3,1.7000000000000028,-1.7000000000000028,48.35,49.1,48.0,1.1000000000000014,-1.1000000000000014,42648,61710,25439,36271,29250
2018-02-25,47.54,48.7,46.5,2.200000000000003,-1.2000000000000028,48.21,49.0,47.5,1.5,-1.2000000000000028,46.91,48.0,46.1,1.8999999999999986,-1.2000000000000028,47.58,48.9,46.5,2.3999999999999986,-1.2999999999999972,53310,97170,35012,62158,-3706
2018-03-04,47.84,48.3,47.6,0.6999999999999957,0.10000000000000142,48.36,48.9,47.9,1.0,-0.10000000000000142,47.28,47.9,46.8,1.1000000000000014,-0.4000000000000057,47.76,48.3,47.4,0.8999999999999986,-0.20000000000000284,69171,113240,49335,63905,12623
2018-03-11,48.22,48.9,47.6,1.2999999999999972,0.8999999999999986,49.18,49.9,48.1,1.7999999999999972,1.6999999999999957,47.95,48.5,47.2,1.2999999999999972,1.2999999999999972,48.74,49.4,48.0,1.3999999999999986,1.3999999999999986,99466,139707,61332,78375,78375
2018-03-18,50.5,51.2,49.7,1.5,1.5,51.17,51.65,50.8,0.8500000000000014,0.7000000000000028,50.082,50.6,49.4,1.2000000000000028,1.2000000000000028,50.64,51.2,50.3,0.9000000000000057,0.0,70136,82608,65273,17335,-900
