Date,Franklin LibertyQ US_Open_average,Franklin LibertyQ US_Open_max,Franklin LibertyQ US_Open_min,Franklin LibertyQ US_Open_volatility,Franklin LibertyQ US_Open_change,Franklin LibertyQ US_High_average,Franklin LibertyQ US_High_max,Franklin LibertyQ US_High_min,Franklin LibertyQ US_High_volatility,Franklin LibertyQ US_High_change,Franklin LibertyQ US_Low_average,Franklin LibertyQ US_Low_max,Franklin LibertyQ US_Low_min,Franklin LibertyQ US_Low_volatility,Franklin LibertyQ US_Low_change,Franklin LibertyQ US_Close_average,Franklin LibertyQ US_Close_max,Franklin LibertyQ US_Close_min,Franklin LibertyQ US_Close_volatility,Franklin LibertyQ US_Close_change
2018-01-14,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-01-21,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-01-28,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-02-04,28.3,28.3,28.3,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-02-11,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-02-18,29.02,29.02,29.02,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-02-25,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-03-04,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-03-11,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-03-18,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0
