Date,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Open_average,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Open_max,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Open_min,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Open_volatility,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Open_change,Direxion Daily MSCI Mexico Bull 3X Shares_etf_High_average,Direxion Daily MSCI Mexico Bull 3X Shares_etf_High_max,Direxion Daily MSCI Mexico Bull 3X Shares_etf_High_min,Direxion Daily MSCI Mexico Bull 3X Shares_etf_High_volatility,Direxion Daily MSCI Mexico Bull 3X Shares_etf_High_change,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Low_average,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Low_max,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Low_min,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Low_volatility,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Low_change,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Close_average,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Close_max,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Close_min,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Close_volatility,Direxion Daily MSCI Mexico Bull 3X Shares_etf_Close_change
2018-01-14,301.2,301.2,301.2,0.0,0.0,301.8,301.8,301.8,0.0,0.0,296.4,296.4,296.4,0.0,0.0,296.4,296.4,296.4,0.0,0.0
2018-01-21,316.2,316.2,316.2,0.0,0.0,322.87,322.87,322.87,0.0,0.0,315.6,315.6,315.6,0.0,0.0,322.46,322.46,322.46,0.0,0.0
2018-01-28,310.32,310.32,310.32,0.0,0.0,310.32,310.32,310.32,0.0,0.0,298.15,298.15,298.15,0.0,0.0,301.33,301.33,301.33,0.0,0.0
2018-02-04,255.84,255.84,255.84,0.0,0.0,255.84,255.84,255.84,0.0,0.0,234.6,234.6,234.6,0.0,0.0,255.72,255.72,255.72,0.0,0.0
2018-02-11,289.44,289.44,289.44,0.0,0.0,291.52,291.52,291.52,0.0,0.0,282.48,282.48,282.48,0.0,0.0,282.48,282.48,282.48,0.0,0.0
2018-02-18,277.68,277.68,277.68,0.0,0.0,277.68,277.68,277.68,0.0,0.0,275.76,275.76,275.76,0.0,0.0,276.12,276.12,276.12,0.0,0.0
2018-02-25,240.0,240.0,240.0,0.0,0.0,250.56,250.56,250.56,0.0,0.0,238.8,238.8,238.8,0.0,0.0,250.56,250.56,250.56,0.0,0.0
2018-03-04,274.44,274.44,274.44,0.0,0.0,279.42,279.42,279.42,0.0,0.0,274.44,274.44,274.44,0.0,0.0,275.04,275.04,275.04,0.0,0.0
2018-03-11,255.36,255.36,255.36,0.0,0.0,264.24,264.24,264.24,0.0,0.0,253.68,253.68,253.68,0.0,0.0,254.04,254.04,254.04,0.0,0.0
2018-03-18,262.56,262.56,262.56,0.0,0.0,262.69,262.69,262.69,0.0,0.0,244.92,244.92,244.92,0.0,0.0,245.02,245.02,245.02,0.0,0.0
2018-03-25,261.45,261.45,261.45,0.0,0.0,268.32,268.32,268.32,0.0,0.0,261.45,261.45,261.45,0.0,0.0,266.04,266.04,266.04,0.0,0.0
2018-04-01,280.2,280.2,280.2,0.0,0.0,282.12,282.12,282.12,0.0,0.0,276.6,276.6,276.6,0.0,0.0,279.07,279.07,279.07,0.0,0.0
2018-04-08,302.88,302.88,302.88,0.0,0.0,302.88,302.88,302.88,0.0,0.0,299.04,299.04,299.04,0.0,0.0,302.16,302.16,302.16,0.0,0.0
2018-04-15,274.59,274.59,274.59,0.0,0.0,274.59,274.59,274.59,0.0,0.0,267.24,267.24,267.24,0.0,0.0,273.84,273.84,273.84,0.0,0.0
