Date,Amplify YieldShares CWP Dividend Option Income_Open_average,Amplify YieldShares CWP Dividend Option Income_Open_max,Amplify YieldShares CWP Dividend Option Income_Open_min,Amplify YieldShares CWP Dividend Option Income_Open_volatility,Amplify YieldShares CWP Dividend Option Income_Open_change,Amplify YieldShares CWP Dividend Option Income_High_average,Amplify YieldShares CWP Dividend Option Income_High_max,Amplify YieldShares CWP Dividend Option Income_High_min,Amplify YieldShares CWP Dividend Option Income_High_volatility,Amplify YieldShares CWP Dividend Option Income_High_change,Amplify YieldShares CWP Dividend Option Income_Low_average,Amplify YieldShares CWP Dividend Option Income_Low_max,Amplify YieldShares CWP Dividend Option Income_Low_min,Amplify YieldShares CWP Dividend Option Income_Low_volatility,Amplify YieldShares CWP Dividend Option Income_Low_change,Amplify YieldShares CWP Dividend Option Income_Close_average,Amplify YieldShares CWP Dividend Option Income_Close_max,Amplify YieldShares CWP Dividend Option Income_Close_min,Amplify YieldShares CWP Dividend Option Income_Close_volatility,Amplify YieldShares CWP Dividend Option Income_Close_change
2018-01-14,30.31,30.31,30.31,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-01-21,30.54,30.54,30.54,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-01-28,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-02-04,28.72,28.72,28.72,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-02-11,29.3,29.3,29.3,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-02-18,29.72,29.72,29.72,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-02-25,28.51,28.51,28.51,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.51,28.51,28.51,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-03-04,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-03-11,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2018-03-18,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-03-25,27.15,27.15,27.15,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-01,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2018-04-08,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2018-04-15,28.13,28.13,28.13,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-04-22,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-04-29,28.44,28.44,28.44,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-05-06,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-05-13,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-05-20,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-05-27,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2018-06-03,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-06-10,28.93,28.93,28.93,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2018-06-17,28.58,28.58,28.58,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-06-24,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-07-01,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-07-08,28.91,28.91,28.91,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-07-15,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-07-22,29.19,29.19,29.19,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-07-29,29.37,29.37,29.37,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-08-05,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-08-12,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-08-19,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-08-26,29.49,29.49,29.49,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-09-02,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2018-09-09,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-09-16,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-09-23,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-09-30,29.58,29.58,29.58,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2018-10-07,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2018-10-14,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-10-21,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-10-28,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2018-11-04,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-11-11,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2018-11-18,28.32,28.32,28.32,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-11-25,28.91,28.91,28.91,0.0,0.0,29.55,29.55,29.55,0.0,0.0,28.91,28.91,28.91,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-12-02,27.99,27.99,27.99,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-12-09,27.74,27.74,27.74,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-12-16,25.47,25.47,25.47,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-12-23,26.69,26.69,26.69,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2018-12-30,26.79,26.79,26.79,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2019-01-06,28.02,28.02,28.02,0.0,0.0,28.02,28.02,28.02,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2019-01-13,27.75,27.75,27.75,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2019-01-20,27.66,27.66,27.66,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2019-01-27,28.12,28.12,28.12,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2019-02-03,28.18,28.18,28.18,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2019-02-10,28.79,28.79,28.79,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2019-02-17,29.26,29.26,29.26,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2019-02-24,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2019-03-03,28.6,28.6,28.6,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2019-03-10,29.23,29.23,29.23,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-03-17,28.9,28.9,28.9,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2019-03-24,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2019-03-31,29.5,29.5,29.5,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2019-04-07,29.56,29.56,29.56,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2019-04-14,29.39,29.39,29.39,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-04-21,29.6,29.6,29.6,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2019-04-28,29.32,29.32,29.32,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-05-05,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2019-05-12,29.03,29.03,29.03,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2019-05-19,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2019-05-26,28.41,28.41,28.41,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2019-06-02,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2019-06-09,29.89,29.89,29.89,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2019-06-16,30.46,30.46,30.46,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-06-23,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-06-30,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-07-07,30.9,30.9,30.9,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-07-14,30.64,30.64,30.64,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-07-21,30.84,30.84,30.84,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2019-07-28,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2019-08-04,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2019-08-11,30.05,30.05,30.05,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2019-08-18,29.81,29.81,29.81,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2019-08-25,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2019-09-01,30.52,30.52,30.52,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2019-09-08,30.66,30.66,30.66,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2019-09-15,30.5,30.5,30.5,0.0,0.0,32.63,32.63,32.63,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2019-09-22,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-09-29,30.28,30.28,30.28,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-10-06,30.5,30.5,30.5,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-10-13,30.49,30.49,30.49,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2019-10-20,30.55,30.55,30.55,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2019-10-27,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2019-11-03,30.9,30.9,30.9,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-11-10,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-11-17,31.23,31.23,31.23,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2019-11-24,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2019-12-01,31.2,31.2,31.2,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2019-12-08,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2019-12-15,31.58,31.58,31.58,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2019-12-22,31.0,31.0,31.0,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2019-12-29,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.77,30.77,30.77,0.0,0.0
