Date,QuantShares US Market Neutral ValueEtf_Open_average,QuantShares US Market Neutral ValueEtf_Open_max,QuantShares US Market Neutral ValueEtf_Open_min,QuantShares US Market Neutral ValueEtf_Open_volatility,QuantShares US Market Neutral ValueEtf_Open_change,QuantShares US Market Neutral ValueEtf_High_average,QuantShares US Market Neutral ValueEtf_High_max,QuantShares US Market Neutral ValueEtf_High_min,QuantShares US Market Neutral ValueEtf_High_volatility,QuantShares US Market Neutral ValueEtf_High_change,QuantShares US Market Neutral ValueEtf_Low_average,QuantShares US Market Neutral ValueEtf_Low_max,QuantShares US Market Neutral ValueEtf_Low_min,QuantShares US Market Neutral ValueEtf_Low_volatility,QuantShares US Market Neutral ValueEtf_Low_change,QuantShares US Market Neutral ValueEtf_Close_average,QuantShares US Market Neutral ValueEtf_Close_max,QuantShares US Market Neutral ValueEtf_Close_min,QuantShares US Market Neutral ValueEtf_Close_volatility,QuantShares US Market Neutral ValueEtf_Close_change
2018-01-14,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-01-21,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-01-28,26.39,26.39,26.39,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2018-02-04,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-02-11,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-02-18,25.0,25.0,25.0,0.0,0.0,26.06,26.06,26.06,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-02-25,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-03-04,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-03-11,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-03-18,24.32,24.32,24.32,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.57,24.57,24.57,0.0,0.0
