Date,PowerShares PureBeta MSCI USA Small Cap Portfolio_Open_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_Open_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_Open_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_Open_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_Open_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_High_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_High_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_High_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_High_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_High_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_Low_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_Low_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_Low_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_Low_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_Low_change,PowerShares PureBeta MSCI USA Small Cap Portfolio_Close_average,PowerShares PureBeta MSCI USA Small Cap Portfolio_Close_max,PowerShares PureBeta MSCI USA Small Cap Portfolio_Close_min,PowerShares PureBeta MSCI USA Small Cap Portfolio_Close_volatility,PowerShares PureBeta MSCI USA Small Cap Portfolio_Close_change
2018-01-14,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-01-21,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-01-28,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-02-04,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-02-11,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-02-18,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-02-25,26.77,26.77,26.77,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-03-04,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-03-11,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-03-18,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
