Date,WisdomTree Asia-Pacific ex-Japan_etf_Open_average,WisdomTree Asia-Pacific ex-Japan_etf_Open_max,WisdomTree Asia-Pacific ex-Japan_etf_Open_min,WisdomTree Asia-Pacific ex-Japan_etf_Open_volatility,WisdomTree Asia-Pacific ex-Japan_etf_Open_change,WisdomTree Asia-Pacific ex-Japan_etf_High_average,WisdomTree Asia-Pacific ex-Japan_etf_High_max,WisdomTree Asia-Pacific ex-Japan_etf_High_min,WisdomTree Asia-Pacific ex-Japan_etf_High_volatility,WisdomTree Asia-Pacific ex-Japan_etf_High_change,WisdomTree Asia-Pacific ex-Japan_etf_Low_average,WisdomTree Asia-Pacific ex-Japan_etf_Low_max,WisdomTree Asia-Pacific ex-Japan_etf_Low_min,WisdomTree Asia-Pacific ex-Japan_etf_Low_volatility,WisdomTree Asia-Pacific ex-Japan_etf_Low_change,WisdomTree Asia-Pacific ex-Japan_etf_Close_average,WisdomTree Asia-Pacific ex-Japan_etf_Close_max,WisdomTree Asia-Pacific ex-Japan_etf_Close_min,WisdomTree Asia-Pacific ex-Japan_etf_Close_volatility,WisdomTree Asia-Pacific ex-Japan_etf_Close_change
2018-01-14,73.49,73.49,73.49,0.0,0.0,73.74,73.74,73.74,0.0,0.0,73.49,73.49,73.49,0.0,0.0,73.74,73.74,73.74,0.0,0.0
2018-01-21,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2018-01-28,72.94,72.94,72.94,0.0,0.0,72.94,72.94,72.94,0.0,0.0,72.43,72.43,72.43,0.0,0.0,72.53,72.53,72.53,0.0,0.0
2018-02-04,68.38,68.38,68.38,0.0,0.0,68.38,68.38,68.38,0.0,0.0,66.67,66.67,66.67,0.0,0.0,67.53,67.53,67.53,0.0,0.0
2018-02-11,71.49,71.49,71.49,0.0,0.0,71.92,71.92,71.92,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.56,71.56,71.56,0.0,0.0
2018-02-18,71.24,71.24,71.24,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.24,71.24,71.24,0.0,0.0,71.55,71.55,71.55,0.0,0.0
2018-02-25,69.17,69.17,69.17,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.17,69.17,69.17,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2018-03-04,71.55,71.55,71.55,0.0,0.0,71.6,71.6,71.6,0.0,0.0,71.41,71.41,71.41,0.0,0.0,71.5,71.5,71.5,0.0,0.0
2018-03-11,71.36,71.36,71.36,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.31,71.31,71.31,0.0,0.0
2018-03-18,69.26,69.26,69.26,0.0,0.0,69.46,69.46,69.46,0.0,0.0,68.27,68.27,68.27,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2018-03-25,69.05,69.05,69.05,0.0,0.0,70.05,70.05,70.05,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-04-01,68.73,68.73,68.73,0.0,0.0,69.14,69.14,69.14,0.0,0.0,68.33,68.33,68.33,0.0,0.0,68.37,68.37,68.37,0.0,0.0
2018-04-08,70.09,70.09,70.09,0.0,0.0,70.12,70.12,70.12,0.0,0.0,70.09,70.09,70.09,0.0,0.0,70.12,70.12,70.12,0.0,0.0
2018-04-15,70.48,70.48,70.48,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.24,70.24,70.24,0.0,0.0,70.24,70.24,70.24,0.0,0.0
2018-04-22,69.58,69.58,69.58,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.39,69.39,69.39,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2018-04-29,69.69,69.69,69.69,0.0,0.0,69.99,69.99,69.99,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.99,69.99,69.99,0.0,0.0
2018-05-06,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0
2018-05-13,69.79,69.79,69.79,0.0,0.0,69.79,69.79,69.79,0.0,0.0,69.76,69.76,69.76,0.0,0.0,69.77,69.77,69.77,0.0,0.0
2018-05-20,69.46,69.46,69.46,0.0,0.0,69.46,69.46,69.46,0.0,0.0,69.46,69.46,69.46,0.0,0.0,69.46,69.46,69.46,0.0,0.0
2018-05-27,69.56,69.56,69.56,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2018-06-03,71.02,71.02,71.02,0.0,0.0,71.21,71.21,71.21,0.0,0.0,70.58,70.58,70.58,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2018-06-10,68.58,68.58,68.58,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.53,68.53,68.53,0.0,0.0
2018-06-17,67.48,67.48,67.48,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.48,67.48,67.48,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2018-06-24,66.47,66.47,66.47,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.47,66.47,66.47,0.0,0.0
2018-07-01,65.77,65.77,65.77,0.0,0.0,66.36,66.36,66.36,0.0,0.0,65.77,65.77,65.77,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-07-08,66.71,66.71,66.71,0.0,0.0,66.94,66.94,66.94,0.0,0.0,66.71,66.71,66.71,0.0,0.0,66.94,66.94,66.94,0.0,0.0
2018-07-15,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-07-22,67.87,67.87,67.87,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.87,67.87,67.87,0.0,0.0,67.88,67.88,67.88,0.0,0.0
2018-07-29,67.39,67.39,67.39,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.39,67.39,67.39,0.0,0.0
2018-08-05,67.01,67.01,67.01,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-08-12,66.58,66.58,66.58,0.0,0.0,66.72,66.72,66.72,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.72,66.72,66.72,0.0,0.0
2018-08-19,67.22,67.22,67.22,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.37,67.37,67.37,0.0,0.0
2018-08-26,68.89,68.89,68.89,0.0,0.0,68.89,68.89,68.89,0.0,0.0,68.57,68.57,68.57,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2018-09-02,66.53,66.53,66.53,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.53,66.53,66.53,0.0,0.0
2018-09-09,67.5,67.5,67.5,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.56,67.56,67.56,0.0,0.0
2018-09-16,68.85,68.85,68.85,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.85,68.85,68.85,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-09-23,67.83,67.83,67.83,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.67,67.67,67.67,0.0,0.0
2018-09-30,64.52,64.52,64.52,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.69,64.69,64.69,0.0,0.0
2018-10-07,63.08,63.08,63.08,0.0,0.0,63.14,63.14,63.14,0.0,0.0,62.67,62.67,62.67,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-10-14,62.83,62.83,62.83,0.0,0.0,63.01,63.01,63.01,0.0,0.0,62.82,62.82,62.82,0.0,0.0,63.01,63.01,63.01,0.0,0.0
2018-10-21,60.2,60.2,60.2,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2018-10-28,63.12,63.12,63.12,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.06,63.06,63.06,0.0,0.0,63.27,63.27,63.27,0.0,0.0
2018-11-04,62.81,62.81,62.81,0.0,0.0,63.01,63.01,63.01,0.0,0.0,62.81,62.81,62.81,0.0,0.0,63.01,63.01,63.01,0.0,0.0
2018-11-11,63.59,63.59,63.59,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.35,63.35,63.35,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-11-18,62.41,62.41,62.41,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2018-11-25,63.37,63.37,63.37,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.26,63.26,63.26,0.0,0.0,63.45,63.45,63.45,0.0,0.0
