Date,IO_stock_Open_average,IO_stock_Open_max,IO_stock_Open_min,IO_stock_Open_volatility,IO_stock_Open_change,IO_stock_High_average,IO_stock_High_max,IO_stock_High_min,IO_stock_High_volatility,IO_stock_High_change,IO_stock_Low_average,IO_stock_Low_max,IO_stock_Low_min,IO_stock_Low_volatility,IO_stock_Low_change,IO_stock_Close_average,IO_stock_Close_max,IO_stock_Close_min,IO_stock_Close_volatility,IO_stock_Close_change,IO_stock_Volume_average,IO_stock_Volume_max,IO_stock_Volume_min,IO_stock_Volume_volatility,IO_stock_Volume_change
2018-01-14,19.5625,21.35,18.75,2.6000000000000014,-2.3500000000000014,19.9875,21.6,19.0,2.6000000000000014,-2.6000000000000014,17.674999999999997,18.5,16.15,2.3500000000000014,1.5,18.6625,19.05,18.0,1.0500000000000007,-1.0500000000000007,401653,644266,178610,465656,-377050
2018-01-21,18.42,18.6,18.0,0.6000000000000014,0.6000000000000014,18.676000000000002,18.93,18.4,0.5300000000000011,0.20000000000000284,18.02,18.3,17.7,0.6000000000000014,0.1999999999999993,18.45,18.7,18.35,0.34999999999999787,0.0,172627,346571,90214,256357,-256357
2018-01-28,17.75,18.2,17.3,0.8999999999999986,-0.8999999999999986,18.32,18.95,18.0,0.9499999999999993,0.3999999999999986,17.132,17.3,16.75,0.5500000000000007,0.0,17.82,18.2,17.55,0.6499999999999986,0.3999999999999986,146282,176223,99539,76684,-18024
2018-02-04,20.59,23.95,17.9,6.050000000000001,6.050000000000001,22.794,28.55,19.45,9.100000000000001,9.100000000000001,19.27,23.5,16.85,6.649999999999999,5.699999999999999,21.94,27.55,18.65,8.900000000000002,8.900000000000002,364164,795619,171425,624194,624194
2018-02-11,29.22,31.65,26.7,4.949999999999999,-0.8000000000000007,31.56,32.45,30.7,1.7500000000000036,-0.5,28.61,30.35,25.8,4.550000000000001,-1.6999999999999993,30.830000000000002,31.55,30.3,1.25,-0.5999999999999979,639919,1442426,310070,1132356,738475
2018-02-18,28.2125,30.3,27.15,3.150000000000002,-3.150000000000002,28.975,30.3,28.0,2.3000000000000007,-2.3000000000000007,27.1625,27.5,26.9,0.6000000000000014,-0.40000000000000213,27.45,27.7,27.05,0.6499999999999986,-0.05000000000000071,337708,424627,253484,171143,-171143
2018-02-25,27.88,28.15,27.5,0.6499999999999986,0.6499999999999986,28.919999999999998,30.05,28.4,1.6500000000000021,-0.10000000000000142,27.46,27.95,27.25,0.6999999999999993,0.0,28.02,28.45,27.6,0.8499999999999979,0.05000000000000071,247996,278987,210430,68557,-20072
2018-03-04,27.57,27.95,27.2,0.75,-0.45000000000000284,28.136,28.4,27.95,0.4499999999999993,-0.40000000000000213,26.95,27.1,26.55,0.5500000000000007,-0.4499999999999993,27.38,28.1,26.7,1.4000000000000021,-0.5,219563,288243,180261,107982,34239
2018-03-11,25.05,26.6,23.9,2.700000000000003,-2.700000000000003,25.77,26.95,24.9,2.0500000000000007,-1.6499999999999986,24.34,24.85,23.75,1.1000000000000014,-1.1000000000000014,24.68,25.0,24.0,1.0,-0.10000000000000142,242958,398921,173872,225049,145059
2018-03-18,23.77,24.75,22.6,2.1499999999999986,-0.9499999999999993,24.676000000000002,25.35,24.05,1.3000000000000007,0.0,22.854,23.57,22.2,1.370000000000001,1.370000000000001,23.669999999999998,24.2,22.6,1.5999999999999979,1.5999999999999979,237409,281122,190252,90870,-83484
2018-03-25,25.4375,26.25,24.25,2.0,2.0,26.775,27.6,25.45,2.150000000000002,2.0500000000000007,24.875,25.9,23.15,2.75,2.75,25.9,27.1,25.2,1.9000000000000021,1.9000000000000021,307776,399954,209633,190321,1399
2018-04-01,25.990000000000002,26.95,25.6,1.3499999999999979,-1.0999999999999979,26.58,27.45,25.85,1.5999999999999979,-1.25,25.18,25.6,24.6,1.0,-0.3999999999999986,25.86,26.25,25.6,0.6499999999999986,0.0,232687,280552,173702,106850,-20470
2018-04-08,26.86,27.85,25.85,2.0,2.0,27.612,28.2,26.55,1.6499999999999986,1.3099999999999987,26.564,27.55,25.45,2.1000000000000014,1.5700000000000003,27.09,27.8,25.55,2.25,2.0500000000000007,137419,156976,96552,60424,57466
2018-04-15,28.48,29.6,27.6,2.0,2.0,29.33,30.7,28.25,2.4499999999999993,2.3999999999999986,28.12,29.25,26.7,2.5500000000000007,2.5500000000000007,28.93,30.15,27.8,2.349999999999998,2.1999999999999993,240661,285876,142057,143819,143819
2018-04-22,29.35,30.15,28.35,1.7999999999999972,-0.1999999999999993,29.904,30.35,29.2,1.1500000000000021,-0.3000000000000007,28.18,28.85,27.7,1.1500000000000021,0.9499999999999993,29.1,30.05,28.3,1.75,-0.5999999999999979,224370,311059,158622,152437,-152437
2018-04-29,28.17,28.95,26.85,2.099999999999998,-1.5999999999999979,29.18,30.9,28.0,2.8999999999999986,-1.5,27.008,28.59,23.5,5.09,-2.3000000000000007,28.62,30.25,27.35,2.8999999999999986,-1.4499999999999993,319990,816276,115192,701084,-26686
