Date,iShares Aaa - A Rated Corporate Bond_etf_Open_average,iShares Aaa - A Rated Corporate Bond_etf_Open_max,iShares Aaa - A Rated Corporate Bond_etf_Open_min,iShares Aaa - A Rated Corporate Bond_etf_Open_volatility,iShares Aaa - A Rated Corporate Bond_etf_Open_change,iShares Aaa - A Rated Corporate Bond_etf_High_average,iShares Aaa - A Rated Corporate Bond_etf_High_max,iShares Aaa - A Rated Corporate Bond_etf_High_min,iShares Aaa - A Rated Corporate Bond_etf_High_volatility,iShares Aaa - A Rated Corporate Bond_etf_High_change,iShares Aaa - A Rated Corporate Bond_etf_Low_average,iShares Aaa - A Rated Corporate Bond_etf_Low_max,iShares Aaa - A Rated Corporate Bond_etf_Low_min,iShares Aaa - A Rated Corporate Bond_etf_Low_volatility,iShares Aaa - A Rated Corporate Bond_etf_Low_change,iShares Aaa - A Rated Corporate Bond_etf_Close_average,iShares Aaa - A Rated Corporate Bond_etf_Close_max,iShares Aaa - A Rated Corporate Bond_etf_Close_min,iShares Aaa - A Rated Corporate Bond_etf_Close_volatility,iShares Aaa - A Rated Corporate Bond_etf_Close_change
2018-01-14,52.23,52.23,52.23,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-01-21,52.32,52.32,52.32,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-01-28,51.78,51.78,51.78,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2018-02-04,51.36,51.36,51.36,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2018-02-11,51.35,51.35,51.35,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-02-18,51.23,51.23,51.23,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-02-25,50.91,50.91,50.91,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2018-03-04,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2018-03-11,50.91,50.91,50.91,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2018-03-18,50.66,50.66,50.66,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-03-25,51.06,51.06,51.06,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2018-04-01,50.93,50.93,50.93,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-04-08,50.93,50.93,50.93,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.95,50.95,50.95,0.0,0.0
