Date,ProShares UltraPro 3x Crude Oil_Open_average,ProShares UltraPro 3x Crude Oil_Open_max,ProShares UltraPro 3x Crude Oil_Open_min,ProShares UltraPro 3x Crude Oil_Open_volatility,ProShares UltraPro 3x Crude Oil_Open_change,ProShares UltraPro 3x Crude Oil_High_average,ProShares UltraPro 3x Crude Oil_High_max,ProShares UltraPro 3x Crude Oil_High_min,ProShares UltraPro 3x Crude Oil_High_volatility,ProShares UltraPro 3x Crude Oil_High_change,ProShares UltraPro 3x Crude Oil_Low_average,ProShares UltraPro 3x Crude Oil_Low_max,ProShares UltraPro 3x Crude Oil_Low_min,ProShares UltraPro 3x Crude Oil_Low_volatility,ProShares UltraPro 3x Crude Oil_Low_change,ProShares UltraPro 3x Crude Oil_Close_average,ProShares UltraPro 3x Crude Oil_Close_max,ProShares UltraPro 3x Crude Oil_Close_min,ProShares UltraPro 3x Crude Oil_Close_volatility,ProShares UltraPro 3x Crude Oil_Close_change
2018-01-14,43.13,43.13,43.13,0.0,0.0,44.82,44.82,44.82,0.0,0.0,42.78,42.78,42.78,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-01-21,47.79,47.79,47.79,0.0,0.0,48.11,48.11,48.11,0.0,0.0,46.72,46.72,46.72,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-01-28,46.69,46.69,46.69,0.0,0.0,47.08,47.08,47.08,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2018-02-04,36.02,36.02,36.02,0.0,0.0,36.99,36.99,36.99,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-02-11,38.52,38.52,38.52,0.0,0.0,40.04,40.04,40.04,0.0,0.0,38.08,38.08,38.08,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-02-18,43.37,43.37,43.37,0.0,0.0,45.24,45.24,45.24,0.0,0.0,42.95,42.95,42.95,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-02-25,39.19,39.19,39.19,0.0,0.0,42.0,42.0,42.0,0.0,0.0,39.13,39.13,39.13,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2018-03-04,39.78,39.78,39.78,0.0,0.0,40.09,40.09,40.09,0.0,0.0,38.03,38.03,38.03,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2018-03-11,41.32,41.32,41.32,0.0,0.0,41.32,41.32,41.32,0.0,0.0,39.5,39.5,39.5,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2018-03-18,47.83,47.83,47.83,0.0,0.0,48.29,48.29,48.29,0.0,0.0,46.65,46.65,46.65,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2018-03-25,45.0,45.0,45.0,0.0,0.0,45.04,45.04,45.04,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-04-01,41.91,41.91,41.91,0.0,0.0,43.15,43.15,43.15,0.0,0.0,41.69,41.69,41.69,0.0,0.0,42.56,42.56,42.56,0.0,0.0
