Date,PowerShares DWA Energy Momentum Portfolio_Open_average,PowerShares DWA Energy Momentum Portfolio_Open_max,PowerShares DWA Energy Momentum Portfolio_Open_min,PowerShares DWA Energy Momentum Portfolio_Open_volatility,PowerShares DWA Energy Momentum Portfolio_Open_change,PowerShares DWA Energy Momentum Portfolio_High_average,PowerShares DWA Energy Momentum Portfolio_High_max,PowerShares DWA Energy Momentum Portfolio_High_min,PowerShares DWA Energy Momentum Portfolio_High_volatility,PowerShares DWA Energy Momentum Portfolio_High_change,PowerShares DWA Energy Momentum Portfolio_Low_average,PowerShares DWA Energy Momentum Portfolio_Low_max,PowerShares DWA Energy Momentum Portfolio_Low_min,PowerShares DWA Energy Momentum Portfolio_Low_volatility,PowerShares DWA Energy Momentum Portfolio_Low_change,PowerShares DWA Energy Momentum Portfolio_Close_average,PowerShares DWA Energy Momentum Portfolio_Close_max,PowerShares DWA Energy Momentum Portfolio_Close_min,PowerShares DWA Energy Momentum Portfolio_Close_volatility,PowerShares DWA Energy Momentum Portfolio_Close_change
2018-01-14,41.76,41.76,41.76,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.69,41.69,41.69,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-01-21,41.47,41.47,41.47,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-01-28,38.17,38.17,38.17,0.0,0.0,39.23,39.23,39.23,0.0,0.0,37.36,37.36,37.36,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-02-04,36.31,36.31,36.31,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-02-11,37.96,37.96,37.96,0.0,0.0,38.34,38.34,38.34,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2018-02-18,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-02-25,36.75,36.75,36.75,0.0,0.0,37.4,37.4,37.4,0.0,0.0,36.67,36.67,36.67,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2018-03-04,37.58,37.58,37.58,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-03-11,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-03-18,37.52,37.52,37.52,0.0,0.0,38.28,38.28,38.28,0.0,0.0,37.52,37.52,37.52,0.0,0.0,38.28,38.28,38.28,0.0,0.0
