Date,SPDR Portfolio Europe_etf_Open_average,SPDR Portfolio Europe_etf_Open_max,SPDR Portfolio Europe_etf_Open_min,SPDR Portfolio Europe_etf_Open_volatility,SPDR Portfolio Europe_etf_Open_change,SPDR Portfolio Europe_etf_High_average,SPDR Portfolio Europe_etf_High_max,SPDR Portfolio Europe_etf_High_min,SPDR Portfolio Europe_etf_High_volatility,SPDR Portfolio Europe_etf_High_change,SPDR Portfolio Europe_etf_Low_average,SPDR Portfolio Europe_etf_Low_max,SPDR Portfolio Europe_etf_Low_min,SPDR Portfolio Europe_etf_Low_volatility,SPDR Portfolio Europe_etf_Low_change,SPDR Portfolio Europe_etf_Close_average,SPDR Portfolio Europe_etf_Close_max,SPDR Portfolio Europe_etf_Close_min,SPDR Portfolio Europe_etf_Close_volatility,SPDR Portfolio Europe_etf_Close_change
2018-01-14,37.66,37.66,37.66,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-01-21,38.3,38.3,38.3,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-01-28,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-02-04,34.74,34.74,34.74,0.0,0.0,34.86,34.86,34.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-02-11,35.9,35.9,35.9,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-02-18,35.64,35.64,35.64,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-02-25,34.47,34.47,34.47,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-03-04,35.25,35.25,35.25,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-03-11,35.14,35.14,35.14,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2018-03-18,34.17,34.17,34.17,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-03-25,34.6,34.6,34.6,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-04-01,34.99,34.99,34.99,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-04-08,35.65,35.65,35.65,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-04-15,35.5,35.5,35.5,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2018-04-22,35.39,35.39,35.39,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2018-04-29,34.98,34.98,34.98,0.0,0.0,35.35,35.35,35.35,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-05-06,35.77,35.77,35.77,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-05-13,35.63,35.63,35.63,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-05-20,34.81,34.81,34.81,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-05-27,34.63,34.63,34.63,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-06-03,34.62,34.62,34.62,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-06-10,34.65,34.65,34.65,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2018-06-17,33.74,33.74,33.74,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-06-24,33.54,33.54,33.54,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-07-01,33.95,33.95,33.95,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-07-08,34.01,34.01,34.01,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-07-15,34.09,34.09,34.09,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-07-22,34.77,34.77,34.77,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-07-29,34.16,34.16,34.16,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-08-05,33.56,33.56,33.56,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-08-12,32.94,32.94,32.94,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-08-19,33.78,33.78,33.78,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-08-26,33.64,33.64,33.64,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-09-02,32.54,32.54,32.54,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-09-09,33.37,33.37,33.37,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-09-16,34.17,34.17,34.17,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-09-23,33.63,33.63,33.63,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-09-30,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2018-10-07,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-10-14,31.86,31.86,31.86,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-10-21,30.79,30.79,30.79,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-10-28,32.05,32.05,32.05,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-11-04,31.92,31.92,31.92,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-11-11,31.36,31.36,31.36,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-11-18,30.97,30.97,30.97,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-11-25,31.54,31.54,31.54,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-12-02,30.72,30.72,30.72,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-12-09,30.44,30.44,30.44,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-12-16,29.69,29.69,29.69,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-12-23,29.92,29.92,29.92,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-12-30,30.05,30.05,30.05,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-01-06,30.7,30.7,30.7,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2019-01-13,30.98,30.98,30.98,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.0,31.0,31.0,0.0,0.0
