Date,ATO_Open_average,ATO_Open_max,ATO_Open_min,ATO_Open_volatility,ATO_Open_change,ATO_High_average,ATO_High_max,ATO_High_min,ATO_High_volatility,ATO_High_change,ATO_Low_average,ATO_Low_max,ATO_Low_min,ATO_Low_volatility,ATO_Low_change,ATO_Close_average,ATO_Close_max,ATO_Close_min,ATO_Close_volatility,ATO_Close_change,ATO_Volume_average,ATO_Volume_max,ATO_Volume_min,ATO_Volume_volatility,ATO_Volume_change
2018-01-14,80.532,80.97,79.93,1.039999999999992,1.039999999999992,81.242,81.61,80.77,0.8400000000000034,0.8400000000000034,80.188,80.9,79.69,1.210000000000008,1.210000000000008,80.768,81.4,80.1,1.3000000000000114,1.3000000000000114,787221,1005063,621373,383690,-14058
2018-01-21,82.284,83.0,81.55,1.4500000000000028,1.1500000000000057,82.93599999999999,83.32,82.52,0.7999999999999972,0.7000000000000028,81.882,82.45,81.15,1.2999999999999972,0.8499999999999943,82.562,83.02,82.25,0.769999999999996,0.10999999999999943,730732,957130,552601,404529,-80325
2018-01-28,82.268,83.06,81.24,1.8200000000000074,-1.230000000000004,82.696,83.3,81.89,1.4099999999999966,-1.2900000000000063,81.322,82.39,79.26,3.1299999999999955,-3.1299999999999955,81.696,82.9,79.31,3.5900000000000034,-3.1700000000000017,908375,1389968,588013,801955,308974
2018-02-04,79.43,81.3,78.55,2.75,2.75,80.666,81.61,79.11,2.5,2.3499999999999943,78.24799999999999,79.46,76.46,3.0,3.0,79.392,81.11,78.03,3.0799999999999983,2.3599999999999994,997011,1126472,736401,390071,-57191
2018-02-11,80.675,82.01,79.91,2.1000000000000085,1.8299999999999983,81.6325,83.24,80.64,2.5999999999999943,2.5999999999999943,80.16499999999999,81.86,79.13,2.730000000000004,2.730000000000004,81.38499999999999,82.96,80.24,2.719999999999999,2.539999999999992,520497,551993,479644,72349,-682
2018-02-18,81.84,82.71,80.81,1.8999999999999915,0.1799999999999926,82.714,83.48,81.82,1.6600000000000108,-0.6300000000000097,81.042,81.63,80.52,1.1099999999999994,0.28999999999999204,81.75,82.59,80.86,1.730000000000004,0.12000000000000455,479106,598986,238498,360488,-360488
2018-02-25,80.68599999999999,82.45,79.1,3.3500000000000085,-3.3500000000000085,81.666,82.67,80.82,1.8500000000000085,-1.8500000000000085,79.83,81.05,78.75,2.299999999999997,-2.039999999999992,80.298,81.05,79.19,1.8599999999999994,-0.4399999999999977,576796,804092,349804,454288,239888
2018-03-04,80.03,80.44,79.76,0.6799999999999926,-0.29999999999999716,80.654,81.2,80.27,0.9300000000000068,0.3299999999999983,79.53399999999999,80.14,79.27,0.8700000000000045,0.5700000000000074,80.136,81.13,79.46,1.6700000000000017,1.0899999999999892,601982,825146,407253,417893,-417893
2018-03-11,81.604,82.74,81.18,1.559999999999988,1.3900000000000006,82.444,83.13,81.86,1.269999999999996,0.980000000000004,81.014,81.4,80.61,0.7900000000000063,0.7900000000000063,81.678,82.86,81.02,1.8400000000000034,0.6800000000000068,664572,1256823,354241,902582,-285191
2018-03-18,81.23400000000001,81.78,80.37,1.4099999999999966,-1.4099999999999966,82.288,82.76,81.81,0.9500000000000028,-0.3100000000000023,80.488,81.13,79.49,1.6400000000000006,-1.3700000000000045,81.108,81.69,80.03,1.6599999999999966,0.4200000000000017,514149,742079,315304,426775,353642
