Date,VanEck Vectors Morningstar International Moat_Open_average,VanEck Vectors Morningstar International Moat_Open_max,VanEck Vectors Morningstar International Moat_Open_min,VanEck Vectors Morningstar International Moat_Open_volatility,VanEck Vectors Morningstar International Moat_Open_change,VanEck Vectors Morningstar International Moat_High_average,VanEck Vectors Morningstar International Moat_High_max,VanEck Vectors Morningstar International Moat_High_min,VanEck Vectors Morningstar International Moat_High_volatility,VanEck Vectors Morningstar International Moat_High_change,VanEck Vectors Morningstar International Moat_Low_average,VanEck Vectors Morningstar International Moat_Low_max,VanEck Vectors Morningstar International Moat_Low_min,VanEck Vectors Morningstar International Moat_Low_volatility,VanEck Vectors Morningstar International Moat_Low_change,VanEck Vectors Morningstar International Moat_Close_average,VanEck Vectors Morningstar International Moat_Close_max,VanEck Vectors Morningstar International Moat_Close_min,VanEck Vectors Morningstar International Moat_Close_volatility,VanEck Vectors Morningstar International Moat_Close_change
2018-01-14,36.09,36.09,36.09,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-01-21,36.65,36.65,36.65,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-01-28,35.88,35.88,35.88,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-02-04,33.5,33.5,33.5,0.0,0.0,33.68,33.68,33.68,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-02-11,34.88,34.88,34.88,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-02-18,35.05,35.05,35.05,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-02-25,33.99,33.99,33.99,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2018-03-04,34.89,34.89,34.89,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2018-03-11,34.78,34.78,34.78,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-03-18,34.02,34.02,34.02,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-03-25,34.09,34.09,34.09,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-04-01,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.21,34.21,34.21,0.0,0.0
