Date,ETFS Physical Platinum Shares_etf_Open_average,ETFS Physical Platinum Shares_etf_Open_max,ETFS Physical Platinum Shares_etf_Open_min,ETFS Physical Platinum Shares_etf_Open_volatility,ETFS Physical Platinum Shares_etf_Open_change,ETFS Physical Platinum Shares_etf_High_average,ETFS Physical Platinum Shares_etf_High_max,ETFS Physical Platinum Shares_etf_High_min,ETFS Physical Platinum Shares_etf_High_volatility,ETFS Physical Platinum Shares_etf_High_change,ETFS Physical Platinum Shares_etf_Low_average,ETFS Physical Platinum Shares_etf_Low_max,ETFS Physical Platinum Shares_etf_Low_min,ETFS Physical Platinum Shares_etf_Low_volatility,ETFS Physical Platinum Shares_etf_Low_change,ETFS Physical Platinum Shares_etf_Close_average,ETFS Physical Platinum Shares_etf_Close_max,ETFS Physical Platinum Shares_etf_Close_min,ETFS Physical Platinum Shares_etf_Close_volatility,ETFS Physical Platinum Shares_etf_Close_change
2018-01-14,96.42,96.42,96.42,0.0,0.0,96.78,96.78,96.78,0.0,0.0,96.3,96.3,96.3,0.0,0.0,96.52,96.52,96.52,0.0,0.0
2018-01-21,96.8,96.8,96.8,0.0,0.0,96.98,96.98,96.98,0.0,0.0,96.44,96.44,96.44,0.0,0.0,96.48,96.48,96.48,0.0,0.0
2018-01-28,95.1,95.1,95.1,0.0,0.0,95.1,95.1,95.1,0.0,0.0,93.92,93.92,93.92,0.0,0.0,94.15,94.15,94.15,0.0,0.0
2018-02-04,92.1,92.1,92.1,0.0,0.0,92.2,92.2,92.2,0.0,0.0,91.21,91.21,91.21,0.0,0.0,91.76,91.76,91.76,0.0,0.0
2018-02-11,95.65,95.65,95.65,0.0,0.0,96.36,96.36,96.36,0.0,0.0,95.64,95.64,95.64,0.0,0.0,95.77,95.77,95.77,0.0,0.0
2018-02-18,94.4,94.4,94.4,0.0,0.0,94.92,94.92,94.92,0.0,0.0,94.29,94.29,94.29,0.0,0.0,94.82,94.82,94.82,0.0,0.0
2018-02-25,92.0,92.0,92.0,0.0,0.0,92.24,92.24,92.24,0.0,0.0,91.65,91.65,91.65,0.0,0.0,92.0,92.0,92.0,0.0,0.0
2018-03-04,90.85,90.85,90.85,0.0,0.0,91.77,91.77,91.77,0.0,0.0,90.71,90.71,90.71,0.0,0.0,91.73,91.73,91.73,0.0,0.0
2018-03-11,90.5,90.5,90.5,0.0,0.0,90.56,90.56,90.56,0.0,0.0,89.91,89.91,89.91,0.0,0.0,90.38,90.38,90.38,0.0,0.0
2018-03-18,91.21,91.21,91.21,0.0,0.0,91.21,91.21,91.21,0.0,0.0,90.24,90.24,90.24,0.0,0.0,90.24,90.24,90.24,0.0,0.0
2018-03-25,89.1,89.1,89.1,0.0,0.0,89.25,89.25,89.25,0.0,0.0,88.27,88.27,88.27,0.0,0.0,88.65,88.65,88.65,0.0,0.0
2018-04-01,87.17,87.17,87.17,0.0,0.0,87.22,87.22,87.22,0.0,0.0,86.75,86.75,86.75,0.0,0.0,87.15,87.15,87.15,0.0,0.0
2018-04-08,88.6,88.6,88.6,0.0,0.0,88.86,88.86,88.86,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2018-04-15,88.5,88.5,88.5,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.14,88.14,88.14,0.0,0.0,88.21,88.21,88.21,0.0,0.0
