Date,iShares Mortgage Real Estate Capped_Open_average,iShares Mortgage Real Estate Capped_Open_max,iShares Mortgage Real Estate Capped_Open_min,iShares Mortgage Real Estate Capped_Open_volatility,iShares Mortgage Real Estate Capped_Open_change,iShares Mortgage Real Estate Capped_High_average,iShares Mortgage Real Estate Capped_High_max,iShares Mortgage Real Estate Capped_High_min,iShares Mortgage Real Estate Capped_High_volatility,iShares Mortgage Real Estate Capped_High_change,iShares Mortgage Real Estate Capped_Low_average,iShares Mortgage Real Estate Capped_Low_max,iShares Mortgage Real Estate Capped_Low_min,iShares Mortgage Real Estate Capped_Low_volatility,iShares Mortgage Real Estate Capped_Low_change,iShares Mortgage Real Estate Capped_Close_average,iShares Mortgage Real Estate Capped_Close_max,iShares Mortgage Real Estate Capped_Close_min,iShares Mortgage Real Estate Capped_Close_volatility,iShares Mortgage Real Estate Capped_Close_change
2018-01-14,43.86,43.86,43.86,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-01-21,43.45,43.45,43.45,0.0,0.0,43.66,43.66,43.66,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2018-01-28,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2018-02-04,40.96,40.96,40.96,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.65,40.65,40.65,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2018-02-11,42.5,42.5,42.5,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-18,41.97,41.97,41.97,0.0,0.0,42.36,42.36,42.36,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-02-25,41.39,41.39,41.39,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.63,41.63,41.63,0.0,0.0
2018-03-04,42.25,42.25,42.25,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-03-11,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-03-18,41.51,41.51,41.51,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-03-25,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0,41.85,41.85,41.85,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-04-01,42.67,42.67,42.67,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-04-08,41.88,41.88,41.88,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-04-15,42.14,42.14,42.14,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-04-22,42.83,42.83,42.83,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-04-29,43.29,43.29,43.29,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-05-06,43.5,43.5,43.5,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2018-05-13,43.78,43.78,43.78,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-05-20,43.8,43.8,43.8,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-05-27,44.0,44.0,44.0,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.86,43.86,43.86,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-06-03,44.33,44.33,44.33,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2018-06-10,44.16,44.16,44.16,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2018-06-17,44.63,44.63,44.63,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-06-24,43.45,43.45,43.45,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-07-01,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-07-08,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-07-15,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-07-22,44.53,44.53,44.53,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.9,44.9,44.9,0.0,0.0
