Date,iShares JPMorgan USD EM Bond_Open_average,iShares JPMorgan USD EM Bond_Open_max,iShares JPMorgan USD EM Bond_Open_min,iShares JPMorgan USD EM Bond_Open_volatility,iShares JPMorgan USD EM Bond_Open_change,iShares JPMorgan USD EM Bond_High_average,iShares JPMorgan USD EM Bond_High_max,iShares JPMorgan USD EM Bond_High_min,iShares JPMorgan USD EM Bond_High_volatility,iShares JPMorgan USD EM Bond_High_change,iShares JPMorgan USD EM Bond_Low_average,iShares JPMorgan USD EM Bond_Low_max,iShares JPMorgan USD EM Bond_Low_min,iShares JPMorgan USD EM Bond_Low_volatility,iShares JPMorgan USD EM Bond_Low_change,iShares JPMorgan USD EM Bond_Close_average,iShares JPMorgan USD EM Bond_Close_max,iShares JPMorgan USD EM Bond_Close_min,iShares JPMorgan USD EM Bond_Close_volatility,iShares JPMorgan USD EM Bond_Close_change
2018-01-14,115.48,115.48,115.48,0.0,0.0,115.67,115.67,115.67,0.0,0.0,115.35,115.35,115.35,0.0,0.0,115.59,115.59,115.59,0.0,0.0
2018-01-21,115.49,115.49,115.49,0.0,0.0,115.57,115.57,115.57,0.0,0.0,115.37,115.37,115.37,0.0,0.0,115.39,115.39,115.39,0.0,0.0
2018-01-28,113.9,113.9,113.9,0.0,0.0,114.42,114.42,114.42,0.0,0.0,113.22,113.22,113.22,0.0,0.0,113.46,113.46,113.46,0.0,0.0
2018-02-04,112.18,112.18,112.18,0.0,0.0,112.31,112.31,112.31,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.04,112.04,112.04,0.0,0.0
2018-02-11,112.66,112.66,112.66,0.0,0.0,113.02,113.02,113.02,0.0,0.0,112.5,112.5,112.5,0.0,0.0,112.85,112.85,112.85,0.0,0.0
2018-02-18,112.74,112.74,112.74,0.0,0.0,113.07,113.07,113.07,0.0,0.0,112.62,112.62,112.62,0.0,0.0,112.99,112.99,112.99,0.0,0.0
2018-02-25,112.12,112.12,112.12,0.0,0.0,112.18,112.18,112.18,0.0,0.0,111.87,111.87,111.87,0.0,0.0,112.0,112.0,112.0,0.0,0.0
2018-03-04,112.26,112.26,112.26,0.0,0.0,112.31,112.31,112.31,0.0,0.0,112.11,112.11,112.11,0.0,0.0,112.26,112.26,112.26,0.0,0.0
2018-03-11,111.88,111.88,111.88,0.0,0.0,112.2,112.2,112.2,0.0,0.0,111.7,111.7,111.7,0.0,0.0,111.76,111.76,111.76,0.0,0.0
2018-03-18,111.45,111.45,111.45,0.0,0.0,111.86,111.86,111.86,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.76,111.76,111.76,0.0,0.0
