Date,SUI_Open_average,SUI_Open_max,SUI_Open_min,SUI_Open_volatility,SUI_Open_change,SUI_High_average,SUI_High_max,SUI_High_min,SUI_High_volatility,SUI_High_change,SUI_Low_average,SUI_Low_max,SUI_Low_min,SUI_Low_volatility,SUI_Low_change,SUI_Close_average,SUI_Close_max,SUI_Close_min,SUI_Close_volatility,SUI_Close_change,SUI_Volume_average,SUI_Volume_max,SUI_Volume_min,SUI_Volume_volatility,SUI_Volume_change
2018-01-14,87.65,87.87,87.32,0.5500000000000114,0.4700000000000131,88.628,89.29,88.09,1.2000000000000028,0.4100000000000108,87.286,87.68,86.79,0.8900000000000006,0.39000000000000057,88.036,89.17,87.42,1.75,1.75,423503,581974,345882,236092,36230
2018-01-21,90.236,91.39,89.46,1.9300000000000068,0.09000000000000341,90.872,91.76,89.55,2.210000000000008,-1.9500000000000028,89.28,90.23,88.01,2.219999999999999,-1.1599999999999966,90.026,91.46,88.03,3.4299999999999926,-3.4299999999999926,446026,548796,230158,318638,64351
2018-01-28,87.85,88.8,86.86,1.9399999999999977,-0.7000000000000028,88.586,89.24,87.68,1.559999999999988,-1.25,86.71,88.06,84.14,3.9200000000000017,-3.299999999999997,87.246,88.84,84.32,4.52000000000001,-3.8200000000000074,446433,627479,334361,293118,110679
2018-02-04,84.598,85.45,83.8,1.6500000000000057,1.1099999999999994,85.85,87.21,84.8,2.4099999999999966,0.6599999999999966,82.624,84.38,80.12,4.259999999999991,1.9200000000000017,84.774,85.53,83.96,1.5700000000000074,0.8799999999999955,512505,649461,411749,237712,-190872
2018-02-11,85.61,86.79,85.14,1.6500000000000057,1.6500000000000057,86.52,87.45,85.73,1.7199999999999989,1.3800000000000097,84.8275,86.19,83.93,2.259999999999991,2.1200000000000045,86.13,87.24,85.02,2.219999999999999,1.5,415527,499513,315432,184081,-78884
2018-02-18,87.106,89.33,85.38,3.950000000000003,2.25,88.274,89.42,86.45,2.969999999999999,1.9399999999999977,86.152,88.6,84.66,3.9399999999999977,3.0999999999999943,87.22,89.03,84.89,4.140000000000001,3.4000000000000057,421452,568472,302688,265784,-44364
2018-02-25,87.416,88.81,86.78,2.030000000000001,-1.740000000000009,88.374,89.15,87.24,1.9100000000000108,-1.3400000000000034,86.658,86.96,86.22,0.7399999999999949,0.05999999999998806,87.142,87.56,86.83,0.730000000000004,0.18000000000000682,479390,597854,440832,157022,133971
2018-03-04,87.612,88.67,86.79,1.8799999999999955,1.8799999999999955,88.418,89.39,87.43,1.9599999999999937,1.9599999999999937,87.062,88.34,86.06,2.280000000000001,2.280000000000001,88.042,88.96,87.19,1.769999999999996,1.6700000000000017,411833,532931,252629,280302,-30981
2018-03-11,89.52,89.92,89.1,0.8200000000000074,0.5799999999999983,90.004,90.44,89.64,0.7999999999999972,0.37999999999999545,88.91,89.45,88.22,1.230000000000004,1.1200000000000045,89.582,90.31,88.57,1.740000000000009,1.240000000000009,426720,585265,262934,322331,240202
2018-03-18,89.464,89.83,89.09,0.7399999999999949,-0.7399999999999949,90.222,91.07,89.63,1.4399999999999977,-0.9200000000000017,88.89,89.47,88.34,1.1299999999999955,-0.9699999999999989,89.316,89.83,88.65,1.1799999999999926,-0.7399999999999949,545446,690420,386835,303585,58410
2018-03-25,90.3725,91.23,89.1,2.1300000000000097,1.9500000000000028,91.6575,91.89,91.44,0.45000000000000284,-0.23000000000000398,89.7625,90.81,88.3,2.510000000000005,1.7199999999999989,90.875,91.37,90.52,0.8500000000000085,-0.04000000000000625,434657,536585,335889,200696,-85978
2018-04-01,91.03,91.64,90.39,1.25,0.37999999999999545,91.69200000000001,91.93,91.27,0.6600000000000108,0.46000000000000796,90.52,90.8,90.1,0.7000000000000028,0.4200000000000017,91.07,91.6,90.58,1.019999999999996,-0.21999999999999886,390348,459450,266609,192841,721
2018-04-08,91.0,91.64,90.41,1.230000000000004,0.8799999999999955,91.7,92.07,91.37,0.6999999999999886,0.6099999999999994,90.31,90.87,89.55,1.3200000000000074,0.4300000000000068,91.112,91.64,90.11,1.5300000000000011,0.7299999999999898,365374,466225,227085,239140,-134975
2018-04-15,91.854,92.36,91.54,0.8199999999999932,-0.14000000000000057,92.264,92.91,91.83,1.0799999999999983,-1.0799999999999983,91.252,92.07,90.88,1.1899999999999977,-0.20999999999999375,91.818,92.36,91.31,1.0499999999999972,-0.8199999999999932,284116,333166,191216,141950,11649
2018-04-22,92.652,94.25,92.07,2.180000000000007,2.180000000000007,93.218,94.62,92.07,2.5500000000000114,2.5500000000000114,91.908,93.64,90.32,3.3200000000000074,3.3200000000000074,92.728,93.94,91.34,2.5999999999999943,2.509999999999991,623927,1003207,413582,589625,-423210
2018-04-29,93.788,94.43,93.48,0.9500000000000028,0.5800000000000125,94.288,94.86,93.93,0.9299999999999926,0.5600000000000023,93.536,94.43,92.94,1.490000000000009,0.9700000000000131,93.96000000000001,94.7,93.48,1.2199999999999989,0.8599999999999994,433540,633378,322876,310502,62190
2018-05-06,94.344,94.78,93.84,0.9399999999999977,-0.6700000000000017,94.486,94.83,94.11,0.7199999999999989,-0.6700000000000017,93.592,94.08,92.44,1.6400000000000006,-1.480000000000004,93.994,94.42,93.24,1.1800000000000068,-0.8900000000000006,256041,317906,171063,146843,43635
2018-05-13,92.21,92.69,91.85,0.8400000000000034,-0.8100000000000023,92.466,92.83,92.16,0.6700000000000017,-0.4200000000000017,91.438,92.06,91.03,1.0300000000000011,-0.9000000000000057,91.854,92.47,91.5,0.9699999999999989,-0.730000000000004,387889,449563,289387,160176,45576
2018-05-20,92.66749999999999,93.82,91.53,2.289999999999992,1.6899999999999977,93.56,94.1,92.1,2.0,1.9500000000000028,92.375,93.16,91.41,1.75,1.75,93.01,93.79,91.98,1.8100000000000023,1.8100000000000023,314622,428785,190391,238394,-238394
2018-05-27,95.748,97.5,93.58,3.9200000000000017,3.9200000000000017,97.128,98.41,95.56,2.8499999999999943,2.8499999999999943,95.356,97.03,93.44,3.5900000000000034,3.5900000000000034,96.82000000000001,98.29,95.06,3.230000000000004,3.230000000000004,434396,599891,324190,275701,-103370
2018-06-03,97.138,98.48,96.59,1.8900000000000006,-1.6000000000000085,97.496,98.99,96.74,2.25,-1.8299999999999983,96.266,97.05,95.85,1.2000000000000028,-1.1199999999999903,96.65,97.18,96.18,1.0,-1.0,441104,698116,223658,474458,-431788
2018-06-10,96.18,96.71,95.65,1.059999999999988,0.3199999999999932,96.862,97.22,96.72,0.5,-0.14000000000000057,95.54,96.33,94.5,1.8299999999999983,-0.12000000000000455,96.218,96.52,95.39,1.1299999999999955,0.23999999999999488,373557,566148,199594,366554,-313869
2018-06-17,96.62,97.17,96.14,1.0300000000000011,0.9699999999999989,97.128,97.85,96.59,1.259999999999991,0.9499999999999886,96.01,96.87,95.39,1.480000000000004,1.3200000000000074,96.698,97.61,95.7,1.9099999999999966,1.9099999999999966,293622,344399,232707,111692,31091
2018-06-24,97.376,97.73,96.58,1.1500000000000057,0.10999999999999943,98.104,98.56,97.76,0.7999999999999972,0.3100000000000023,96.83,97.16,96.53,0.6299999999999955,-0.4899999999999949,97.60199999999999,97.88,97.32,0.5600000000000023,0.45000000000000284,371341,464161,288535,175626,-42860
2018-07-01,98.7775,99.32,97.8,1.519999999999996,1.4699999999999989,99.3475,99.73,98.88,0.8500000000000085,0.6899999999999977,97.8675,98.77,97.3,1.4699999999999989,-0.18000000000000682,98.685,99.27,97.91,1.3599999999999994,-0.5100000000000051,282790,380133,226883,153250,111588
2018-07-08,98.758,99.69,98.13,1.5600000000000023,0.7700000000000102,99.254,99.97,98.59,1.3799999999999955,0.7199999999999989,98.318,99.06,97.69,1.3700000000000045,0.6400000000000006,98.84400000000001,99.29,98.14,1.1500000000000057,0.8400000000000034,330199,357120,303000,54120,54120
2018-07-15,98.048,99.11,97.18,1.9299999999999926,-1.9299999999999926,98.556,99.37,97.29,2.0799999999999983,-2.0799999999999983,97.104,97.68,96.41,1.2700000000000102,-1.2700000000000102,97.634,98.61,96.97,1.6400000000000006,-0.9000000000000057,333560,477005,202791,274214,-205495
2018-07-22,96.274,97.15,95.47,1.6800000000000068,-1.2399999999999949,96.944,97.89,96.29,1.5999999999999943,-0.539999999999992,95.444,96.01,95.07,0.9400000000000119,-0.46000000000000796,96.02,96.6,95.4,1.1999999999999886,0.1599999999999966,378286,445075,284306,160769,-5831
2018-07-29,97.204,98.71,96.33,2.3799999999999955,2.3799999999999955,98.572,99.4,97.81,1.5900000000000034,0.6200000000000045,96.864,98.67,95.79,2.8799999999999955,2.4399999999999977,97.88,99.06,96.96,2.1000000000000085,2.1000000000000085,301560,420070,220255,199815,-199815
2018-08-05,99.036,99.65,98.35,1.3000000000000114,-0.4900000000000091,99.642,100.12,98.72,1.4000000000000057,-0.980000000000004,98.542,98.96,98.19,0.769999999999996,-0.09000000000000341,98.986,99.68,98.48,1.2000000000000028,-0.710000000000008,290117,370936,194038,176898,-83351
2018-08-12,100.382,101.77,98.68,3.089999999999989,3.089999999999989,101.55799999999999,102.22,99.96,2.260000000000005,2.1500000000000057,100.068,101.01,98.61,2.4000000000000057,2.4000000000000057,101.204,102.12,99.82,2.3000000000000114,1.25,399006,577328,292950,284378,97510
2018-08-19,100.696,101.48,100.15,1.3299999999999983,0.46000000000000796,101.188,101.87,100.53,1.3400000000000034,0.7199999999999989,100.21600000000001,100.73,99.93,0.7999999999999972,0.480000000000004,100.878,101.81,100.13,1.6800000000000068,1.1500000000000057,291573,448485,231426,217059,202062
2018-08-26,102.92750000000001,103.48,101.79,1.6899999999999977,1.4899999999999949,103.42,103.74,102.94,0.7999999999999972,0.7999999999999972,102.475,102.88,101.45,1.4299999999999926,1.3299999999999983,103.06,103.18,102.89,0.29000000000000625,0.29000000000000625,280972,360225,212655,147570,-75524
2018-09-02,101.178,102.86,100.34,2.519999999999996,-1.7999999999999972,101.85000000000001,103.51,101.15,2.3599999999999994,-1.7800000000000011,100.738,102.49,99.75,2.739999999999995,-1.8799999999999955,101.34,102.9,100.61,2.2900000000000063,-1.4000000000000057,1161005,3412265,321575,3090690,383007
2018-09-09,102.206,102.66,101.71,0.9500000000000028,0.37000000000000455,102.918,103.52,102.29,1.2299999999999898,0.8799999999999955,101.652,102.18,101.06,1.1200000000000045,0.4399999999999977,102.438,103.11,101.93,1.1799999999999926,1.0699999999999932,509316,913960,364567,549393,-549393
2018-09-16,102.092,103.14,101.12,2.019999999999996,-0.8700000000000045,102.428,103.44,101.85,1.5900000000000034,-1.1700000000000017,101.016,101.74,100.26,1.4799999999999898,-0.8599999999999994,101.636,102.19,100.98,1.2099999999999937,-0.6300000000000097,405056,571129,309310,261819,-38090
2018-09-23,100.622,101.53,99.41,2.1200000000000045,0.060000000000002274,101.44,102.23,100.54,1.6899999999999977,0.5799999999999983,99.984,100.85,99.13,1.7199999999999989,0.23999999999999488,100.55,101.54,99.74,1.8000000000000114,0.20000000000000284,375767,466068,325537,140531,-26373
2018-09-30,100.354,101.23,99.8,1.4300000000000068,-1.1099999999999994,101.138,101.81,100.32,1.490000000000009,0.0,99.574,100.69,98.84,1.8499999999999943,-1.1700000000000017,100.292,101.24,99.56,1.6799999999999926,-0.6299999999999955,510070,961273,326930,634343,1351
2018-10-07,98.618,101.3,95.22,6.079999999999998,-5.590000000000003,99.706,102.06,97.0,5.060000000000002,-3.8700000000000045,97.05199999999999,100.36,94.63,5.730000000000004,-5.280000000000001,97.964,101.6,95.6,6.0,-4.3999999999999915,438063,575994,260239,315755,28753
