Date,iShares Int Div Grwth_Open_average,iShares Int Div Grwth_Open_max,iShares Int Div Grwth_Open_min,iShares Int Div Grwth_Open_volatility,iShares Int Div Grwth_Open_change,iShares Int Div Grwth_High_average,iShares Int Div Grwth_High_max,iShares Int Div Grwth_High_min,iShares Int Div Grwth_High_volatility,iShares Int Div Grwth_High_change,iShares Int Div Grwth_Low_average,iShares Int Div Grwth_Low_max,iShares Int Div Grwth_Low_min,iShares Int Div Grwth_Low_volatility,iShares Int Div Grwth_Low_change,iShares Int Div Grwth_Close_average,iShares Int Div Grwth_Close_max,iShares Int Div Grwth_Close_min,iShares Int Div Grwth_Close_volatility,iShares Int Div Grwth_Close_change
2018-01-14,60.31,60.31,60.31,0.0,0.0,60.8,60.8,60.8,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-01-21,61.49,61.49,61.49,0.0,0.0,61.94,61.94,61.94,0.0,0.0,61.37,61.37,61.37,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2018-01-28,60.02,60.02,60.02,0.0,0.0,60.5,60.5,60.5,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.51,59.51,59.51,0.0,0.0
2018-02-04,56.69,56.69,56.69,0.0,0.0,57.41,57.41,57.41,0.0,0.0,55.35,55.35,55.35,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2018-02-11,58.56,58.56,58.56,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2018-02-18,58.0,58.0,58.0,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2018-02-25,56.75,56.75,56.75,0.0,0.0,57.18,57.18,57.18,0.0,0.0,56.52,56.52,56.52,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-03-04,57.8,57.8,57.8,0.0,0.0,58.77,58.77,58.77,0.0,0.0,57.76,57.76,57.76,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2018-03-11,59.0,59.0,59.0,0.0,0.0,59.0,59.0,59.0,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2018-03-18,56.01,56.01,56.01,0.0,0.0,56.46,56.46,56.46,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-25,57.66,57.66,57.66,0.0,0.0,57.66,57.66,57.66,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-04-01,57.19,57.19,57.19,0.0,0.0,57.85,57.85,57.85,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-04-08,57.44,57.44,57.44,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2018-04-15,57.19,57.19,57.19,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2018-04-22,56.96,56.96,56.96,0.0,0.0,58.03,58.03,58.03,0.0,0.0,56.85,56.85,56.85,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2018-04-29,56.1,56.1,56.1,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.1,56.1,56.1,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2018-05-06,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2018-05-13,57.05,57.05,57.05,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2018-05-20,57.26,57.26,57.26,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.21,57.21,57.21,0.0,0.0
2018-05-27,56.64,56.64,56.64,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-06-03,56.9,56.9,56.9,0.0,0.0,57.01,57.01,57.01,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-06-10,56.6,56.6,56.6,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.42,56.42,56.42,0.0,0.0,57.12,57.12,57.12,0.0,0.0
2018-06-17,55.19,55.19,55.19,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-06-24,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-07-01,54.98,54.98,54.98,0.0,0.0,55.38,55.38,55.38,0.0,0.0,54.97,54.97,54.97,0.0,0.0,55.12,55.12,55.12,0.0,0.0
2018-07-08,55.43,55.43,55.43,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-07-15,55.88,55.88,55.88,0.0,0.0,57.14,57.14,57.14,0.0,0.0,55.6,55.6,55.6,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2018-07-22,57.39,57.39,57.39,0.0,0.0,57.39,57.39,57.39,0.0,0.0,55.66,55.66,55.66,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2018-07-29,56.99,56.99,56.99,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2018-08-05,55.51,55.51,55.51,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2018-08-12,55.32,55.32,55.32,0.0,0.0,55.89,55.89,55.89,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2018-08-19,56.31,56.31,56.31,0.0,0.0,56.69,56.69,56.69,0.0,0.0,55.3,55.3,55.3,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2018-08-26,55.0,55.0,55.0,0.0,0.0,56.46,56.46,56.46,0.0,0.0,55.0,55.0,55.0,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2018-09-02,55.04,55.04,55.04,0.0,0.0,55.21,55.21,55.21,0.0,0.0,54.61,54.61,54.61,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-09-09,56.14,56.14,56.14,0.0,0.0,56.35,56.35,56.35,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2018-09-16,57.1,57.1,57.1,0.0,0.0,57.1,57.1,57.1,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2018-09-23,56.35,56.35,56.35,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.35,56.35,56.35,0.0,0.0
2018-09-30,54.74,54.74,54.74,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-10-07,53.12,53.12,53.12,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2018-10-14,52.7,52.7,52.7,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-10-21,50.99,50.99,50.99,0.0,0.0,51.6,51.6,51.6,0.0,0.0,50.62,50.62,50.62,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-10-28,52.56,52.56,52.56,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-11-04,52.56,52.56,52.56,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2018-11-11,52.04,52.04,52.04,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-11-18,51.34,51.34,51.34,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2018-11-25,51.89,51.89,51.89,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-12-02,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-12-09,49.9,49.9,49.9,0.0,0.0,50.47,50.47,50.47,0.0,0.0,49.73,49.73,49.73,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-12-16,48.9,48.9,48.9,0.0,0.0,49.13,49.13,49.13,0.0,0.0,47.73,47.73,47.73,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-12-23,49.48,49.48,49.48,0.0,0.0,49.68,49.68,49.68,0.0,0.0,48.2,48.2,48.2,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-12-30,49.52,49.52,49.52,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.06,49.06,49.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-01-06,51.39,51.39,51.39,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2019-01-13,51.65,51.65,51.65,0.0,0.0,52.34,52.34,52.34,0.0,0.0,51.65,51.65,51.65,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2019-01-20,52.38,52.38,52.38,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2019-01-27,53.42,53.42,53.42,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-02-03,51.87,51.87,51.87,0.0,0.0,52.53,52.53,52.53,0.0,0.0,51.87,51.87,51.87,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2019-02-10,53.4,53.4,53.4,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2019-02-17,54.27,54.27,54.27,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2019-02-24,54.76,54.76,54.76,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2019-03-03,53.43,53.43,53.43,0.0,0.0,53.43,53.43,53.43,0.0,0.0,52.55,52.55,52.55,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-03-10,54.93,54.93,54.93,0.0,0.0,55.29,55.29,55.29,0.0,0.0,54.69,54.69,54.69,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2019-03-17,54.38,54.38,54.38,0.0,0.0,54.38,54.38,54.38,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.65,53.65,53.65,0.0,0.0
