Date,Columbia Sustainable International Equity Income_etf_Open_average,Columbia Sustainable International Equity Income_etf_Open_max,Columbia Sustainable International Equity Income_etf_Open_min,Columbia Sustainable International Equity Income_etf_Open_volatility,Columbia Sustainable International Equity Income_etf_Open_change,Columbia Sustainable International Equity Income_etf_High_average,Columbia Sustainable International Equity Income_etf_High_max,Columbia Sustainable International Equity Income_etf_High_min,Columbia Sustainable International Equity Income_etf_High_volatility,Columbia Sustainable International Equity Income_etf_High_change,Columbia Sustainable International Equity Income_etf_Low_average,Columbia Sustainable International Equity Income_etf_Low_max,Columbia Sustainable International Equity Income_etf_Low_min,Columbia Sustainable International Equity Income_etf_Low_volatility,Columbia Sustainable International Equity Income_etf_Low_change,Columbia Sustainable International Equity Income_etf_Close_average,Columbia Sustainable International Equity Income_etf_Close_max,Columbia Sustainable International Equity Income_etf_Close_min,Columbia Sustainable International Equity Income_etf_Close_volatility,Columbia Sustainable International Equity Income_etf_Close_change
2018-01-14,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-01-21,32.31,32.31,32.31,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-01-28,31.63,31.63,31.63,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-02-04,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-02-11,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-02-18,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-02-25,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-03-04,29.88,29.88,29.88,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-03-11,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-03-18,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
