Date,Direxion Daily Transportation Bull 3X Shares_Open_average,Direxion Daily Transportation Bull 3X Shares_Open_max,Direxion Daily Transportation Bull 3X Shares_Open_min,Direxion Daily Transportation Bull 3X Shares_Open_volatility,Direxion Daily Transportation Bull 3X Shares_Open_change,Direxion Daily Transportation Bull 3X Shares_High_average,Direxion Daily Transportation Bull 3X Shares_High_max,Direxion Daily Transportation Bull 3X Shares_High_min,Direxion Daily Transportation Bull 3X Shares_High_volatility,Direxion Daily Transportation Bull 3X Shares_High_change,Direxion Daily Transportation Bull 3X Shares_Low_average,Direxion Daily Transportation Bull 3X Shares_Low_max,Direxion Daily Transportation Bull 3X Shares_Low_min,Direxion Daily Transportation Bull 3X Shares_Low_volatility,Direxion Daily Transportation Bull 3X Shares_Low_change,Direxion Daily Transportation Bull 3X Shares_Close_average,Direxion Daily Transportation Bull 3X Shares_Close_max,Direxion Daily Transportation Bull 3X Shares_Close_min,Direxion Daily Transportation Bull 3X Shares_Close_volatility,Direxion Daily Transportation Bull 3X Shares_Close_change
2018-01-14,41.2,41.2,41.2,0.0,0.0,41.98,41.98,41.98,0.0,0.0,40.6,40.6,40.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-01-21,39.12,39.12,39.12,0.0,0.0,40.02,40.02,40.02,0.0,0.0,38.51,38.51,38.51,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2018-01-28,33.85,33.85,33.85,0.0,0.0,35.43,35.43,35.43,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-04,29.45,29.45,29.45,0.0,0.0,31.28,31.28,31.28,0.0,0.0,29.45,29.45,29.45,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-02-11,32.43,32.43,32.43,0.0,0.0,33.72,33.72,33.72,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-02-18,33.48,33.48,33.48,0.0,0.0,35.32,35.32,35.32,0.0,0.0,33.48,33.48,33.48,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-02-25,30.11,30.11,30.11,0.0,0.0,31.23,31.23,31.23,0.0,0.0,29.56,29.56,29.56,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-03-04,34.77,34.77,34.77,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-03-11,33.35,33.35,33.35,0.0,0.0,34.12,34.12,34.12,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-03-18,30.59,30.59,30.59,0.0,0.0,30.87,30.87,30.87,0.0,0.0,29.71,29.71,29.71,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-03-25,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0,28.36,28.36,28.36,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-04-01,29.36,29.36,29.36,0.0,0.0,29.41,29.41,29.41,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-04-08,32.1,32.1,32.1,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.82,32.82,32.82,0.0,0.0
