Date,iShares Morningstar Small-Cap_Open_average,iShares Morningstar Small-Cap_Open_max,iShares Morningstar Small-Cap_Open_min,iShares Morningstar Small-Cap_Open_volatility,iShares Morningstar Small-Cap_Open_change,iShares Morningstar Small-Cap_High_average,iShares Morningstar Small-Cap_High_max,iShares Morningstar Small-Cap_High_min,iShares Morningstar Small-Cap_High_volatility,iShares Morningstar Small-Cap_High_change,iShares Morningstar Small-Cap_Low_average,iShares Morningstar Small-Cap_Low_max,iShares Morningstar Small-Cap_Low_min,iShares Morningstar Small-Cap_Low_volatility,iShares Morningstar Small-Cap_Low_change,iShares Morningstar Small-Cap_Close_average,iShares Morningstar Small-Cap_Close_max,iShares Morningstar Small-Cap_Close_min,iShares Morningstar Small-Cap_Close_volatility,iShares Morningstar Small-Cap_Close_change
2018-01-14,179.69,179.69,179.69,0.0,0.0,180.8,180.8,180.8,0.0,0.0,179.69,179.69,179.69,0.0,0.0,180.79,180.79,180.79,0.0,0.0
2018-01-21,181.22,181.22,181.22,0.0,0.0,181.22,181.22,181.22,0.0,0.0,179.72,179.72,179.72,0.0,0.0,179.73,179.73,179.73,0.0,0.0
2018-01-28,173.35,173.35,173.35,0.0,0.0,174.45,174.45,174.45,0.0,0.0,168.67,168.67,168.67,0.0,0.0,168.67,168.67,168.67,0.0,0.0
2018-02-04,167.18,167.18,167.18,0.0,0.0,169.15,169.15,169.15,0.0,0.0,166.27,166.27,166.27,0.0,0.0,168.85,168.85,168.85,0.0,0.0
2018-02-11,171.44,171.44,171.44,0.0,0.0,173.66,173.66,173.66,0.0,0.0,171.44,171.44,171.44,0.0,0.0,173.05,173.05,173.05,0.0,0.0
2018-02-18,173.42,173.42,173.42,0.0,0.0,173.42,173.42,173.42,0.0,0.0,172.67,172.67,172.67,0.0,0.0,172.67,172.67,172.67,0.0,0.0
2018-02-25,169.7,169.7,169.7,0.0,0.0,171.95,171.95,171.95,0.0,0.0,169.42,169.42,169.42,0.0,0.0,171.95,171.95,171.95,0.0,0.0
2018-03-04,177.4,177.4,177.4,0.0,0.0,177.4,177.4,177.4,0.0,0.0,176.72,176.72,176.72,0.0,0.0,177.2,177.2,177.2,0.0,0.0
2018-03-11,173.28,173.28,173.28,0.0,0.0,173.32,173.32,173.32,0.0,0.0,172.57,172.57,172.57,0.0,0.0,172.7,172.7,172.7,0.0,0.0
2018-03-18,168.04,168.04,168.04,0.0,0.0,168.04,168.04,168.04,0.0,0.0,166.57,166.57,166.57,0.0,0.0,166.78,166.78,166.78,0.0,0.0
2018-03-25,167.89,167.89,167.89,0.0,0.0,167.89,167.89,167.89,0.0,0.0,163.84,163.84,163.84,0.0,0.0,165.1,165.1,165.1,0.0,0.0
2018-04-01,168.83,168.83,168.83,0.0,0.0,169.84,169.84,169.84,0.0,0.0,167.93,167.93,167.93,0.0,0.0,168.06,168.06,168.06,0.0,0.0
2018-04-08,171.62,171.62,171.62,0.0,0.0,172.86,172.86,172.86,0.0,0.0,171.62,171.62,171.62,0.0,0.0,172.52,172.52,172.52,0.0,0.0
2018-04-15,171.37,171.37,171.37,0.0,0.0,172.05,172.05,172.05,0.0,0.0,171.37,171.37,171.37,0.0,0.0,171.62,171.62,171.62,0.0,0.0
2018-04-22,172.96,172.96,172.96,0.0,0.0,172.96,172.96,172.96,0.0,0.0,170.59,170.59,170.59,0.0,0.0,170.59,170.59,170.59,0.0,0.0
