Date,Guggenheim Invest S&P 500 Equal Weight Utilities_Open_average,Guggenheim Invest S&P 500 Equal Weight Utilities_Open_max,Guggenheim Invest S&P 500 Equal Weight Utilities_Open_min,Guggenheim Invest S&P 500 Equal Weight Utilities_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Utilities_Open_change,Guggenheim Invest S&P 500 Equal Weight Utilities_High_average,Guggenheim Invest S&P 500 Equal Weight Utilities_High_max,Guggenheim Invest S&P 500 Equal Weight Utilities_High_min,Guggenheim Invest S&P 500 Equal Weight Utilities_High_volatility,Guggenheim Invest S&P 500 Equal Weight Utilities_High_change,Guggenheim Invest S&P 500 Equal Weight Utilities_Low_average,Guggenheim Invest S&P 500 Equal Weight Utilities_Low_max,Guggenheim Invest S&P 500 Equal Weight Utilities_Low_min,Guggenheim Invest S&P 500 Equal Weight Utilities_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Utilities_Low_change,Guggenheim Invest S&P 500 Equal Weight Utilities_Close_average,Guggenheim Invest S&P 500 Equal Weight Utilities_Close_max,Guggenheim Invest S&P 500 Equal Weight Utilities_Close_min,Guggenheim Invest S&P 500 Equal Weight Utilities_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Utilities_Close_change
2018-01-14,82.85,82.85,82.85,0.0,0.0,82.9,82.9,82.9,0.0,0.0,82.42,82.42,82.42,0.0,0.0,82.49,82.49,82.49,0.0,0.0
2018-01-21,84.29,84.29,84.29,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.65,83.65,83.65,0.0,0.0,84.39,84.39,84.39,0.0,0.0
2018-01-28,82.34,82.34,82.34,0.0,0.0,82.53,82.53,82.53,0.0,0.0,82.05,82.05,82.05,0.0,0.0,82.05,82.05,82.05,0.0,0.0
2018-02-04,78.06,78.06,78.06,0.0,0.0,79.7,79.7,79.7,0.0,0.0,77.44,77.44,77.44,0.0,0.0,79.23,79.23,79.23,0.0,0.0
2018-02-11,81.55,81.55,81.55,0.0,0.0,82.34,82.34,82.34,0.0,0.0,81.55,81.55,81.55,0.0,0.0,82.21,82.21,82.21,0.0,0.0
2018-02-18,80.76,80.76,80.76,0.0,0.0,82.14,82.14,82.14,0.0,0.0,80.76,80.76,80.76,0.0,0.0,82.06,82.06,82.06,0.0,0.0
2018-02-25,80.29,80.29,80.29,0.0,0.0,80.91,80.91,80.91,0.0,0.0,80.08,80.08,80.08,0.0,0.0,80.44,80.44,80.44,0.0,0.0
2018-03-04,81.07,81.07,81.07,0.0,0.0,81.09,81.09,81.09,0.0,0.0,80.92,80.92,80.92,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2018-03-11,81.55,81.55,81.55,0.0,0.0,82.38,82.38,82.38,0.0,0.0,81.55,81.55,81.55,0.0,0.0,82.38,82.38,82.38,0.0,0.0
2018-03-18,81.61,81.61,81.61,0.0,0.0,81.61,81.61,81.61,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2018-03-25,82.19,82.19,82.19,0.0,0.0,82.7,82.7,82.7,0.0,0.0,82.19,82.19,82.19,0.0,0.0,82.57,82.57,82.57,0.0,0.0
2018-04-01,83.32,83.32,83.32,0.0,0.0,83.32,83.32,83.32,0.0,0.0,82.5,82.5,82.5,0.0,0.0,82.5,82.5,82.5,0.0,0.0
2018-04-08,81.37,81.37,81.37,0.0,0.0,81.87,81.87,81.87,0.0,0.0,81.37,81.37,81.37,0.0,0.0,81.63,81.63,81.63,0.0,0.0
