Date,FLR_stock_Open_average,FLR_stock_Open_max,FLR_stock_Open_min,FLR_stock_Open_volatility,FLR_stock_Open_change,FLR_stock_High_average,FLR_stock_High_max,FLR_stock_High_min,FLR_stock_High_volatility,FLR_stock_High_change,FLR_stock_Low_average,FLR_stock_Low_max,FLR_stock_Low_min,FLR_stock_Low_volatility,FLR_stock_Low_change,FLR_stock_Close_average,FLR_stock_Close_max,FLR_stock_Close_min,FLR_stock_Close_volatility,FLR_stock_Close_change,FLR_stock_Volume_average,FLR_stock_Volume_max,FLR_stock_Volume_min,FLR_stock_Volume_volatility,FLR_stock_Volume_change
2018-01-14,58.7975,60.11,57.38,2.729999999999997,2.729999999999997,59.45,60.61,58.26,2.3500000000000014,2.3500000000000014,58.1825,59.01,57.17,1.8399999999999963,1.6599999999999966,59.1625,60.43,58.03,2.3999999999999986,2.3999999999999986,1918120,2508134,1482360,1025774,-129505
2018-01-21,61.258,61.72,60.38,1.3399999999999963,0.8900000000000006,61.764,62.09,61.55,0.5400000000000063,-0.010000000000005116,60.716,60.97,60.14,0.8299999999999983,0.8200000000000003,61.356,61.53,61.22,0.3100000000000023,0.240000000000002,1924916,2799838,953916,1845922,-1452885
2018-01-28,60.768,61.36,59.93,1.4299999999999997,-1.4299999999999997,61.156,62.05,60.03,2.019999999999996,-2.019999999999996,60.094,61.36,58.61,2.75,-2.75,60.382,61.61,58.79,2.8200000000000003,-2.8200000000000003,1314728,2243326,941338,1301988,1301988
2018-02-04,56.832,58.29,55.9,2.3900000000000006,-2.1899999999999977,57.556000000000004,58.95,56.45,2.5,-2.5,55.344,56.88,53.22,3.6600000000000037,-2.8000000000000043,56.153999999999996,57.16,55.01,2.1499999999999986,-1.240000000000002,2123661,2461916,1465541,996375,-479584
2018-02-11,56.464,58.0,55.35,2.6499999999999986,2.3299999999999983,57.562,58.73,56.36,2.3699999999999974,1.6400000000000006,55.967999999999996,57.18,55.1,2.0799999999999983,2.0799999999999983,56.996,57.85,55.82,2.030000000000001,1.3200000000000003,1303354,1644516,885514,759002,-180636
2018-02-18,58.3975,59.7,57.48,2.220000000000006,1.0400000000000063,59.182500000000005,59.99,58.57,1.4200000000000017,-0.030000000000001137,57.27,57.7,56.84,0.8599999999999994,-0.3299999999999983,57.9325,58.15,57.43,0.7199999999999989,0.10999999999999943,1994253,3068216,1287372,1780844,-645730
2018-02-25,57.344,58.7,55.24,3.460000000000001,-3.0,58.024,59.34,56.78,2.5600000000000023,-1.9099999999999966,56.512,57.8,54.94,2.8599999999999994,-2.719999999999999,57.13,58.58,55.78,2.799999999999997,-1.9899999999999949,1376661,1615058,1141538,473520,88766
2018-03-04,57.166,57.79,56.24,1.5499999999999972,1.269999999999996,57.9,58.68,57.45,1.2299999999999969,1.2299999999999969,56.672000000000004,57.36,56.2,1.1599999999999966,1.1599999999999966,57.596000000000004,58.52,57.06,1.4600000000000009,1.4600000000000009,1195060,1421514,975156,446358,-79541
2018-03-11,58.012,58.5,57.41,1.0900000000000034,-1.0900000000000034,58.404,58.88,57.87,1.0100000000000051,-0.6700000000000017,57.45,58.18,56.95,1.2299999999999969,-1.0700000000000003,57.712,58.28,57.31,0.9699999999999989,-0.6400000000000006,937252,1592789,583217,1009572,605106
2018-03-18,57.16,57.61,56.12,1.490000000000002,-1.4299999999999997,57.726,59.18,56.4,2.780000000000001,-1.1499999999999986,56.24,57.14,54.7,2.4399999999999977,-1.7299999999999969,56.614,58.3,54.85,3.4499999999999957,-1.990000000000002,1011727,1269443,613463,655980,163676
