Date,iShares Morningstar Mid-Cap Value_etf_Open_average,iShares Morningstar Mid-Cap Value_etf_Open_max,iShares Morningstar Mid-Cap Value_etf_Open_min,iShares Morningstar Mid-Cap Value_etf_Open_volatility,iShares Morningstar Mid-Cap Value_etf_Open_change,iShares Morningstar Mid-Cap Value_etf_High_average,iShares Morningstar Mid-Cap Value_etf_High_max,iShares Morningstar Mid-Cap Value_etf_High_min,iShares Morningstar Mid-Cap Value_etf_High_volatility,iShares Morningstar Mid-Cap Value_etf_High_change,iShares Morningstar Mid-Cap Value_etf_Low_average,iShares Morningstar Mid-Cap Value_etf_Low_max,iShares Morningstar Mid-Cap Value_etf_Low_min,iShares Morningstar Mid-Cap Value_etf_Low_volatility,iShares Morningstar Mid-Cap Value_etf_Low_change,iShares Morningstar Mid-Cap Value_etf_Close_average,iShares Morningstar Mid-Cap Value_etf_Close_max,iShares Morningstar Mid-Cap Value_etf_Close_min,iShares Morningstar Mid-Cap Value_etf_Close_volatility,iShares Morningstar Mid-Cap Value_etf_Close_change
2018-01-14,164.56,164.56,164.56,0.0,0.0,165.39,165.39,165.39,0.0,0.0,164.44,164.44,164.44,0.0,0.0,165.39,165.39,165.39,0.0,0.0
2018-01-21,167.59,167.59,167.59,0.0,0.0,168.36,168.36,168.36,0.0,0.0,167.15,167.15,167.15,0.0,0.0,168.36,168.36,168.36,0.0,0.0
2018-01-28,163.48,163.48,163.48,0.0,0.0,163.48,163.48,163.48,0.0,0.0,160.48,160.48,160.48,0.0,0.0,160.53,160.53,160.53,0.0,0.0
2018-02-04,153.24,153.24,153.24,0.0,0.0,154.35,154.35,154.35,0.0,0.0,149.27,149.27,149.27,0.0,0.0,153.9,153.9,153.9,0.0,0.0
2018-02-11,158.84,158.84,158.84,0.0,0.0,160.89,160.89,160.89,0.0,0.0,158.84,158.84,158.84,0.0,0.0,160.13,160.13,160.13,0.0,0.0
2018-02-18,158.55,158.55,158.55,0.0,0.0,159.58,159.58,159.58,0.0,0.0,158.45,158.45,158.45,0.0,0.0,159.58,159.58,159.58,0.0,0.0
2018-02-25,154.47,154.47,154.47,0.0,0.0,156.27,156.27,156.27,0.0,0.0,154.47,154.47,154.47,0.0,0.0,155.81,155.81,155.81,0.0,0.0
2018-03-04,159.71,159.71,159.71,0.0,0.0,161.36,161.36,161.36,0.0,0.0,159.71,159.71,159.71,0.0,0.0,161.36,161.36,161.36,0.0,0.0
2018-03-11,159.61,159.61,159.61,0.0,0.0,160.4,160.4,160.4,0.0,0.0,159.6,159.6,159.6,0.0,0.0,160.04,160.04,160.04,0.0,0.0
2018-03-18,154.99,154.99,154.99,0.0,0.0,155.06,155.06,155.06,0.0,0.0,151.96,151.96,151.96,0.0,0.0,151.96,151.96,151.96,0.0,0.0
2018-03-25,154.76,154.76,154.76,0.0,0.0,156.32,156.32,156.32,0.0,0.0,154.76,154.76,154.76,0.0,0.0,155.97,155.97,155.97,0.0,0.0
2018-04-01,156.74,156.74,156.74,0.0,0.0,156.74,156.74,156.74,0.0,0.0,154.44,154.44,154.44,0.0,0.0,154.44,154.44,154.44,0.0,0.0
2018-04-08,158.19,158.19,158.19,0.0,0.0,158.19,158.19,158.19,0.0,0.0,156.32,156.32,156.32,0.0,0.0,156.4,156.4,156.4,0.0,0.0
2018-04-15,159.27,159.27,159.27,0.0,0.0,159.27,159.27,159.27,0.0,0.0,158.15,158.15,158.15,0.0,0.0,158.27,158.27,158.27,0.0,0.0
2018-04-22,158.83,158.83,158.83,0.0,0.0,159.19,159.19,159.19,0.0,0.0,158.38,158.38,158.38,0.0,0.0,158.9,158.9,158.9,0.0,0.0
2018-04-29,154.71,154.71,154.71,0.0,0.0,157.37,157.37,157.37,0.0,0.0,154.71,154.71,154.71,0.0,0.0,156.86,156.86,156.86,0.0,0.0
2018-05-06,159.47,159.47,159.47,0.0,0.0,159.67,159.67,159.67,0.0,0.0,159.0,159.0,159.0,0.0,0.0,159.29,159.29,159.29,0.0,0.0
2018-05-13,160.13,160.13,160.13,0.0,0.0,160.2,160.2,160.2,0.0,0.0,159.86,159.86,159.86,0.0,0.0,159.98,159.98,159.98,0.0,0.0
2018-05-20,159.59,159.59,159.59,0.0,0.0,159.59,159.59,159.59,0.0,0.0,159.0,159.0,159.0,0.0,0.0,159.3,159.3,159.3,0.0,0.0
2018-05-27,159.39,159.39,159.39,0.0,0.0,159.42,159.42,159.42,0.0,0.0,158.95,158.95,158.95,0.0,0.0,159.08,159.08,159.08,0.0,0.0
2018-06-03,161.34,161.34,161.34,0.0,0.0,161.81,161.81,161.81,0.0,0.0,161.1,161.1,161.1,0.0,0.0,161.81,161.81,161.81,0.0,0.0
2018-06-10,161.07,161.07,161.07,0.0,0.0,161.62,161.62,161.62,0.0,0.0,160.55,160.55,160.55,0.0,0.0,161.6,161.6,161.6,0.0,0.0
2018-06-17,161.91,161.91,161.91,0.0,0.0,162.58,162.58,162.58,0.0,0.0,161.83,161.83,161.83,0.0,0.0,161.88,161.88,161.88,0.0,0.0
2018-06-24,159.99,159.99,159.99,0.0,0.0,160.47,160.47,160.47,0.0,0.0,159.17,159.17,159.17,0.0,0.0,159.17,159.17,159.17,0.0,0.0
2018-07-01,160.77,160.77,160.77,0.0,0.0,161.92,161.92,161.92,0.0,0.0,160.77,160.77,160.77,0.0,0.0,161.81,161.81,161.81,0.0,0.0
2018-07-08,161.42,161.42,161.42,0.0,0.0,161.85,161.85,161.85,0.0,0.0,161.42,161.42,161.42,0.0,0.0,161.51,161.51,161.51,0.0,0.0
2018-07-15,162.13,162.13,162.13,0.0,0.0,162.13,162.13,162.13,0.0,0.0,161.21,161.21,161.21,0.0,0.0,161.29,161.29,161.29,0.0,0.0
2018-07-22,162.73,162.73,162.73,0.0,0.0,162.73,162.73,162.73,0.0,0.0,161.66,161.66,161.66,0.0,0.0,161.71,161.71,161.71,0.0,0.0
2018-07-29,162.44,162.44,162.44,0.0,0.0,162.86,162.86,162.86,0.0,0.0,162.33,162.33,162.33,0.0,0.0,162.84,162.84,162.84,0.0,0.0
2018-08-05,161.97,161.97,161.97,0.0,0.0,162.32,162.32,162.32,0.0,0.0,161.87,161.87,161.87,0.0,0.0,161.96,161.96,161.96,0.0,0.0
2018-08-12,162.2,162.2,162.2,0.0,0.0,163.93,163.93,163.93,0.0,0.0,162.2,162.2,162.2,0.0,0.0,163.83,163.83,163.83,0.0,0.0
2018-08-19,164.13,164.13,164.13,0.0,0.0,164.47,164.47,164.47,0.0,0.0,164.13,164.13,164.13,0.0,0.0,164.47,164.47,164.47,0.0,0.0
2018-08-26,164.79,164.79,164.79,0.0,0.0,164.79,164.79,164.79,0.0,0.0,163.9,163.9,163.9,0.0,0.0,164.58,164.58,164.58,0.0,0.0
2018-09-02,163.59,163.59,163.59,0.0,0.0,163.73,163.73,163.73,0.0,0.0,162.95,162.95,162.95,0.0,0.0,163.4,163.4,163.4,0.0,0.0
2018-09-09,164.38,164.38,164.38,0.0,0.0,164.45,164.45,164.45,0.0,0.0,163.87,163.87,163.87,0.0,0.0,164.41,164.41,164.41,0.0,0.0
2018-09-16,165.48,165.48,165.48,0.0,0.0,166.11,166.11,166.11,0.0,0.0,165.48,165.48,165.48,0.0,0.0,166.11,166.11,166.11,0.0,0.0
2018-09-23,160.59,160.59,160.59,0.0,0.0,162.19,162.19,162.19,0.0,0.0,160.59,160.59,160.59,0.0,0.0,161.93,161.93,161.93,0.0,0.0
2018-09-30,161.39,161.39,161.39,0.0,0.0,161.39,161.39,161.39,0.0,0.0,160.04,160.04,160.04,0.0,0.0,160.48,160.48,160.48,0.0,0.0
2018-10-07,154.94,154.94,154.94,0.0,0.0,154.94,154.94,154.94,0.0,0.0,151.88,151.88,151.88,0.0,0.0,153.09,153.09,153.09,0.0,0.0
2018-10-14,155.42,155.42,155.42,0.0,0.0,155.56,155.56,155.56,0.0,0.0,154.86,154.86,154.86,0.0,0.0,154.86,154.86,154.86,0.0,0.0
2018-10-21,149.0,149.0,149.0,0.0,0.0,149.77,149.77,149.77,0.0,0.0,146.96,146.96,146.96,0.0,0.0,148.42,148.42,148.42,0.0,0.0
2018-10-28,155.21,155.21,155.21,0.0,0.0,155.21,155.21,155.21,0.0,0.0,153.26,153.26,153.26,0.0,0.0,153.84,153.84,153.84,0.0,0.0
2018-11-04,157.15,157.15,157.15,0.0,0.0,157.7,157.7,157.7,0.0,0.0,156.51,156.51,156.51,0.0,0.0,157.54,157.54,157.54,0.0,0.0
2018-11-11,155.73,155.73,155.73,0.0,0.0,156.56,156.56,156.56,0.0,0.0,155.52,155.52,155.52,0.0,0.0,156.41,156.41,156.41,0.0,0.0
2018-11-18,152.8,152.8,152.8,0.0,0.0,153.39,153.39,153.39,0.0,0.0,152.35,152.35,152.35,0.0,0.0,153.3,153.3,153.3,0.0,0.0
2018-11-25,154.81,154.81,154.81,0.0,0.0,156.48,156.48,156.48,0.0,0.0,154.81,154.81,154.81,0.0,0.0,156.48,156.48,156.48,0.0,0.0
2018-12-02,154.11,154.11,154.11,0.0,0.0,154.11,154.11,154.11,0.0,0.0,150.12,150.12,150.12,0.0,0.0,150.69,150.69,150.69,0.0,0.0
2018-12-09,147.78,147.78,147.78,0.0,0.0,148.25,148.25,148.25,0.0,0.0,147.0,147.0,147.0,0.0,0.0,147.22,147.22,147.22,0.0,0.0
