Date,iShares MSCI Global Gold Miners_Open_average,iShares MSCI Global Gold Miners_Open_max,iShares MSCI Global Gold Miners_Open_min,iShares MSCI Global Gold Miners_Open_volatility,iShares MSCI Global Gold Miners_Open_change,iShares MSCI Global Gold Miners_High_average,iShares MSCI Global Gold Miners_High_max,iShares MSCI Global Gold Miners_High_min,iShares MSCI Global Gold Miners_High_volatility,iShares MSCI Global Gold Miners_High_change,iShares MSCI Global Gold Miners_Low_average,iShares MSCI Global Gold Miners_Low_max,iShares MSCI Global Gold Miners_Low_min,iShares MSCI Global Gold Miners_Low_volatility,iShares MSCI Global Gold Miners_Low_change,iShares MSCI Global Gold Miners_Close_average,iShares MSCI Global Gold Miners_Close_max,iShares MSCI Global Gold Miners_Close_min,iShares MSCI Global Gold Miners_Close_volatility,iShares MSCI Global Gold Miners_Close_change
2018-01-14,19.19,19.19,19.19,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-01-21,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-01-28,18.5,18.5,18.5,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-02-04,17.38,17.38,17.38,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-02-11,18.66,18.66,18.66,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2018-02-18,17.7,17.7,17.7,0.0,0.0,17.87,17.87,17.87,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2018-02-25,17.22,17.22,17.22,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.37,17.37,17.37,0.0,0.0
2018-03-04,17.3,17.3,17.3,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-03-11,17.12,17.12,17.12,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-03-18,17.92,17.92,17.92,0.0,0.0,18.17,18.17,18.17,0.0,0.0,17.9,17.9,17.9,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2018-03-25,17.75,17.75,17.75,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.99,17.99,17.99,0.0,0.0
2018-04-01,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.67,17.67,17.67,0.0,0.0
2018-04-08,18.38,18.38,18.38,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.31,18.31,18.31,0.0,0.0
