Date,Principal Healthcare Innovators_Open_average,Principal Healthcare Innovators_Open_max,Principal Healthcare Innovators_Open_min,Principal Healthcare Innovators_Open_volatility,Principal Healthcare Innovators_Open_change,Principal Healthcare Innovators_High_average,Principal Healthcare Innovators_High_max,Principal Healthcare Innovators_High_min,Principal Healthcare Innovators_High_volatility,Principal Healthcare Innovators_High_change,Principal Healthcare Innovators_Low_average,Principal Healthcare Innovators_Low_max,Principal Healthcare Innovators_Low_min,Principal Healthcare Innovators_Low_volatility,Principal Healthcare Innovators_Low_change,Principal Healthcare Innovators_Close_average,Principal Healthcare Innovators_Close_max,Principal Healthcare Innovators_Close_min,Principal Healthcare Innovators_Close_volatility,Principal Healthcare Innovators_Close_change
2018-01-14,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-01-21,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-01-28,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-02-04,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.87,29.87,29.87,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-02-11,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-02-18,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-02-25,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-03-04,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2018-03-11,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-03-18,33.25,33.25,33.25,0.0,0.0,33.44,33.44,33.44,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-03-25,32.1,32.1,32.1,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-04-01,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-04-08,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2018-04-15,32.3,32.3,32.3,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-04-22,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-04-29,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-05-06,32.87,32.87,32.87,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-05-13,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-05-20,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-05-27,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-06-03,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-06-10,36.03,36.03,36.03,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-06-17,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-06-24,34.75,34.75,34.75,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-07-01,36.24,36.24,36.24,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2018-07-08,37.08,37.08,37.08,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.88,36.88,36.88,0.0,0.0
2018-07-15,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2018-07-22,35.85,35.85,35.85,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2018-07-29,35.45,35.45,35.45,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2018-08-05,34.96,34.96,34.96,0.0,0.0,35.78,35.78,35.78,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-08-12,34.85,34.85,34.85,0.0,0.0,35.5,35.5,35.5,0.0,0.0,34.85,34.85,34.85,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-08-19,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-08-26,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2018-09-02,37.0,37.0,37.0,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-09-09,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-09-16,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-09-23,36.9,36.9,36.9,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-09-30,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-10-07,33.21,33.21,33.21,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-10-14,34.04,34.04,34.04,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-10-21,30.81,30.81,30.81,0.0,0.0,31.55,31.55,31.55,0.0,0.0,30.47,30.47,30.47,0.0,0.0,31.55,31.55,31.55,0.0,0.0
