Date,FlexShares Real Assets AllocationEtf_Open_average,FlexShares Real Assets AllocationEtf_Open_max,FlexShares Real Assets AllocationEtf_Open_min,FlexShares Real Assets AllocationEtf_Open_volatility,FlexShares Real Assets AllocationEtf_Open_change,FlexShares Real Assets AllocationEtf_High_average,FlexShares Real Assets AllocationEtf_High_max,FlexShares Real Assets AllocationEtf_High_min,FlexShares Real Assets AllocationEtf_High_volatility,FlexShares Real Assets AllocationEtf_High_change,FlexShares Real Assets AllocationEtf_Low_average,FlexShares Real Assets AllocationEtf_Low_max,FlexShares Real Assets AllocationEtf_Low_min,FlexShares Real Assets AllocationEtf_Low_volatility,FlexShares Real Assets AllocationEtf_Low_change,FlexShares Real Assets AllocationEtf_Close_average,FlexShares Real Assets AllocationEtf_Close_max,FlexShares Real Assets AllocationEtf_Close_min,FlexShares Real Assets AllocationEtf_Close_volatility,FlexShares Real Assets AllocationEtf_Close_change
2018-01-14,28.89,28.89,28.89,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-01-21,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-01-28,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-02-04,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2018-02-11,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-02-18,27.61,27.61,27.61,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-02-25,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-03-04,27.61,27.61,27.61,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-03-11,27.66,27.66,27.66,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-03-18,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-03-25,27.47,27.47,27.47,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-04-01,27.6,27.6,27.6,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2018-04-08,27.67,27.67,27.67,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-04-15,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-04-22,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-04-29,28.05,28.05,28.05,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-05-06,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-05-13,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-05-20,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-05-27,28.04,28.04,28.04,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-06-03,28.23,28.23,28.23,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-06-10,28.11,28.11,28.11,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-06-17,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2018-06-24,27.82,27.82,27.82,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-07-01,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
