Date,VanEck Vectors Environmental Services_Open_average,VanEck Vectors Environmental Services_Open_max,VanEck Vectors Environmental Services_Open_min,VanEck Vectors Environmental Services_Open_volatility,VanEck Vectors Environmental Services_Open_change,VanEck Vectors Environmental Services_High_average,VanEck Vectors Environmental Services_High_max,VanEck Vectors Environmental Services_High_min,VanEck Vectors Environmental Services_High_volatility,VanEck Vectors Environmental Services_High_change,VanEck Vectors Environmental Services_Low_average,VanEck Vectors Environmental Services_Low_max,VanEck Vectors Environmental Services_Low_min,VanEck Vectors Environmental Services_Low_volatility,VanEck Vectors Environmental Services_Low_change,VanEck Vectors Environmental Services_Close_average,VanEck Vectors Environmental Services_Close_max,VanEck Vectors Environmental Services_Close_min,VanEck Vectors Environmental Services_Close_volatility,VanEck Vectors Environmental Services_Close_change
2018-01-14,89.47,89.47,89.47,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.47,89.47,89.47,0.0,0.0
2018-01-21,89.92,89.92,89.92,0.0,0.0,89.98,89.98,89.98,0.0,0.0,89.92,89.92,89.92,0.0,0.0,89.98,89.98,89.98,0.0,0.0
2018-01-28,87.9,87.9,87.9,0.0,0.0,87.9,87.9,87.9,0.0,0.0,87.76,87.76,87.76,0.0,0.0,87.78,87.78,87.78,0.0,0.0
2018-02-04,80.34,80.34,80.34,0.0,0.0,82.36,82.36,82.36,0.0,0.0,80.34,80.34,80.34,0.0,0.0,82.36,82.36,82.36,0.0,0.0
2018-02-11,87.37,87.37,87.37,0.0,0.0,87.37,87.37,87.37,0.0,0.0,87.37,87.37,87.37,0.0,0.0,87.37,87.37,87.37,0.0,0.0
2018-02-18,86.51,86.51,86.51,0.0,0.0,87.0,87.0,87.0,0.0,0.0,86.46,86.46,86.46,0.0,0.0,87.0,87.0,87.0,0.0,0.0
2018-02-25,86.09,86.09,86.09,0.0,0.0,86.09,86.09,86.09,0.0,0.0,86.09,86.09,86.09,0.0,0.0,86.09,86.09,86.09,0.0,0.0
2018-03-04,91.16,91.16,91.16,0.0,0.0,91.16,91.16,91.16,0.0,0.0,89.06,89.06,89.06,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2018-03-11,87.42,87.42,87.42,0.0,0.0,87.42,87.42,87.42,0.0,0.0,86.67,86.67,86.67,0.0,0.0,86.92,86.92,86.92,0.0,0.0
2018-03-18,85.14,85.14,85.14,0.0,0.0,85.14,85.14,85.14,0.0,0.0,85.14,85.14,85.14,0.0,0.0,85.14,85.14,85.14,0.0,0.0
2018-03-25,83.41,83.41,83.41,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.13,83.13,83.13,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2018-04-01,86.28,86.28,86.28,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.28,86.28,86.28,0.0,0.0
