Date,iShares US Oil & Gas Exploration & ProductionEtf_Open_average,iShares US Oil & Gas Exploration & ProductionEtf_Open_max,iShares US Oil & Gas Exploration & ProductionEtf_Open_min,iShares US Oil & Gas Exploration & ProductionEtf_Open_volatility,iShares US Oil & Gas Exploration & ProductionEtf_Open_change,iShares US Oil & Gas Exploration & ProductionEtf_High_average,iShares US Oil & Gas Exploration & ProductionEtf_High_max,iShares US Oil & Gas Exploration & ProductionEtf_High_min,iShares US Oil & Gas Exploration & ProductionEtf_High_volatility,iShares US Oil & Gas Exploration & ProductionEtf_High_change,iShares US Oil & Gas Exploration & ProductionEtf_Low_average,iShares US Oil & Gas Exploration & ProductionEtf_Low_max,iShares US Oil & Gas Exploration & ProductionEtf_Low_min,iShares US Oil & Gas Exploration & ProductionEtf_Low_volatility,iShares US Oil & Gas Exploration & ProductionEtf_Low_change,iShares US Oil & Gas Exploration & ProductionEtf_Close_average,iShares US Oil & Gas Exploration & ProductionEtf_Close_max,iShares US Oil & Gas Exploration & ProductionEtf_Close_min,iShares US Oil & Gas Exploration & ProductionEtf_Close_volatility,iShares US Oil & Gas Exploration & ProductionEtf_Close_change
2018-01-14,68.0,68.0,68.0,0.0,0.0,68.43,68.43,68.43,0.0,0.0,67.98,67.98,67.98,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-01-21,69.28,69.28,69.28,0.0,0.0,69.68,69.68,69.68,0.0,0.0,68.98,68.98,68.98,0.0,0.0,69.49,69.49,69.49,0.0,0.0
2018-01-28,66.26,66.26,66.26,0.0,0.0,66.26,66.26,66.26,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-02-04,59.85,59.85,59.85,0.0,0.0,59.85,59.85,59.85,0.0,0.0,56.92,56.92,56.92,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-02-11,62.23,62.23,62.23,0.0,0.0,62.77,62.77,62.77,0.0,0.0,61.75,61.75,61.75,0.0,0.0,62.04,62.04,62.04,0.0,0.0
2018-02-18,61.88,61.88,61.88,0.0,0.0,62.84,62.84,62.84,0.0,0.0,61.43,61.43,61.43,0.0,0.0,62.8,62.8,62.8,0.0,0.0
2018-02-25,59.76,59.76,59.76,0.0,0.0,61.23,61.23,61.23,0.0,0.0,59.36,59.36,59.36,0.0,0.0,61.13,61.13,61.13,0.0,0.0
2018-03-04,62.03,62.03,62.03,0.0,0.0,62.77,62.77,62.77,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-03-11,61.28,61.28,61.28,0.0,0.0,62.36,62.36,62.36,0.0,0.0,61.23,61.23,61.23,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-03-18,63.26,63.26,63.26,0.0,0.0,64.4,64.4,64.4,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.85,62.85,62.85,0.0,0.0
