Date,Guggenheim Invest Defensive Equity_Open_average,Guggenheim Invest Defensive Equity_Open_max,Guggenheim Invest Defensive Equity_Open_min,Guggenheim Invest Defensive Equity_Open_volatility,Guggenheim Invest Defensive Equity_Open_change,Guggenheim Invest Defensive Equity_High_average,Guggenheim Invest Defensive Equity_High_max,Guggenheim Invest Defensive Equity_High_min,Guggenheim Invest Defensive Equity_High_volatility,Guggenheim Invest Defensive Equity_High_change,Guggenheim Invest Defensive Equity_Low_average,Guggenheim Invest Defensive Equity_Low_max,Guggenheim Invest Defensive Equity_Low_min,Guggenheim Invest Defensive Equity_Low_volatility,Guggenheim Invest Defensive Equity_Low_change,Guggenheim Invest Defensive Equity_Close_average,Guggenheim Invest Defensive Equity_Close_max,Guggenheim Invest Defensive Equity_Close_min,Guggenheim Invest Defensive Equity_Close_volatility,Guggenheim Invest Defensive Equity_Close_change
2018-01-14,48.32,48.32,48.32,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2018-01-21,49.25,49.25,49.25,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-01-28,47.17,47.17,47.17,0.0,0.0,47.52,47.52,47.52,0.0,0.0,45.72,45.72,45.72,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2018-02-04,45.48,45.48,45.48,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-02-11,46.94,46.94,46.94,0.0,0.0,47.45,47.45,47.45,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-18,47.38,47.38,47.38,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2018-02-25,46.08,46.08,46.08,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-03-04,47.96,47.96,47.96,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2018-03-11,47.48,47.48,47.48,0.0,0.0,47.48,47.48,47.48,0.0,0.0,46.86,46.86,46.86,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-03-18,45.68,45.68,45.68,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.58,45.58,45.58,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2018-03-25,46.17,46.17,46.17,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-04-01,45.94,45.94,45.94,0.0,0.0,46.25,46.25,46.25,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2018-04-08,46.3,46.3,46.3,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2018-04-15,46.74,46.74,46.74,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-04-22,46.49,46.49,46.49,0.0,0.0,46.49,46.49,46.49,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-04-29,45.83,45.83,45.83,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-05-06,46.39,46.39,46.39,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2018-05-13,46.4,46.4,46.4,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2018-05-20,46.6,46.6,46.6,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.54,46.54,46.54,0.0,0.0
