Date,ProShares SP MidCap 400 Dividend_Open_average,ProShares SP MidCap 400 Dividend_Open_max,ProShares SP MidCap 400 Dividend_Open_min,ProShares SP MidCap 400 Dividend_Open_volatility,ProShares SP MidCap 400 Dividend_Open_change,ProShares SP MidCap 400 Dividend_High_average,ProShares SP MidCap 400 Dividend_High_max,ProShares SP MidCap 400 Dividend_High_min,ProShares SP MidCap 400 Dividend_High_volatility,ProShares SP MidCap 400 Dividend_High_change,ProShares SP MidCap 400 Dividend_Low_average,ProShares SP MidCap 400 Dividend_Low_max,ProShares SP MidCap 400 Dividend_Low_min,ProShares SP MidCap 400 Dividend_Low_volatility,ProShares SP MidCap 400 Dividend_Low_change,ProShares SP MidCap 400 Dividend_Close_average,ProShares SP MidCap 400 Dividend_Close_max,ProShares SP MidCap 400 Dividend_Close_min,ProShares SP MidCap 400 Dividend_Close_volatility,ProShares SP MidCap 400 Dividend_Close_change
2018-01-14,55.25,55.25,55.25,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-01-21,55.95,55.95,55.95,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2018-01-28,53.0,53.0,53.0,0.0,0.0,53.44,53.44,53.44,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2018-02-04,51.73,51.73,51.73,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-02-11,52.92,52.92,52.92,0.0,0.0,53.56,53.56,53.56,0.0,0.0,52.92,52.92,52.92,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-02-18,53.41,53.41,53.41,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-02-25,52.38,52.38,52.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0,52.38,52.38,52.38,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-03-04,54.14,54.14,54.14,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-03-11,53.78,53.78,53.78,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2018-03-18,52.15,52.15,52.15,0.0,0.0,52.52,52.52,52.52,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-03-25,52.89,52.89,52.89,0.0,0.0,52.89,52.89,52.89,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-04-01,52.68,52.68,52.68,0.0,0.0,53.17,53.17,53.17,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-04-08,53.13,53.13,53.13,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-04-15,53.56,53.56,53.56,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-04-22,53.76,53.76,53.76,0.0,0.0,53.76,53.76,53.76,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-04-29,53.4,53.4,53.4,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2018-05-06,53.86,53.86,53.86,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-05-13,53.74,53.74,53.74,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.74,53.74,53.74,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-05-20,54.03,54.03,54.03,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.95,53.95,53.95,0.0,0.0
