Date,Invesco S and P MidCap Quality_Open_average,Invesco S and P MidCap Quality_Open_max,Invesco S and P MidCap Quality_Open_min,Invesco S and P MidCap Quality_Open_volatility,Invesco S and P MidCap Quality_Open_change,Invesco S and P MidCap Quality_High_average,Invesco S and P MidCap Quality_High_max,Invesco S and P MidCap Quality_High_min,Invesco S and P MidCap Quality_High_volatility,Invesco S and P MidCap Quality_High_change,Invesco S and P MidCap Quality_Low_average,Invesco S and P MidCap Quality_Low_max,Invesco S and P MidCap Quality_Low_min,Invesco S and P MidCap Quality_Low_volatility,Invesco S and P MidCap Quality_Low_change,Invesco S and P MidCap Quality_Close_average,Invesco S and P MidCap Quality_Close_max,Invesco S and P MidCap Quality_Close_min,Invesco S and P MidCap Quality_Close_volatility,Invesco S and P MidCap Quality_Close_change
2018-01-14,49.43,49.43,49.43,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-01-21,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-01-28,47.69,47.69,47.69,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2018-02-04,44.9,44.9,44.9,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-02-11,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-02-18,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-02-25,46.75,46.75,46.75,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.75,46.75,46.75,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-03-04,48.4,48.4,48.4,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-03-11,47.53,47.53,47.53,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2018-03-18,46.52,46.52,46.52,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2018-03-25,46.06,46.06,46.06,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.96,45.96,45.96,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2018-04-01,46.87,46.87,46.87,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-04-08,47.34,47.34,47.34,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2018-04-15,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2018-04-22,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-04-29,47.67,47.67,47.67,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2018-05-06,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.46,48.46,48.46,0.0,0.0
2018-05-13,48.75,48.75,48.75,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-05-20,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-05-27,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-06-03,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-06-10,49.0,49.0,49.0,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-06-17,49.64,49.64,49.64,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-06-24,48.74,48.74,48.74,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-07-01,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-07-08,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-07-15,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-07-22,49.39,49.39,49.39,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-07-29,50.31,50.31,50.31,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-08-05,49.79,49.79,49.79,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-08-12,50.56,50.56,50.56,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-08-19,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-08-26,51.45,51.45,51.45,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-09-02,51.28,51.28,51.28,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-09-09,51.29,51.29,51.29,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-09-16,51.1,51.1,51.1,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2018-09-23,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2018-09-30,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-10-07,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-10-14,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2018-10-21,45.77,45.77,45.77,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-10-28,47.32,47.32,47.32,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-11-04,47.78,47.78,47.78,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-11-11,46.93,46.93,46.93,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-11-18,46.68,46.68,46.68,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-11-25,47.84,47.84,47.84,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-12-02,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-12-09,44.52,44.52,44.52,0.0,0.0,44.52,44.52,44.52,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-12-16,40.41,40.41,40.41,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.08,40.08,40.08,0.0,0.0
