Date,PureFunds Drone Economy Strategy_etf_Open_average,PureFunds Drone Economy Strategy_etf_Open_max,PureFunds Drone Economy Strategy_etf_Open_min,PureFunds Drone Economy Strategy_etf_Open_volatility,PureFunds Drone Economy Strategy_etf_Open_change,PureFunds Drone Economy Strategy_etf_High_average,PureFunds Drone Economy Strategy_etf_High_max,PureFunds Drone Economy Strategy_etf_High_min,PureFunds Drone Economy Strategy_etf_High_volatility,PureFunds Drone Economy Strategy_etf_High_change,PureFunds Drone Economy Strategy_etf_Low_average,PureFunds Drone Economy Strategy_etf_Low_max,PureFunds Drone Economy Strategy_etf_Low_min,PureFunds Drone Economy Strategy_etf_Low_volatility,PureFunds Drone Economy Strategy_etf_Low_change,PureFunds Drone Economy Strategy_etf_Close_average,PureFunds Drone Economy Strategy_etf_Close_max,PureFunds Drone Economy Strategy_etf_Close_min,PureFunds Drone Economy Strategy_etf_Close_volatility,PureFunds Drone Economy Strategy_etf_Close_change
2018-01-14,37.48,37.48,37.48,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2018-01-21,37.68,37.68,37.68,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-01-28,37.3,37.3,37.3,0.0,0.0,37.35,37.35,37.35,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-02-04,35.17,35.17,35.17,0.0,0.0,35.31,35.31,35.31,0.0,0.0,34.33,34.33,34.33,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-02-11,37.06,37.06,37.06,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-02-18,36.81,36.81,36.81,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-02-25,35.61,35.61,35.61,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.38,35.38,35.38,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-03-04,36.37,36.37,36.37,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-03-11,36.15,36.15,36.15,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-03-18,34.51,34.51,34.51,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0
