Date,iShares MSCI All Country Asia ex Japan_Open_average,iShares MSCI All Country Asia ex Japan_Open_max,iShares MSCI All Country Asia ex Japan_Open_min,iShares MSCI All Country Asia ex Japan_Open_volatility,iShares MSCI All Country Asia ex Japan_Open_change,iShares MSCI All Country Asia ex Japan_High_average,iShares MSCI All Country Asia ex Japan_High_max,iShares MSCI All Country Asia ex Japan_High_min,iShares MSCI All Country Asia ex Japan_High_volatility,iShares MSCI All Country Asia ex Japan_High_change,iShares MSCI All Country Asia ex Japan_Low_average,iShares MSCI All Country Asia ex Japan_Low_max,iShares MSCI All Country Asia ex Japan_Low_min,iShares MSCI All Country Asia ex Japan_Low_volatility,iShares MSCI All Country Asia ex Japan_Low_change,iShares MSCI All Country Asia ex Japan_Close_average,iShares MSCI All Country Asia ex Japan_Close_max,iShares MSCI All Country Asia ex Japan_Close_min,iShares MSCI All Country Asia ex Japan_Close_volatility,iShares MSCI All Country Asia ex Japan_Close_change
2018-01-14,81.2,81.2,81.2,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.07,81.07,81.07,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2018-01-21,82.65,82.65,82.65,0.0,0.0,82.71,82.71,82.71,0.0,0.0,82.25,82.25,82.25,0.0,0.0,82.31,82.31,82.31,0.0,0.0
2018-01-28,78.65,78.65,78.65,0.0,0.0,79.47,79.47,79.47,0.0,0.0,76.29,76.29,76.29,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2018-02-04,75.13,75.13,75.13,0.0,0.0,75.72,75.72,75.72,0.0,0.0,74.58,74.58,74.58,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2018-02-11,78.88,78.88,78.88,0.0,0.0,79.61,79.61,79.61,0.0,0.0,78.7,78.7,78.7,0.0,0.0,78.93,78.93,78.93,0.0,0.0
2018-02-18,79.38,79.38,79.38,0.0,0.0,79.88,79.88,79.88,0.0,0.0,78.95,78.95,78.95,0.0,0.0,79.86,79.86,79.86,0.0,0.0
2018-02-25,75.83,75.83,75.83,0.0,0.0,76.89,76.89,76.89,0.0,0.0,75.8,75.8,75.8,0.0,0.0,76.69,76.69,76.69,0.0,0.0
2018-03-04,79.71,79.71,79.71,0.0,0.0,79.93,79.93,79.93,0.0,0.0,79.44,79.44,79.44,0.0,0.0,79.78,79.78,79.78,0.0,0.0
2018-03-11,79.0,79.0,79.0,0.0,0.0,79.12,79.12,79.12,0.0,0.0,78.18,78.18,78.18,0.0,0.0,78.62,78.62,78.62,0.0,0.0
2018-03-18,77.3,77.3,77.3,0.0,0.0,77.8,77.8,77.8,0.0,0.0,76.3,76.3,76.3,0.0,0.0,77.74,77.74,77.74,0.0,0.0
2018-03-25,77.12,77.12,77.12,0.0,0.0,77.33,77.33,77.33,0.0,0.0,75.45,75.45,75.45,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2018-04-01,76.34,76.34,76.34,0.0,0.0,77.01,77.01,77.01,0.0,0.0,76.1,76.1,76.1,0.0,0.0,76.27,76.27,76.27,0.0,0.0
2018-04-08,76.76,76.76,76.76,0.0,0.0,77.06,77.06,77.06,0.0,0.0,76.56,76.56,76.56,0.0,0.0,77.01,77.01,77.01,0.0,0.0
2018-04-15,76.19,76.19,76.19,0.0,0.0,76.38,76.38,76.38,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.89,75.89,75.89,0.0,0.0
