Date,ProShares Ultra FTSE China 50_etf_Open_average,ProShares Ultra FTSE China 50_etf_Open_max,ProShares Ultra FTSE China 50_etf_Open_min,ProShares Ultra FTSE China 50_etf_Open_volatility,ProShares Ultra FTSE China 50_etf_Open_change,ProShares Ultra FTSE China 50_etf_High_average,ProShares Ultra FTSE China 50_etf_High_max,ProShares Ultra FTSE China 50_etf_High_min,ProShares Ultra FTSE China 50_etf_High_volatility,ProShares Ultra FTSE China 50_etf_High_change,ProShares Ultra FTSE China 50_etf_Low_average,ProShares Ultra FTSE China 50_etf_Low_max,ProShares Ultra FTSE China 50_etf_Low_min,ProShares Ultra FTSE China 50_etf_Low_volatility,ProShares Ultra FTSE China 50_etf_Low_change,ProShares Ultra FTSE China 50_etf_Close_average,ProShares Ultra FTSE China 50_etf_Close_max,ProShares Ultra FTSE China 50_etf_Close_min,ProShares Ultra FTSE China 50_etf_Close_volatility,ProShares Ultra FTSE China 50_etf_Close_change
2018-01-14,104.02,104.02,104.02,0.0,0.0,105.67,105.67,105.67,0.0,0.0,103.78,103.78,103.78,0.0,0.0,105.57,105.57,105.57,0.0,0.0
2018-01-21,112.83,112.83,112.83,0.0,0.0,113.86,113.86,113.86,0.0,0.0,112.48,112.48,112.48,0.0,0.0,113.72,113.72,113.72,0.0,0.0
2018-01-28,105.57,105.57,105.57,0.0,0.0,105.57,105.57,105.57,0.0,0.0,101.6,101.6,101.6,0.0,0.0,101.6,101.6,101.6,0.0,0.0
2018-02-04,81.49,81.49,81.49,0.0,0.0,83.52,83.52,83.52,0.0,0.0,77.43,77.43,77.43,0.0,0.0,82.38,82.38,82.38,0.0,0.0
2018-02-11,94.0,94.0,94.0,0.0,0.0,96.45,96.45,96.45,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.3,94.3,94.3,0.0,0.0
2018-02-18,94.53,94.53,94.53,0.0,0.0,95.34,95.34,95.34,0.0,0.0,94.0,94.0,94.0,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2018-02-25,83.11,83.11,83.11,0.0,0.0,86.33,86.33,86.33,0.0,0.0,81.88,81.88,81.88,0.0,0.0,86.31,86.31,86.31,0.0,0.0
2018-03-04,90.1,90.1,90.1,0.0,0.0,92.21,92.21,92.21,0.0,0.0,89.81,89.81,89.81,0.0,0.0,92.21,92.21,92.21,0.0,0.0
2018-03-11,92.0,92.0,92.0,0.0,0.0,92.82,92.82,92.82,0.0,0.0,92.0,92.0,92.0,0.0,0.0,92.82,92.82,92.82,0.0,0.0
2018-03-18,84.29,84.29,84.29,0.0,0.0,84.56,84.56,84.56,0.0,0.0,80.94,80.94,80.94,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2018-03-25,83.5,83.5,83.5,0.0,0.0,85.8,85.8,85.8,0.0,0.0,83.5,83.5,83.5,0.0,0.0,85.23,85.23,85.23,0.0,0.0
2018-04-01,81.63,81.63,81.63,0.0,0.0,83.61,83.61,83.61,0.0,0.0,79.39,79.39,79.39,0.0,0.0,80.34,80.34,80.34,0.0,0.0
2018-04-08,87.86,87.86,87.86,0.0,0.0,87.86,87.86,87.86,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.31,86.31,86.31,0.0,0.0
2018-04-15,82.73,82.73,82.73,0.0,0.0,82.75,82.75,82.75,0.0,0.0,81.46,81.46,81.46,0.0,0.0,82.04,82.04,82.04,0.0,0.0
2018-04-22,83.05,83.05,83.05,0.0,0.0,83.62,83.62,83.62,0.0,0.0,82.41,82.41,82.41,0.0,0.0,83.62,83.62,83.62,0.0,0.0
2018-04-29,79.98,79.98,79.98,0.0,0.0,83.0,83.0,83.0,0.0,0.0,79.78,79.78,79.78,0.0,0.0,82.25,82.25,82.25,0.0,0.0
2018-05-06,88.17,88.17,88.17,0.0,0.0,88.33,88.33,88.33,0.0,0.0,87.5,87.5,87.5,0.0,0.0,88.01,88.01,88.01,0.0,0.0
