Date,ProShares Investment Grade-Interest Rate HedgedEtf_Open_average,ProShares Investment Grade-Interest Rate HedgedEtf_Open_max,ProShares Investment Grade-Interest Rate HedgedEtf_Open_min,ProShares Investment Grade-Interest Rate HedgedEtf_Open_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Open_change,ProShares Investment Grade-Interest Rate HedgedEtf_High_average,ProShares Investment Grade-Interest Rate HedgedEtf_High_max,ProShares Investment Grade-Interest Rate HedgedEtf_High_min,ProShares Investment Grade-Interest Rate HedgedEtf_High_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_High_change,ProShares Investment Grade-Interest Rate HedgedEtf_Low_average,ProShares Investment Grade-Interest Rate HedgedEtf_Low_max,ProShares Investment Grade-Interest Rate HedgedEtf_Low_min,ProShares Investment Grade-Interest Rate HedgedEtf_Low_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Low_change,ProShares Investment Grade-Interest Rate HedgedEtf_Close_average,ProShares Investment Grade-Interest Rate HedgedEtf_Close_max,ProShares Investment Grade-Interest Rate HedgedEtf_Close_min,ProShares Investment Grade-Interest Rate HedgedEtf_Close_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Close_change
2018-01-14,78.18,78.18,78.18,0.0,0.0,78.35,78.35,78.35,0.0,0.0,77.88,77.88,77.88,0.0,0.0,77.95,77.95,77.95,0.0,0.0
2018-01-21,78.17,78.17,78.17,0.0,0.0,78.39,78.39,78.39,0.0,0.0,78.17,78.17,78.17,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2018-01-28,78.5,78.5,78.5,0.0,0.0,78.8,78.8,78.8,0.0,0.0,78.3,78.3,78.3,0.0,0.0,78.51,78.51,78.51,0.0,0.0
2018-02-04,78.3,78.3,78.3,0.0,0.0,78.5,78.5,78.5,0.0,0.0,77.43,77.43,77.43,0.0,0.0,78.02,78.02,78.02,0.0,0.0
2018-02-11,77.72,77.72,77.72,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.47,77.47,77.47,0.0,0.0,77.78,77.78,77.78,0.0,0.0
2018-02-18,77.65,77.65,77.65,0.0,0.0,77.79,77.79,77.79,0.0,0.0,77.5,77.5,77.5,0.0,0.0,77.63,77.63,77.63,0.0,0.0
2018-02-25,76.55,76.55,76.55,0.0,0.0,77.49,77.49,77.49,0.0,0.0,76.55,76.55,76.55,0.0,0.0,77.03,77.03,77.03,0.0,0.0
2018-03-04,77.13,77.13,77.13,0.0,0.0,77.22,77.22,77.22,0.0,0.0,76.82,76.82,76.82,0.0,0.0,77.02,77.02,77.02,0.0,0.0
2018-03-11,76.61,76.61,76.61,0.0,0.0,76.71,76.71,76.71,0.0,0.0,76.5,76.5,76.5,0.0,0.0,76.7,76.7,76.7,0.0,0.0
2018-03-18,76.41,76.41,76.41,0.0,0.0,76.47,76.47,76.47,0.0,0.0,75.85,75.85,75.85,0.0,0.0,76.01,76.01,76.01,0.0,0.0
