Date,ProShares Short Financials_Open_average,ProShares Short Financials_Open_max,ProShares Short Financials_Open_min,ProShares Short Financials_Open_volatility,ProShares Short Financials_Open_change,ProShares Short Financials_High_average,ProShares Short Financials_High_max,ProShares Short Financials_High_min,ProShares Short Financials_High_volatility,ProShares Short Financials_High_change,ProShares Short Financials_Low_average,ProShares Short Financials_Low_max,ProShares Short Financials_Low_min,ProShares Short Financials_Low_volatility,ProShares Short Financials_Low_change,ProShares Short Financials_Close_average,ProShares Short Financials_Close_max,ProShares Short Financials_Close_min,ProShares Short Financials_Close_volatility,ProShares Short Financials_Close_change
2018-01-14,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2018-01-21,21.8,21.8,21.8,0.0,0.0,22.02,22.02,22.02,0.0,0.0,21.8,21.8,21.8,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2018-01-28,22.78,22.78,22.78,0.0,0.0,23.58,23.58,23.58,0.0,0.0,22.58,22.58,22.58,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2018-02-04,23.44,23.44,23.44,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2018-02-11,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.6,22.6,22.6,0.0,0.0
2018-02-18,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-02-25,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.72,22.72,22.72,0.0,0.0
2018-03-04,22.12,22.12,22.12,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2018-03-11,22.4,22.4,22.4,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2018-03-18,23.46,23.46,23.46,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-03-25,23.3,23.3,23.3,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2018-04-01,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-04-08,23.2,23.2,23.2,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-04-15,23.08,23.08,23.08,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2018-04-22,23.02,23.02,23.02,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-04-29,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2018-05-06,22.58,22.58,22.58,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2018-05-13,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-05-20,22.82,22.82,22.82,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.82,22.82,22.82,0.0,0.0
2018-05-27,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2018-06-03,22.4,22.4,22.4,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.46,22.46,22.46,0.0,0.0
2018-06-10,22.84,22.84,22.84,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2018-06-17,23.0,23.0,23.0,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2018-06-24,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2018-07-01,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0
2018-07-08,22.77,22.77,22.77,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-07-15,22.57,22.57,22.57,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2018-07-22,22.3,22.3,22.3,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-07-29,22.23,22.23,22.23,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-08-05,22.37,22.37,22.37,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2018-08-12,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2018-08-19,22.05,22.05,22.05,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2018-08-26,22.07,22.07,22.07,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2018-09-02,22.04,22.04,22.04,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-09-09,22.05,22.05,22.05,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.05,22.05,22.05,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-09-16,21.97,21.97,21.97,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2018-09-23,22.38,22.38,22.38,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2018-09-30,22.45,22.45,22.45,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2018-10-07,23.6,23.6,23.6,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2018-10-14,23.38,23.38,23.38,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-10-21,24.19,24.19,24.19,0.0,0.0,24.36,24.36,24.36,0.0,0.0,23.8,23.8,23.8,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-10-28,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-11-04,22.87,22.87,22.87,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-11-11,23.09,23.09,23.09,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-11-18,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.33,23.33,23.33,0.0,0.0
2018-11-25,22.56,22.56,22.56,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2018-12-02,24.1,24.1,24.1,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-12-09,24.83,24.83,24.83,0.0,0.0,25.29,25.29,25.29,0.0,0.0,24.78,24.78,24.78,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-12-16,26.64,26.64,26.64,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-12-23,25.24,25.24,25.24,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-12-30,24.92,24.92,24.92,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2019-01-06,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2019-01-13,23.5,23.5,23.5,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2019-01-20,23.45,23.45,23.45,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2019-01-27,23.14,23.14,23.14,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2019-02-03,23.16,23.16,23.16,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-02-10,22.9,22.9,22.9,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2019-02-17,22.48,22.48,22.48,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.59,22.59,22.59,0.0,0.0
2019-02-24,22.48,22.48,22.48,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.58,22.58,22.58,0.0,0.0
2019-03-03,22.96,22.96,22.96,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2019-03-10,22.2,22.2,22.2,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2019-03-17,23.14,23.14,23.14,0.0,0.0,23.21,23.21,23.21,0.0,0.0,22.98,22.98,22.98,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2019-03-24,22.57,22.57,22.57,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2019-03-31,22.23,22.23,22.23,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2019-04-07,21.86,21.86,21.86,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2019-04-14,21.87,21.87,21.87,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2019-04-21,21.43,21.43,21.43,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2019-04-28,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-05-05,22.08,22.08,22.08,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.03,22.03,22.03,0.0,0.0,22.19,22.19,22.19,0.0,0.0
2019-05-12,21.98,21.98,21.98,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2019-05-19,22.05,22.05,22.05,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.99,21.99,21.99,0.0,0.0
2019-05-26,22.55,22.55,22.55,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.49,22.49,22.49,0.0,0.0
2019-06-02,21.51,21.51,21.51,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.52,21.52,21.52,0.0,0.0
2019-06-09,21.61,21.61,21.61,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2019-06-16,21.43,21.43,21.43,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2019-06-23,21.11,21.11,21.11,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2019-06-30,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2019-07-07,20.8,20.8,20.8,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2019-07-14,21.07,21.07,21.07,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2019-07-21,20.57,20.57,20.57,0.0,0.0,20.72,20.72,20.72,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2019-07-28,21.43,21.43,21.43,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2019-08-04,21.54,21.54,21.54,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2019-08-11,21.37,21.37,21.37,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.37,21.37,21.37,0.0,0.0
2019-08-18,21.74,21.74,21.74,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.71,21.71,21.71,0.0,0.0
2019-08-25,21.32,21.32,21.32,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2019-09-01,20.86,20.86,20.86,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2019-09-08,20.67,20.67,20.67,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2019-09-15,20.72,20.72,20.72,0.0,0.0,20.72,20.72,20.72,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2019-09-22,20.61,20.61,20.61,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.65,20.65,20.65,0.0,0.0
2019-09-29,20.93,20.93,20.93,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.99,20.99,20.99,0.0,0.0
2019-10-06,20.84,20.84,20.84,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2019-10-13,20.41,20.41,20.41,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2019-10-20,20.21,20.21,20.21,0.0,0.0,20.28,20.28,20.28,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2019-10-27,19.95,19.95,19.95,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.95,19.95,19.95,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2019-11-03,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.97,19.97,19.97,0.0,0.0
2019-11-10,19.91,19.91,19.91,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0
